Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
Q9BW60	Q9BW60	ELOV1_HUMAN	ELOVL1	Elongation of very long chain fatty acids protein 1	1224.76		509.189	464.5	870.455	636.153
Q9BW71	Q9BW71	HIRP3_HUMAN	HIRIP3	HIRA-interacting protein 3			646.048			
Q9BW92	Q9BW92	SYTM_HUMAN	TARS2	Threonine--tRNA ligase, mitochondrial				1502		
Q9BWD1	Q9BWD1	THIC_HUMAN	ACAT2	Acetyl-CoA acetyltransferase, cytosolic	3729.94	4172.63	3883.12	3555.26	3496.08	3357.68
Q9BWF3	Q9BWF3;Q9BQ04	RBM4_HUMAN	RBM4	RNA-binding protein 4	2148.43	2201.1	2707.37	2560.86	1862.08	2465.08
Q9BWH2	Q9BWH2	FUND2_HUMAN	FUNDC2	FUN14 domain-containing protein 2		2451.27	2189.84	1971.88	1580.71	1848.39
Q9BWJ5	Q9BWJ5	SF3B5_HUMAN	SF3B5	Splicing factor 3B subunit 5	1602.62	1226.13	1414.77	1087.72	1482.79	2223.34
Q9BWM7	Q9BWM7	SFXN3_HUMAN	SFXN3	Sideroflexin-3	1839.35	886.569	1593.79	972.54	1334.88	1637.29
Q9BWU0	Q9BWU0	NADAP_HUMAN	SLC4A1AP	Kanadaptin	407.681			650.708	569.492	902.772
Q9BX68	Q9BX68	HINT2_HUMAN	HINT2	Adenosine 5'-monophosphoramidase HINT2	2112.71	1162.02	2366.57	1370.77	1978.96	1341.82
Q9BXB5	Q9BXB4;Q9BXB5	OSB10_HUMAN	OSBPL10	Oxysterol-binding protein-related protein 10	493.436	1310.34	1284.79	1145.82	666.912	824.531
Q9BXJ9	Q9BXJ9	NAA15_HUMAN	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	2027.88	2261.41	2124.3	2082.27	2145.13	1920.87
Q9BXP5	Q9BXP5	SRRT_HUMAN	SRRT	Serrate RNA effector molecule homolog	2895.74	2904.05	2766.84	3203.73	3131.5	3520.93
Q9BXS5	Q9BXS5	AP1M1_HUMAN	AP1M1	AP-1 complex subunit mu-1	1324.97	991.014	431.215	955.705		766.051
Q9BXS6	Q9BXS6	NUSAP_HUMAN	NUSAP1	Nucleolar and spindle-associated protein 1			455.86	362.205	1001.9	731.018
Q9BXW7	Q9BXW7	HDHD5_HUMAN	HDHD5	Haloacid dehalogenase-like hydrolase domain-containing 5	1355.05			1350.18	793.966	1450.59
Q9BXW9	Q9BXW9	FACD2_HUMAN	FANCD2	Fanconi anemia group D2 protein			1099.15		467.541	791.817
Q9BXY0	Q9BXY0	MAK16_HUMAN	MAK16	Protein MAK16 homolog				278.838		531.286
Q9BY32	Q9BY32	ITPA_HUMAN	ITPA	Inosine triphosphate pyrophosphatase	1260.49	1811.47	632.583	1608.01	1988.2	1140.67
Q9BY43	Q9BY43	CHM4A_HUMAN	CHMP4A	Charged multivesicular body protein 4a	1056.87	198.037	503.283	811.894	357.947	379.555
Q9BY44	Q9BY44	EIF2A_HUMAN	EIF2A	Eukaryotic translation initiation factor 2A	1521.71	1453.75	1247.88	1336.53	1244.67	1385.6
Q9BY77	Q9BY77	PDIP3_HUMAN	POLDIP3	Polymerase delta-interacting protein 3	1144.81	1295.26	1248.65	859.117	763.962	1182.24
Q9BYD1	Q9BYD1	RM13_HUMAN	MRPL13	39S ribosomal protein L13, mitochondrial	924.951	805.028	1344.11	862.075	1179.99	694.341
Q9BYD2	Q9BYD2	RM09_HUMAN	MRPL9	39S ribosomal protein L9, mitochondrial	2161.28	1285.78	2171.45	1709.38	1709.93	1717.72
Q9BYD6	Q9BYD6	RM01_HUMAN	MRPL1	39S ribosomal protein L1, mitochondrial		782.667	796.754	1167.94	618.673	1144.91
Q9BYG3	Q9BYG3	MK67I_HUMAN	NIFK	MKI67 FHA domain-interacting nucleolar phosphoprotein	951.082	963.018	1437.06	739.668	757.843	694.522
Q9BYN0	Q9BYN0	SRXN1_HUMAN	SRXN1	Sulfiredoxin-1		527.336	1274.12			785.688
Q9BYT8	Q9BYT8	NEUL_HUMAN	NLN	Neurolysin, mitochondrial	1140.9	1189.26	1035.53	2018.89	1103.39	1490.76
Q9BYX2	Q9BYX2	TBD2A_HUMAN	TBC1D2	TBC1 domain family member 2A			877.52			703.227
Q9BZE1	Q9BZE1	RM37_HUMAN	MRPL37	39S ribosomal protein L37, mitochondrial	844.855	1528.38	1326.62	1766.74	2314.6	1032.94
Q9BZE4	Q9BZE4	GTPB4_HUMAN	GTPBP4	GTP-binding protein 4	1895.55	1505.1	1630.42	1804.01	1859.35	1841.07
Q9BZG1	Q9BZG1	RAB34_HUMAN	RAB34	Ras-related protein Rab-34	695.944	625.476	1071.11			717.364
Q9BZH6	Q9BZH6	WDR11_HUMAN	WDR11	WD repeat-containing protein 11			337.511		710.011	1041.88
Q9BZK7	Q9BQ87;Q9BZK7;O60907	TBL1R_HUMAN	TBL1XR1	F-box-like/WD repeat-containing protein TBL1XR1	1433.83	1285.58	1237.38	961.364	1035.23	628.259
Q9BZL1	Q9BZL1	UBL5_HUMAN	UBL5	Ubiquitin-like protein 5	2384.7	1795.03	3226.57	2488.33	2684.92	3095.46
Q9BZX2	Q9HA47;Q9BZX2	UCK2_HUMAN	UCK2	Uridine-cytidine kinase 2	967.64	1215.72	1335.15	580.847	1078.39	997.724
Q9BZZ5	Q9BZZ5	API5_HUMAN	API5	Apoptosis inhibitor 5	3041.37	2807.26	2808.88	3375.11	3544.44	2682.78
Q9C005	Q9C005	DPY30_HUMAN	DPY30	Protein dpy-30 homolog	3491.8	2900.79	2884.02	3212.17	2389.63	3879.73
Q9C0B1	Q9C0B1	FTO_HUMAN	FTO	Alpha-ketoglutarate-dependent dioxygenase FTO	690.993	913.349	885.138	796.395	1284.16	723.697
Q9C0C2	Q9C0C2	TB182_HUMAN	TNKS1BP1	182 kDa tankyrase-1-binding protein	1264.98	999.611	1139.81	1262.82	1093.26	1156.14
Q9GZL7	Q9GZL7	WDR12_HUMAN	WDR12	Ribosome biogenesis protein WDR12	1592.55	902.618	1215.02	1162.27	943.502	1128.33
Q9GZP4	Q9GZP4	PITH1_HUMAN	PITHD1	PITH domain-containing protein 1	1589.33	880.888	1074.63			1543.4
Q9GZP8	Q9GZP8	IMUP_HUMAN	IMUP	Immortalization up-regulated protein	2075.23	3057.6	1564.9	4807.11	2850.24	3539.17
Q9GZR7	Q9GZR7	DDX24_HUMAN	DDX24	ATP-dependent RNA helicase DDX24		926.16		1011.85	1004.28	1139.7
Q9GZS3	Q9GZS3	WDR61_HUMAN	WDR61	WD repeat-containing protein 61	2435.34	2170.76	2265.96	2345.73	1796.75	1940.86
Q9GZT3	Q9GZT3	SLIRP_HUMAN	SLIRP	SRA stem-loop-interacting RNA-binding protein, mitochondrial	5059.35	5124.57	4034.48	4326.05	3740.09	3921.92
Q9GZT8	Q9GZT8	NIF3L_HUMAN	NIF3L1	NIF3-like protein 1	738.917	1175.22	1074.36	1085.73	1667.48	1325.36
Q9GZU8	Q9GZU8	PIP30_HUMAN	PSME3IP1	PSME3-interacting protein	397.214			1730.01	464.838	1498.2
Q9GZY8	Q9GZY8	MFF_HUMAN	MFF	Mitochondrial fission factor	1077.82	1928.11	1848.76	1448.87	1796.93	1303.59
Q9GZZ1	Q9GZZ1	NAA50_HUMAN	NAA50	N-alpha-acetyltransferase 50	1431.16	1334.89	1630.88	1330.11	1566.68	1614.12
Q9GZZ9	Q9GZZ9	UBA5_HUMAN	UBA5	Ubiquitin-like modifier-activating enzyme 5			396.51	569.813		596.889
Q9H061	Q9H061	T126A_HUMAN	TMEM126A	Transmembrane protein 126A		1687.43		1787.37		1922.81
Q9H074	Q9H074	PAIP1_HUMAN	PAIP1	Polyadenylate-binding protein-interacting protein 1	3091.17	2353.67	2710.06	2272.38	2895.16	2930.28
Q9H078	Q9H078	CLPB_HUMAN	CLPB	Caseinolytic peptidase B protein homolog	1130.63	1053.79		519.566		1202.01
Q9H098	Q9H098	F107B_HUMAN	FAM107B	Protein FAM107B	752.19	1434.51	1063.98	1473.39	1403.71	1281.11
Q9H0A0	Q9H0A0	NAT10_HUMAN	NAT10	RNA cytidine acetyltransferase	2688.52	2245.52	2240.6	2224.85	2482.12	2282.86
Q9H0A8	Q9H0A8	COMD4_HUMAN	COMMD4	COMM domain-containing protein 4				1774.27		
Q9H0B6	Q9H0B6	KLC2_HUMAN	KLC2	Kinesin light chain 2	708.785	2114.14	981.703	328.775	773.744	1236.68
Q9H0C8	Q9H0C8	ILKAP_HUMAN	ILKAP	Integrin-linked kinase-associated serine/threonine phosphatase 2C	672.151					1717.95
Q9H0D6	Q9H0D6	XRN2_HUMAN	XRN2	5'-3' exoribonuclease 2	1596.27	1782.21	1464.77	1728.67	2017.13	2016.79
Q9H0H5	Q9H0H5	RGAP1_HUMAN	RACGAP1	Rac GTPase-activating protein 1				601.005		
Q9H0P0	Q9H0P0	5NT3A_HUMAN	NT5C3A	Cytosolic 5'-nucleotidase 3A	595.354	779.448		446.416	395.497	
Q9H0S4	Q9H0S4	DDX47_HUMAN	DDX47	Probable ATP-dependent RNA helicase DDX47	1281.25	1398.86	1271.59	1097.57	1536.73	1619.61
Q9H0U3	Q9H0U3	MAGT1_HUMAN	MAGT1	Magnesium transporter protein 1	1738.11	1191.86	1261	1428.84	1616.8	1362.7
Q9H0U4	Q9H0U4;Q92928	RAB1B_HUMAN	RAB1B	Ras-related protein Rab-1B	2378.35	2078.2	2528.95	2041.23	2626.39	2966.01
Q9H0U6	Q9H0U6	RM18_HUMAN	MRPL18	39S ribosomal protein L18, mitochondrial	860.749	1067.71	606.565	1367.52		1220.24
Q9H0V9	Q9H0V9	LMA2L_HUMAN	LMAN2L	VIP36-like protein		838.478	935.563	816.351		922.585
Q9H0W9	Q9H0W9	CK054_HUMAN	C11orf54	Ester hydrolase C11orf54	1314.26	1531.98	1489.5	1452.4	1727.1	1450.58
Q9H173	Q9H173	SIL1_HUMAN	SIL1	Nucleotide exchange factor SIL1	413.517	821.741	515.731	569.335	427.005	
Q9H1E3	Q9H1E3	NUCKS_HUMAN	NUCKS1	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	8277.38	6951.98	7324.23	8050.93	7499.12	6839.8
Q9H1K1	Q9H1K1	ISCU_HUMAN	ISCU	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial				274.51		245.543
Q9H223	Q9NZN3;Q9H223	EHD4_HUMAN	EHD4	EH domain-containing protein 4	1904.78	1540.37	1796.8	1101.87	2145.12	1755.32
Q9H267	Q9H267	VP33B_HUMAN	VPS33B	Vacuolar protein sorting-associated protein 33B			486.624			
Q9H299	Q9H299	SH3L3_HUMAN	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	5201.05	3765.73	4881.09	5195.21	3952.7	4423.71
Q9H2G2	Q9H2G2;O94804	SLK_HUMAN	SLK	STE20-like serine/threonine-protein kinase				973.007		
Q9H2H8	Q9H2H8	PPIL3_HUMAN	PPIL3	Peptidyl-prolyl cis-trans isomerase-like 3	822.871	1172.3	954.903	1384.77	960.691	973.156
Q9H2J4	Q9H2J4	PDCL3_HUMAN	PDCL3	Phosducin-like protein 3			727.053		761.165	803.035
Q9H2M9	Q9H2M9	RBGPR_HUMAN	RAB3GAP2	Rab3 GTPase-activating protein non-catalytic subunit	993.505	549.967	1011.4	798.17	1047.05	1717.54
Q9H2P0	Q9H2P0	ADNP_HUMAN	ADNP	Activity-dependent neuroprotector homeobox protein	960.332	360.769	1043.71			
Q9H2U1	Q9H2U1	DHX36_HUMAN	DHX36	ATP-dependent DNA/RNA helicase DHX36	904.035		676.469	628.583	741.631	684.165
Q9H2U2	Q9H2U2	IPYR2_HUMAN	PPA2	Inorganic pyrophosphatase 2, mitochondrial	2183.03	1518.82	1853.75	1998.82	1684.39	1975.73
Q9H2W6	Q9H2W6	RM46_HUMAN	MRPL46	39S ribosomal protein L46, mitochondrial	641.409	811.33	1216.01	553.195	1040.76	865.906
Q9H307	Q9H307	PININ_HUMAN	PNN	Pinin	1748.06	1951.4	2191.45	1597.44	1459.68	1842.76
Q9H330	Q9H330	TM245_HUMAN	TMEM245	Transmembrane protein 245	699.376	538.5	1334.77	439.329		680.133
Q9H361	Q9H361	PABP3_HUMAN	PABPC3	Polyadenylate-binding protein 3		1773.71		1454.78		1339.71
Q9H3G5	Q9H3G5	CPVL_HUMAN	CPVL	Probable serine carboxypeptidase CPVL	356.824		606.998			461.628
Q9H3H3	Q9H3H3	CK068_HUMAN	C11orf68	UPF0696 protein C11orf68	941.595	676.639	1348.33	723.41	786.354	
Q9H3K2	Q9H3K2	GHITM_HUMAN	GHITM	Growth hormone-inducible transmembrane protein	1508.82	1885.48	1828.83	1910.05	1997.61	2220.56
Q9H3K6	Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2	2374.75	2857.67	2463.06	2522.97	2125.4	2285.12
Q9H3N1	Q9H3N1	TMX1_HUMAN	TMX1	Thioredoxin-related transmembrane protein 1	3669.39	1587.97	2777.18	2814.7	3347.04	2513.51
Q9H3P2	Q9H3P2	NELFA_HUMAN	NELFA	Negative elongation factor A	518.94	436.66	672.161		1172.52	
Q9H3P7	Q9H3P7	GCP60_HUMAN	ACBD3	Golgi resident protein GCP60	510.357	893.909	548.146	847.824	862.118	635.178
Q9H3U1	Q9H3U1	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A	1717.22	1844.55	1431.51	1577.17	1712.02	1793.91
Q9H444	Q9H444	CHM4B_HUMAN	CHMP4B	Charged multivesicular body protein 4b	2565.65	2102.44	2755.89	2971.33	2080.93	2005.3
Q9H446	Q9H446	RWDD1_HUMAN	RWDD1	RWD domain-containing protein 1			288.999			650.401
Q9H488	Q9H488	OFUT1_HUMAN	POFUT1	GDP-fucose protein O-fucosyltransferase 1	1383.53	1804.49	1581.26	1316.62	1672.31	1612.25
Q9H4A3	Q9H4A3	WNK1_HUMAN	WNK1	Serine/threonine-protein kinase WNK1	1108.11	1788.49	1263.9	1988.93	1320.67	2096.73
Q9H4A4	Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B	3881.28	4145.53	4220.47	4186.18	3988.8	3999.79
Q9H4A6	Q9H4A6	GOLP3_HUMAN	GOLPH3	Golgi phosphoprotein 3	1100.29	936.012	787.987	820.128	976.698	819.278
Q9H4G0	Q9H4G0	E41L1_HUMAN	EPB41L1	Band 4.1-like protein 1	1747.71	1755.12	1049.09	1195.71	1314.71	1291.19
Q9H4G4	Q9H4G4	GAPR1_HUMAN	GLIPR2	Golgi-associated plant pathogenesis-related protein 1	344.368	1038.15	403.797	527.724	587.701	748.402
Q9H4M9	Q9H4M9	EHD1_HUMAN	EHD1	EH domain-containing protein 1	1583.37	1204.37	1738.43	1546.73	1420.94	1402.74
Q9H583	Q9H583	HEAT1_HUMAN	HEATR1	HEAT repeat-containing protein 1	1517.63	1392.94	1393.77	1573.1	1402.81	1149.82
Q9H5V8	Q9H5V8	CDCP1_HUMAN	CDCP1	CUB domain-containing protein 1	244.616	718.144	370.641		431.275	357.13
Q9H5X1	Q9H5X1	CIA2A_HUMAN	CIAO2A	Cytosolic iron-sulfur assembly component 2A				442.85	549.482	621.593
Q9H6E4	Q9H6E4	CC134_HUMAN	CCDC134	Coiled-coil domain-containing protein 134		646.969	509.788	370.824	385.441	
Q9H6F5	Q9H6F5	CCD86_HUMAN	CCDC86	Coiled-coil domain-containing protein 86	2168.69	819.699	2124.35	2107.47	2055.35	2320.4
Q9H6R4	Q9H6R4	NOL6_HUMAN	NOL6	Nucleolar protein 6	406.643	227.787	1180.19	518.32	1646.6	
Q9H6S0	Q9H6S0	YTDC2_HUMAN	YTHDC2	3'-5' RNA helicase YTHDC2					581.404	665.782
Q9H6T3	Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3	511.782	501.293	588.011	1063.47	514.251	839.724
Q9H6X2	Q9H6X2	ANTR1_HUMAN	ANTXR1	Anthrax toxin receptor 1						957.515
Q9H6Z4	Q9H6Z4	RANB3_HUMAN	RANBP3	Ran-binding protein 3	696.246		836.719	805.054	1044.16	
Q9H773	Q9H773	DCTP1_HUMAN	DCTPP1	dCTP pyrophosphatase 1	3837.13	4840.78	3461.52	4018.87	4399.4	4326.45
Q9H788	Q9H788	SH24A_HUMAN	SH2D4A	SH2 domain-containing protein 4A					387.951	
Q9H7B2	Q9H7B2	RPF2_HUMAN	RPF2	Ribosome production factor 2 homolog		1031.64	856.193	595.377	722.164	960.405
Q9H7B4	Q9H7B4	SMYD3_HUMAN	SMYD3	Histone-lysine N-methyltransferase SMYD3	776.044	722.979				
Q9H7C9	Q9H7C9	AAMDC_HUMAN	AAMDC	Mth938 domain-containing protein			519.88		713.443	
Q9H7D0	Q9H7D0	DOCK5_HUMAN	DOCK5	Dedicator of cytokinesis protein 5		1208.74				
Q9H7E9	Q9H7E9	CH033_HUMAN	C8orf33	UPF0488 protein C8orf33	1111.09	1706.26	1084.41	1037.68	560.728	2157.23
Q9H7Z7	Q9H7Z7	PGES2_HUMAN	PTGES2	Prostaglandin E synthase 2	1967.96	1241.87	1268.37	2299.34	3294.85	2148.75
Q9H814	Q9H814	PHAX_HUMAN	PHAX	Phosphorylated adapter RNA export protein	610.468	1131.69	574.925	743.21	1180.16	
Q9H832	Q9H832	UBE2Z_HUMAN	UBE2Z	Ubiquitin-conjugating enzyme E2 Z	2466.01	2129.9	1960.22	2049.28	1716.31	1381.33
Q9H845	Q9H845	ACAD9_HUMAN	ACAD9	Complex I assembly factor ACAD9, mitochondrial	1298.72	1544.79	1226.01	828.074	1561.35	1551.43
Q9H853	Q9H853	TBA4B_HUMAN	TUBA4B	Putative tubulin-like protein alpha-4B	5447.1	4277.41	2125.79	4193.84		2718.7
Q9H857	Q9H857	NT5D2_HUMAN	NT5DC2	5'-nucleotidase domain-containing protein 2			1626.6	984.061	1467.08	
Q9H8H0	Q9H8H0	NOL11_HUMAN	NOL11	Nucleolar protein 11				474.798	320.078	
Q9H8Y5	Q9H8Y5	ANKZ1_HUMAN	ANKZF1	Ankyrin repeat and zinc finger domain-containing protein 1		672.363				746.407
Q9H8Y8	Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2	1780.84	1405.81	1774.66	1619.03	2106.54	2188.66
Q9H910	Q9H910	JUPI2_HUMAN	JPT2	Jupiter microtubule associated homolog 2	2267.08	2471.35	2273.34	2606.24	2449.03	2820.76
Q9H936	Q9H936;Q9H1K4	GHC1_HUMAN	SLC25A22	Mitochondrial glutamate carrier 1	93.5051	785.43				689.295
Q9H944	Q9H944	MED20_HUMAN	MED20	Mediator of RNA polymerase II transcription subunit 20	499.643	506.199				
Q9H967	Q9H967	WDR76_HUMAN	WDR76	WD repeat-containing protein 76		256.937			430.599	731.942
Q9H9A6	Q9H9A6	LRC40_HUMAN	LRRC40	Leucine-rich repeat-containing protein 40	1884.06	1611.61	1270.79	1624.11	1381.17	1539.53
Q9H9B4	Q9H9B4	SFXN1_HUMAN	SFXN1	Sideroflexin-1	5134.58	4556.92	5796.99	5192.6	4964.33	5632.39
Q9H9E3	Q9H9E3	COG4_HUMAN	COG4	Conserved oligomeric Golgi complex subunit 4		583.325				
Q9H9G7;Q9HCK5;Q9UL18	Q9UL18;Q9H9G7;Q9HCK5	AGO1_HUMAN;AGO3_HUMAN;AGO4_HUMAN	AGO1;AGO3;AGO4	Protein argonaute-3		1031.46	700.689			
Q9H9J2	Q9H9J2	RM44_HUMAN	MRPL44	39S ribosomal protein L44, mitochondrial	1298.72	1870.29	1576.23	1728.46	1977.22	1724.98
Q9H9Q2	Q9H9Q2	CSN7B_HUMAN	COPS7B	COP9 signalosome complex subunit 7b	722.284	632.16				
Q9H9T3	Q9H9T3	ELP3_HUMAN	ELP3	Elongator complex protein 3	1106.31	1567.09			1213.19	678.455
Q9HA64	Q9HA64	KT3K_HUMAN	FN3KRP	Ketosamine-3-kinase	697.781	540.121	306.373	1204.24	674.299	1080.56
Q9HAB8	Q9HAB8	PPCS_HUMAN	PPCS	Phosphopantothenate--cysteine ligase	680.684	909.643	917.592	1310.65		901.405
Q9HAU0	Q9HAU0	PKHA5_HUMAN	PLEKHA5	Pleckstrin homology domain-containing family A member 5	1768.27	1062.51	843.255	879.721	1493	1141
Q9HAV0	Q9HAV0	GBB4_HUMAN	GNB4	Guanine nucleotide-binding protein subunit beta-4	1103.04	1321.74	660.242	1190.92	774.619	1306.93
Q9HAV4	Q9HAV4	XPO5_HUMAN	XPO5	Exportin-5	1032.68	983.006	794.586	912.677	639.482	1006.9
Q9HAV7	Q9HAV7	GRPE1_HUMAN	GRPEL1	GrpE protein homolog 1, mitochondrial	3448.34	3132.28	3738.2	3950.36	4531.01	3627.18
Q9HB07	Q9HB07	MYG1_HUMAN	MYG1	MYG1 exonuclease	2078.52	2483.9	2485.59	2497.71	2608.34	2997.88
Q9HB19	Q9HB19	PKHA2_HUMAN	PLEKHA2	Pleckstrin homology domain-containing family A member 2	1006.55	811.3	1405.51	1077.56	1249.09	1134.53
Q9HB40	Q9HB40	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase	1293.67	1035.27	1033.94	861.794	705.714	1030.96
Q9HB71	Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein	4872.23	4842.71	4219.91	5194.28	5464.58	4947.44
Q9HB90;Q9NQL2	Q9NQL2;Q9HB90	RRAGC_HUMAN;RRAGD_HUMAN	RRAGC;RRAGD	Ras-related GTP-binding protein C	541.38	407.842			743.851	874.98
Q9HBI1	Q9HBI1	PARVB_HUMAN	PARVB	Beta-parvin		560.828				367.944
Q9HBL8	Q9HBL8	NMRL1_HUMAN	NMRAL1	NmrA-like family domain-containing protein 1				766.417	326.325	
Q9HC07	Q9HC07	TM165_HUMAN	TMEM165	Transmembrane protein 165	722.877		571.262		337.002	
Q9HC21	Q9HC21	TPC_HUMAN	SLC25A19	Mitochondrial thiamine pyrophosphate carrier			511.566	414.701		
Q9HC35	Q9HC35	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4	1357.72	1215.05	1048.98	703.273		
Q9HC36	Q9HC36	MRM3_HUMAN	MRM3	rRNA methyltransferase 3, mitochondrial					571.365	1101.52
Q9HC38	Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	3209.2	3438.5	3165.11	2966.1	3309.28	3056.24
Q9HCC0	Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	1071.34	572.277	966.768	2717.95	890.05	1702.79
Q9HCD5	Q9HCD5	NCOA5_HUMAN	NCOA5	Nuclear receptor coactivator 5	1129.78	822.449	774.955			
Q9HCE1	Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10	1068.6	1242.27	1465.05	1109.89	1273.69	1172.64
Q9HCN8	Q9HCN8	SDF2L_HUMAN	SDF2L1	Stromal cell-derived factor 2-like protein 1	1287.1	1373.8	1176.95	1092.03	983.058	1598.15
Q9HCS7	Q9HCS7	SYF1_HUMAN	XAB2	Pre-mRNA-splicing factor SYF1		547.555	515.738			610.541
Q9HCU5	Q9HCU5	PREB_HUMAN	PREB	Prolactin regulatory element-binding protein			1298.42	527.314	1057.4	683.917
Q9HD15	Q9HD15	SRA1_HUMAN	SRA1	Steroid receptor RNA activator 1	4327.33		3634.76		1550.17	2980.36
Q9HD20	Q9HD20	AT131_HUMAN	ATP13A1	Endoplasmic reticulum transmembrane helix translocase			613.806			
Q9HD26	Q9HD26	GOPC_HUMAN	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein		639.439	724.235		558.394	
Q9HD33	Q9HD33	RM47_HUMAN	MRPL47	39S ribosomal protein L47, mitochondrial	1368.23	5876.2		894.835		
Q9HD45	Q9HD45	TM9S3_HUMAN	TM9SF3	Transmembrane 9 superfamily member 3	1026.43	1377.15	1247.93	1226.41	806.159	967.842
Q9HDC9	Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	4537.22	3834.2	3701.45	3459.39	2959.25	2647.94
Q9NNW7	Q9NNW7	TRXR2_HUMAN	TXNRD2	Thioredoxin reductase 2, mitochondrial	1146.71	217.99	502.369	592.549	749.14	
Q9NP61	Q9NP61	ARFG3_HUMAN	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3		1487.14	1192	862.645	327.931	680.778
Q9NP72	Q9NP72	RAB18_HUMAN	RAB18	Ras-related protein Rab-18	1348.85	1848.92	979.106	1773.03	1348.17	2134.45
Q9NP74	Q9NP74	PALMD_HUMAN	PALMD	Palmdelphin	1064.64	571.67	1114.26	2606.91	698.14	815.918
Q9NP77	Q9NP77	SSU72_HUMAN	SSU72	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	1314.2	844.97	1163.95	1156.93	878.721	937.308
Q9NP79	Q9NP79	VTA1_HUMAN	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog	1984.79	1335.72	1680.39	2069.61	1173.55	1710.53
Q9NP97	Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1	3415.99	3777.72	4323.18	5383.53	3922.81	4598.42
Q9NPA0	Q9NPA0	EMC7_HUMAN	EMC7	ER membrane protein complex subunit 7	1286.67	1273.97		927.663		1036.47
Q9NPA8	Q9NPA8	ENY2_HUMAN	ENY2	Transcription and mRNA export factor ENY2	863.774	650.113	1151.07			446.14
Q9NPD3	Q9NPD3	EXOS4_HUMAN	EXOSC4	Exosome complex component RRP41	1832.76	2497.11	1830.03	1713	2294.06	1763.94
Q9NPD8	Q9NPD8	UBE2T_HUMAN	UBE2T	Ubiquitin-conjugating enzyme E2 T	901.131	796.211	1093.04	1146.59		789.018
Q9NPE3	Q9NPE3	NOP10_HUMAN	NOP10	H/ACA ribonucleoprotein complex subunit 3	854.795	1122.9	926.984	1251.58	1458.05	1408.93
Q9NPF4	Q9NPF4	OSGEP_HUMAN	OSGEP	Probable tRNA N6-adenosine threonylcarbamoyltransferase	1359.78	1125.65	883.056	1071.7	1085.92	1264.27
Q9NPF5	Q9NPF5	DMAP1_HUMAN	DMAP1	DNA methyltransferase 1-associated protein 1		6057.61	2635.03			
Q9NPJ3	Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13	1792.48	1358.54	1592.47	1281.51	879.294	1301.59
Q9NQ29	Q9NQ29	LUC7L_HUMAN	LUC7L	Putative RNA-binding protein Luc7-like 1	355.043	197.923	676.239		708.61	
Q9NQ48	Q9NQ48	LZTL1_HUMAN	LZTFL1	Leucine zipper transcription factor-like protein 1	584.309	1213.74	836.425	1315.46	392.961	796.792
Q9NQ55	Q9NQ55	SSF1_HUMAN	PPAN	Suppressor of SWI4 1 homolog		251.976	201.717		569.875	602.313
