Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5563.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-18-2024_Slot2-91_5564.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5565.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5566.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_100nlminA_25cm_4-19-2024_Slot2-91_5567.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5569.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5570.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5571.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5572.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_150nlminA_25cm_4-19-2024_Slot2-91_5573.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5575.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5576.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5577.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5578.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminA_25cm_4-19-2024_Slot2-91_5579.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5581.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5582.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5583.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5584.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminB_25cm_4-19-2024_Slot2-91_5585.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5587.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5588.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5589.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5590.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_25cm_4-19-2024_Slot2-91_5591.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5592.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5593.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5594.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5595.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_25cm_4-19-2024_Slot2-91_5596.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5597.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5598.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5599.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5600.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_25cm_4-20-2024_Slot2-91_5601.d
Q9NZ01	Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase		561119		260049	287443	2645.49	1903.21	1944.9	1769.5	2322.72	1611.46	1742.11	1725.94	2040.32	2131.09	2225.18	2054.84	2333.17	2835.97	2616.44	1758.91	2165.06	2053.75	2203.75	2148.61	2550.69	1766.01	2125.51	1746.54	2282.33	1739.31	1863.89	2342.31	2003.83	1343.02
Q9NZ32	Q9NZ32	ARP10_HUMAN	ACTR10	Actin-related protein 10										753.096																			534.85	419.468	334.503				
Q9NZ45	Q9NZ45	CISD1_HUMAN	CISD1	CDGSH iron-sulfur domain-containing protein 1						945.279	747.478	697.729	1051.53	1135.42	709.989	1112.05	861.819	1530.24	1202.14	548.875	734.438		568.279	1725.08	959.987	1043.45	1506.69	1186.06	1434.41	1031.26	1503.77	916.826	1352.7	725.001	840.616	1005.99	636.967	1338.49	1267.23
Q9NZB2	Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1						788.578	481.854	524.798	415.809	965.683	611.802	299.452	833.503		1010.28	779.305	757.906	700.476	598.803	572.55	836.586	822.569	509.456	1085.37	621.353	638.775	914.201	577.714	587.402	657.919	351.272	1122.62	739.303	752.964	537.316
Q9NZI8	Q9NZI8	IF2B1_HUMAN	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1						1649.96		658.083	436.164	521.471	434.909	1113.96		567.82	436.866	430.409	505.276	477.815	696.106	529.993	428.179	750.684	335.773	543.524	755.02	641.127	311.931	602.1	358.531	1384.48	333.495	859.929	523.371	683.369	338.537
Q9NZJ7	Q9NZJ7	MTCH1_HUMAN	MTCH1	Mitochondrial carrier homolog 1							692.633	816.784	1012.06	733.379	962.128	1105.29		492.368	2118.75	560.434	763.768	1053.28	412.385	610.541	203.97		638.258	223.063	684.159	604.933		685.698	737.004	495.517	1002.73	979.584	1157.94		1750.34
Q9NZL4	Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1						838.6				1030.42		784.645	390.158			833.928	574.127			938.631		712.806			775.306		586.211	520.045	896.467	645.1		973.47	961.556		
Q9NZL9	Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta						1322.99	706.883	1135.48	1512.76	1359.79	1455.21	1816.21	2112.19	1715.43	1070.54	1013.6	1581.85	1263.64	1646.96	1092.85	1171.33	1497.64	1018.87	1221.8	1105.37	1206.26	1423.88	1025.91	706.461	1452.78	1375.1	1217.86	1372.42	1490.66	1456.81
Q9NZM1	Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin		1.39E+06	1.09E+06		472311	3925.63	2960.64	4032.73	3914.1	3864.84	3335.71	3180.97	3103.24	3289.33	3569.94	3917.55	3468.14	4366.89	3563.53	3413.24	3524.54	3401.5	3166.79	3494.23	3475.57	3428.43	3523.38	3277.37	3093.95	4062.85	3305.2	3718.33	3455.81	3309.51	3579.66
Q9NZN4	Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2			321433			1662.56	1568.02	1857.7	2168	1804.95	1940.74	1978.52	1667.16	1934.73	2014.3	1971.34	1733.82	1869.87	2021.99	1485.25	1883.99	1488.75	2071.2	1918.25	1880.32	1361.16	1792.78	1792.06	1784.6	1921.17	1754.02	1932.24	2129.44	1752.39	1948.7
Q9NZT2	Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor											390.574		630.831			446.417	405.073	778.405		709.388	165.687	473.139		425.847	579.405	595.674	791.034	468.098	1253.65	385.729	822.378	412.371		413.74	
Q9NZW5	Q9NZW5	PALS2_HUMAN	PALS2	Protein PALS2							276.676								107.921		338.892				588.693	257.536	467.517	789.452				1939.78			284.887	195.169	376.707	456.877	308.17
Q9NZZ3	Q9NZZ3	CHMP5_HUMAN	CHMP5	Charged multivesicular body protein 5						1100.28			1729.15		1228.42	1454	1464.47	1391.63	1408.32	1002.77	1265.58	1809.1	990.339		1703.91		1287.44	1173.16		1529.13	1867.78	1383.06	1158.06	768.551		1252.5		1208.76	1404.17
Q9P013	Q9P013	CWC15_HUMAN	CWC15	Spliceosome-associated protein CWC15 homolog														464.854			396.197		366.325																
Q9P015	Q9P015	RM15_HUMAN	MRPL15	"39S ribosomal protein L15, mitochondrial"						535.741		347.538	496.94	248.833	839.278	561.837	421.995	365.365	699.941	179.545	544.653	777.255	729.514	691.491	625.831	706.248	620.251	570.651	473.804	514.767	483.951	830.556	548.904	693.888	572.019	737.703	700.32	610.005	421.112
Q9P016	Q9P016	THYN1_HUMAN	THYN1	Thymocyte nuclear protein 1													1246.11		883.924								1233.72		475.942	395.924	518.424	823.155				226.206			
Q9P032	Q9P032	NDUF4_HUMAN	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4															343.082					1010.27				487.738	318.236								521.11		
Q9P035	Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3						304.763	540.763	577.248	664.87	483.444		273.138	457.344	505.359	576.951	280.267	335.677	499.368	758.294	219.067	681.994	415.733	653.457	561.89	535.844	251.923	338.386	750.45	637.254	429.174	781.485	426.536	387.036	578.291	372.961
Q9P0I2	Q9P0I2	EMC3_HUMAN	EMC3	ER membrane protein complex subunit 3												156.009	569.095		109.788							92.4871		198.683						98.4932					
Q9P0J0	Q9P0J0	NDUAD_HUMAN	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13						989.21							1510.87							498.597		764.553	315.295				387.264		630.144	623.466			533.533		
Q9P0K7	Q9P0K7	RAI14_HUMAN	RAI14	Ankycorbin						2269.12				1018.38			616.374	717.654	1414.86	1867.43	1459.83	1834.34	1229.01	2446.59	559.431	459.697	764.124	530.689		861.062	903.541	1187.85	786.154	1139.93	742.113	1670.53	884.559	872.204	815.031
Q9P0L0	Q9P0L0	VAPA_HUMAN	VAPA	Vesicle-associated membrane protein-associated protein A						2267.9	2942.37	3033.93	3224.45	4719.66	2350.06	3616.13	3219.82	2303.76	2511.64	3824.5	3312.34	4618.39	3572.98	3294.67	3227.74	3182.49	2803.47	2826.24	2473.78	3158.5	3250.24	2349.6	2874.33	2214.88	2300.08	2030.65	3265.25	2235.56	1806.58
Q9P0M9	Q9P0M9	RM27_HUMAN	MRPL27	"39S ribosomal protein L27, mitochondrial"											827.242	536.816	1174.04	676.608	827.369	792.323		837.835		826.898	661.04	575.292	1145.06	1209.07	558.713	754.715			896.172	1076.87	836.735	1145.45	253.767	545.786	184.704
Q9P0R6	Q9P0R6	GSKIP_HUMAN	GSKIP	GSK3B-interacting protein													323.491							463.596	264.444		240.888	182.642	118.848		381.17		314.339	124.622					
Q9P0S2	Q9P0S2	COX16_HUMAN	COX16	"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial"												824.931		612.319	1165.9							1278.2												430.378	
Q9P0U1	Q9P0U1	TOM7_HUMAN	TOMM7	Mitochondrial import receptor subunit TOM7 homolog									1499.53	1108.05		1574.18			957.93	1356.12	1351.28	1574.97	1936.85	1604.32		1434.88	1597.71	1810.16		1110.82	1799.66	1985.5	1785.79	1311.81	1377.68		1630	1329.12	1826.41
Q9P0V3	Q9P0V3	SH3B4_HUMAN	SH3BP4	SH3 domain-binding protein 4									604.741		426.341	1126.44	688.44		679.623	719.367	969.645	582.66	415.322	794.833	533.571	571.754	659.84	1133.56	721.945	724.14	714.763	623.234	719.323	692.749	933.678	626.523	801.808	917.668	544.075
Q9P0V9	Q9P0V9	SEP10_HUMAN	SEPTIN10	Septin-10														378.122			563.806						226.886			226.055	190.59	439.907	108.813	158.309	314.64	405.799	128.41		
Q9P206	Q9P206	K1522_HUMAN	KIAA1522	Uncharacterized protein KIAA1522						496.489	433.817	397.033	677.036		568.044	896.34		623.233	536.355		675.16	374.065	462.436	586.115	502.105	702.97	458.438		1095.35	603.747	540.727	392.952	400.669				802.717	689.763	353.429
Q9P258	Q9P258	RCC2_HUMAN	RCC2	Protein RCC2						2621.4	2652.61	1536.86	2178.78	2754.95	2986.74	2377.24	2543.69	2503.31	1854.44	2630.46	2535.98	3041.67	2425.99	2241.74	2291.83	2933.14	2196.28	2458.16	2575.22	2276.39	2510.81	2616.67	2227.57	2067.57	2662.32	2313.18	1699	2625.83	2616.78
Q9P265	Q14689;Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B								572.503			308.893					634.562							680.093	812.214	453.318			572.822		448.136	992.818				567.086
Q9P287	Q9P287	BCCIP_HUMAN	BCCIP	BRCA2 and CDKN1A-interacting protein									644.944		440.741	819.13	823.976	884.917		787.9	887.327	418.968	735.898	588.287	578.383	352.358	268.709	500.602	907.88	369.036	767.885	616.498	581.437	307.395	508.577	488.717	468.891	739.311	472.949
Q9P289	Q9Y6E0;Q9P289	STK26_HUMAN	STK26	Serine/threonine-protein kinase 26						1089.58	1205.11	692.362	1103.66	675.351	793.084	1325.46	1107.01	1073.56	1106.69	1059.12	1464.58	1109.54	786.733	1171.54	868.502	1175.7	1254.64	962.014	1302.1	980.818	649.806	689.674	1106.21	1450.23	903.676	885.415	1119.93	969.861	1169.23
Q9P2B2	Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator									816.446		1019.61	422.6	573.472	369.007	810.658	266.561	647.236	785.319	481.066	724.442	797.5		526.743	701.914	531.868	246.639	678.595	541.553	826.741		451.395	907.627	830.675	852.783	1145.05
Q9P2E9	Q9P2E9	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1						2183.29	1099.87	1929.93	1602.99	1568.13	1643.16	1600.67	1907.26	1637.91	1630.9	1540.42	1547.12	1305.21	1599.55	1863.95	1635.66	1259.39	1444.91	1686.74	1447.99	1391.11	1474.64	1663.72	1831.2	1577.8	1392.25	1413.79	1500.61	1514.4	1844.76
Q9P2I0	Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2												678.979				367.788	309.9					571.645		876.075		745.088				476.888	890.419	1139.43	597.253	513.739	505.311
Q9P2J5	Q9P2J5	SYLC_HUMAN	LARS1	"Leucine--tRNA ligase, cytoplasmic"						1173.56	2581.85	2370.91	930.335	1747.9	1946.45	2005	1912.34	2087.13	2008.54	2020.6	2365.99	2590.45	2448.11	1804.36	2552.19	2405.2	1967.59	1931.61	2418.97	2070.18	2197.66	2325.84	1938.99	2212.31	2702.39	2918.22	2283.48	3028.34	2401.57
Q9P2N5	Q9P2N5	RBM27_HUMAN	RBM27	RNA-binding protein 27									733.005	596.747	1115.54			608.221	447.649	995.992	1462.35				263.839		893.683			404.626	344.55	1259.63			569.083		934.807		499.069
Q9P2R3	Q9P2R3	ANFY1_HUMAN	ANKFY1	Rabankyrin-5							857.131				520.815		567.853		970.39	372.281			293.688		940.932		700.924	559.642	1643.41		521.936	596.972		881.278	302.225	261.058	742.3		
Q9P2R7	Q9P2R7	SUCB1_HUMAN	SUCLA2	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"						945.181	1217.31				784.304	570.335	1657.77	1292.65	884.158	754.694	670.211	1325.05	1780.32	692.748	980.041	869.122	735.677	577.956	511.605	913.61	776.424	798.323	499.041	995.378	462.586	555.281	2254.9	738.229	392.398
Q9P2X0	Q9P2X0	DPM3_HUMAN	DPM3	Dolichol-phosphate mannosyltransferase subunit 3											661.875	639.162	772.294	1332.21	265.189	2413.84			2161.8		847.967	955.083	374.148	594.335	1315.08	1125.64	407.436	460.532	782.586	553.635	1127.18		611.143	840.401	875.13
Q9UBB4	Q9UBB4	ATX10_HUMAN	ATXN10	Ataxin-10						1701.47	2482.82	2461.43	2961.19	2079.1	2736.4	2244.6	1948.27	2063.97	2071.04	2052.03	2245.38	2317.7	1822.73	2059.88	1745.85	2262.81	2057.19	1712.4	1452.52	2075.02	2051.25	1973.17	2109.04	1557.3	2043.77	2229.57	2183.92	1899.08	2290.69
Q9UBB5	Q9UBB5	MBD2_HUMAN	MBD2	Methyl-CpG-binding domain protein 2						251.449						195.562	306.147								676.772							547.68							
Q9UBC2	Q9UBC2	EP15R_HUMAN	EPS15L1	Epidermal growth factor receptor substrate 15-like 1													399.744				221.876					230.014				262.702			487.283		616.557	441.167	380.6		527.492
Q9UBD5	Q9UBD5	ORC3_HUMAN	ORC3	Origin recognition complex subunit 3																			184.751			322.624	352.14	153.969								488.97	377.371	294.168	31.6155
Q9UBE0	Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1						1017.45	1623.17	1849.24	2089.72	1078.82	1061.94	1586.77	1514.82	1155.21	2161.67	1482.88	1427.24	1198.55	1002.95	1382.38	2076.78	1416.65	1500.82	2074.8	1864.88	1640.23	1605.26	1436.2	1821.35	1313.19	2173.77	1250.15	1330.05	1655.98	1671.18
Q9UBF2	Q9UBF2	COPG2_HUMAN	COPG2	Coatomer subunit gamma-2													418.292		761.752			396.092			781.23											401.51		279.115	
Q9UBG0	Q9UBG0	MRC2_HUMAN	MRC2	C-type mannose receptor 2											526.598						776.826		384.764					662.948			644.816								638.416
Q9UBI1	Q9UBI1	COMD3_HUMAN	COMMD3	COMM domain-containing protein 3						223.528														167.134						495.585	173.824	342.318		235.233		340.59			
Q9UBI6	Q9UBI6	GBG12_HUMAN	GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12											1480.08		2008.09	2082.75	3344.46		2080.27				1645.77	2770.41	2369.59	2163.55	1914.77	1284.27	2054.72	1365.04	1398.81	1799.15	1387.91	1789.63	1728.45	1782.23	1769.57
Q9UBK8	Q9UBK8	MTRR_HUMAN	MTRR	Methionine synthase reductase						293.053					403.159	224.114	510.814		447.272	365.436					961.491		317.686	698.628				295.382			234.253		353.51		
Q9UBL3	Q9UBL3	ASH2L_HUMAN	ASH2L	Set1/Ash2 histone methyltransferase complex subunit ASH2						496.627		433.191							255.757					894.078				457.304					661.363	840.453					
Q9UBM7	Q9UBM7	DHCR7_HUMAN	DHCR7	7-dehydrocholesterol reductase												2137.62	2390.84	2616.46	1922.36	2232.77	2011.18	2958.72	2815.5	2409.12	2693.71	2969.41	1475.28	1915.73	1908.22	2715.04	2029.62	1976.12	2157.78	2727.49	2580	2524.05	1774.25	1912.84	2273.76
Q9UBP6	Q9UBP6	TRMB_HUMAN	METTL1	tRNA (guanine-N(7)-)-methyltransferase																	570.698		712.226		451.539	620.445	372.775	580.701		580.585	181.504	468.811	157.583	418.622			925.786	321.253	
Q9UBQ0	Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29						1120.39	1585.09	1370.22	1495.02	1890.18	1655.97	1743.08	1761.18	1878.2	1890.77	1571.77	1777.51	2027.99	1420.27	2307.74	1773.55	1646.73	1787.36	1196.04	1203.81	1706.89	1252.43	1238.42	1749.59	1612.23	1830.05	1224.6	1289.02	1660.9	1517.19
Q9UBQ5	Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K						1281.68	2685.78	1817.75	1392.74	2753.34	1448.44	1595.72	2297.87	1541.04	2394.85	2962.19	2650.58	2214.01	2585.63	2300.14	2627.48	1734.39	1864.44	1927.46	2278.97	3223.1	3075.92	2132.01	2635.35	2972.65	2440.96	3170.31	2339.37	1292.25	3010.85
Q9UBQ7	Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase					240999	5146.22	3261.44	3138.77	2809.48	1950.16	1498.11	1654.11	1479.46	1284.61	2231.23	1456.94	1614.69	1628.78	1649.14	1873.53	1839.19	1532.62	1471.93	1829.46	1489.44	1287.06	1634.82	1615.26	1363.15	1113.57	1023.58	1348.84	1585.87	1367.98	1601.49
Q9UBR2	Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z				293794	279868	2995.11	3972.23	3458.95	3241.19	3470.77	3368.78	2912.76	3033.61	3464.86	2821.64	2741.16	3866.64	2990.3	3715.73	2452.95	2724.47	3712.7	2957.11	3413.26	3492.8	3304.85	2750.55	3596.22	2062.58	2877.59	2404.57	3285.07	3495.93	2954.98	2235.02
Q9UBS4	Q9UBS4	DJB11_HUMAN	DNAJB11	DnaJ homolog subfamily B member 11						1373.65	1865.12		1955.07	1474.79	1114.12	1765.74	1290.04	1148.22	1392.66	1043.35	1236.86	1490.77	981.193	859.96	1024.44	1047.66	1854.25	1061.06	1362	1317.15	1075.12	1124.04	965.878	1349.9	1269.96	1790.4	1284.56	1113.42	1326.91
Q9UBT2	Q9UBT2	SAE2_HUMAN	UBA2	SUMO-activating enzyme subunit 2						2266.59	1491.46	2607.6	1488.33	1242.48	1469.67	1676.13	1809.9	1688.17	1524.76	1773.52	1908.49	2053.08	1905.03	1661.67	1019.06	1532.22	1294.26	1192.75	1471.58	1450.5	1419.88	2108.56	1615.28	1480.55	1366.06	2032.36	1683.5	1909.25	1811.75
Q9UBU8	Q9UBU8	MO4L1_HUMAN	MORF4L1	Mortality factor 4-like protein 1													338.717	574.741			617.007				432.663			275.873		137.549	244.55		266.062		436.271	259.725		380.725	
Q9UBU9	Q9UBU9	NXF1_HUMAN	NXF1	Nuclear RNA export factor 1							892.163	788.961	633.724		554.649	789.647	484.485	606.23	506.604	510.907	892.005	448.114	507.001	390.894	541.376	493.906	530.19	493.054	739.909	749.617	522.239	602.706	581.237	375.952	754.571		973.103	704.703	894.906
Q9UBV8	Q9UBV8	PEF1_HUMAN	PEF1	Peflin						815.503				849.382			814.912	794.51							658.095	709.115	214.334	504.768					636.926				941.306		1083.51
Q9UBW8	Q9UBW8	CSN7A_HUMAN	COPS7A	COP9 signalosome complex subunit 7a						2282.22	2405.79	860.465	720.775	985.95	730.432	1655.54	928.408		776.816	1088.47	1140.86	1026.79		572.096	572.754		744.102	675.152	918.312	516.716	592.838	635.184			204.258	819.122	555.346	785.588	1318.82
Q9UBX3	Q9UBX3	DIC_HUMAN	SLC25A10	Mitochondrial dicarboxylate carrier						1428.87	533.182			1850.47	504.437	1207.21	1033.54	704.93		773.882	902.296	1015.87	952.415	839.149	806.446		1246.07	984.134	698.25	872.788	927.432	1222.02	1079.43	1272.34	2171.11	995.977	812.088	792.993	1184.09
Q9UDW1	Q9UDW1	QCR9_HUMAN	UQCR10	Cytochrome b-c1 complex subunit 9							865.003		651.793		838.277	496.436	587.894	505.433		620.551	421.639	531.161	480.654	975.874	714.252	389.69	527.893	1193.13	1093.12	661.477	1301.74	896.267	734.433	686.313	1058.27	553.383	902.531	1446.23	873.489
Q9UDY2	Q9UDY2	ZO2_HUMAN	TJP2	Tight junction protein ZO-2														2694.51										346.834									3888.19	4160.6	
Q9UDY4	Q9UDY4	DNJB4_HUMAN	DNAJB4	DnaJ homolog subfamily B member 4						555.395	655.973	748.84	496.498	496.223	957.875	1169.47	890.231	784.539	1050.3	1169.84	771.395	1156.53	862.657	753.435	826.305	545.185	998.232	1252.84	849.191	1301.8	977.931	1214.52	754.018	1133.56	938.147	937.141	860.127	1050.74	964.965
Q9UEE9	Q9UEE9	CFDP1_HUMAN	CFDP1	Craniofacial development protein 1						844.652	438.554	588.774	550.35	349.732	567.201	725.542		779.457	898.268	634.242	591.553		1004.92	338.912	765.197	804.636	680.711	203.068	407.063	352.91	524.431	747.596	1028.3		887.208	578.12	1104.53	804.024	971.259
Q9UEW8	Q9UEW8	STK39_HUMAN	STK39	STE20/SPS1-related proline-alanine-rich protein kinase						202.921			738.402												404.941			186.331	872.672		562.922				531.969				
Q9UEY8	Q9UEY8	ADDG_HUMAN	ADD3	Gamma-adducin																												168.298							
Q9UFW8	Q9UFW8	CGBP1_HUMAN	CGGBP1	CGG triplet repeat-binding protein 1											783.572	633.735				252.043		161.741				703.122	712.878	254.379			286.783		424.116			165.64	671.204	192.459	467.615
Q9UG63	Q9UG63	ABCF2_HUMAN	ABCF2	ATP-binding cassette sub-family F member 2						1700.26	1075.32	1561.9	1537.89		607.334	663.016	1104.61	1141.45	1102.46	707.646	1089.71	831.927	482.724	1233.78		651.852	882.348	1041.6	709.999	1461.83	744.546	2063.69	1142.29	1071.88		1086.56	1460.19	881.767	1301.09
Q9UGI8	Q9UGI8	TES_HUMAN	TES	Testin						1582.55	1470.39	2156.53	2050.49	2155.25	2514.64	2062.68	2284.43	1773.23	2414.1	1990.12	1855.79	2156.18	2612.72	1715.13	2346.73	2593.05	1577.88	1608.93	1855.45	2288.26	2355.62	3644.11	2085.54	1521.2	2248.52	1872.96	2091.03	1970.34	1953.44
Q9UGP8	Q9UGP8	SEC63_HUMAN	SEC63	Translocation protein SEC63 homolog										762.088	469.442			742.165	883.386	642.58	585.401		755.627	493.179	1003.01	481.202	357.674	359.31	662.696	631.989	389.19	376.123	644.034	569.439	551.919	427.169		477.071	768.883
Q9UGV2	Q9UGV2	NDRG3_HUMAN	NDRG3	Protein NDRG3						482.88		1022.97	1810.81	640.839	819.267	861.867	640.625	496.362	793.562	943.319	709.728	1041.78	1058.18	941.938	707.271	346.069	956.063	443.896	622.833	459.073	625.236	808.152	794.704	518.064	953.748	611.218	569.988	982.98	986.677
Q9UH62	Q9UH62	ARMX3_HUMAN	ARMCX3	Armadillo repeat-containing X-linked protein 3								372.198				516.68		390.124	478.542		322.348		400.13		349.099	284.22			302.405	484.294	368.628		335.328		227.199		347.4	578.712	479.908
Q9UH65	Q9UH65	SWP70_HUMAN	SWAP70	Switch-associated protein 70						1084.82			866.118		890.787	1054.68	767.258	1246.69	1541.9	771.967	514.974	392.351	694.708	814.094	909.268	890.268	619.163	748.082	635.328	527.057	495.738	655.356	578.917	469.581	655.526	1279.98	789.05	1009.67	557.309
Q9UH99	Q9UH99	SUN2_HUMAN	SUN2	SUN domain-containing protein 2										923.051		396.597	407.857	254.37	662.503	818.253	836.696	349.637				358.232		368.869				726.371	503.325	864.714	577.695	454.06	702.19	779.195	481.88
Q9UHA3	Q9UHA3	RLP24_HUMAN	RSL24D1	Probable ribosome biogenesis protein RLP24							594.124						374.952	617.502					503.029					96.1365		96.8786	323.302					336.048	223.112	681.788	308.979
Q9UHB6	Q9UHB6	LIMA1_HUMAN	LIMA1	LIM domain and actin-binding protein 1	1.23E+06		840761			3095.12	2638.28	2940.71	2201.91	2561.25	2633.28	2489.21	3266.77	2724.35	3064.83	2652.57	3156.55	2962.67	3310.58	2875.48	2558.19	2860.3	2311.64	2264.3	3169.72	2487.62	3188.59	2496.37	3033.63	2271.7	2334.48	3058.21	2587.35	3112.8	2163.85
