Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Unique Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Unique Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Unique Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Unique Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Unique Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Unique Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Unique Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Unique Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Total Spectral Count	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Total Spectral Count	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Total Spectral Count	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Total Spectral Count	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Total Spectral Count	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Total Spectral Count	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Total Spectral Count	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Total Spectral Count	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 Intensity	Hela_DDA_25cm_10ng_3_31_2023_Slot2_13_1359 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_6_2023_Slot2_94_1457 MaxLFQ Intensity	Hela_DDA_25cm_10ng_4_7_2023_Slot1_39_1491 MaxLFQ Intensity	Hela_DDA_25cm_2500pg_3_31_2023_Slot2_15_1357 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_30_2023_Slot2_07_1337 MaxLFQ Intensity	Hela_DDA_25cm_250pg_3_31_2023_Slot2_19_1353 MaxLFQ Intensity	Hela_DDA_25cm_500pg_3_31_2023_Slot2_18_1354 MaxLFQ Intensity	Hela_DDA_25cm_750pg_3_31_2023_Slot2_17_1355 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q9NP79|VTA1_HUMAN	Q9NP79	VTA1_HUMAN	VTA1	307	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein VTA1 homolog	1	0.999	7	24	24	24	5	7	7	5	0	0	0	0	5	7	7	5	0	0	0	0	5	7	7	5	0	0	0	0	64947.516	115551.484	113095.14	42008.285	0	0	0	0	28040.418	35242.707	35026.86	28674.68	0	0	0	0	
sp|Q9NP81|SYSM_HUMAN	Q9NP81	SYSM_HUMAN	SARS2	518	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Serine--tRNA ligase, mitochondrial"	1	0.999	5	7	7	7	2	3	2	0	0	0	0	0	2	3	2	0	0	0	0	0	2	3	2	0	0	0	0	0	11857.954	16606.541	18390.312	0	0	0	0	0	8930.841	9520.627	8962.501	0	0	0	0	0	
sp|Q9NP92|RT30_HUMAN	Q9NP92	RT30_HUMAN	MRPS30	439	Homo sapiens OX=9606	1:Experimental evidence at protein level	"39S ribosomal protein S30, mitochondrial"	1	0.999	4	8	8	8	2	3	3	0	0	0	0	0	2	3	3	0	0	0	0	0	2	3	3	0	0	0	0	0	21901.744	37279.527	30267.127	0	0	0	0	0	11180.828	19387.213	18750.553	0	0	0	0	0	
sp|Q9NPA0|EMC7_HUMAN	Q9NPA0	EMC7_HUMAN	EMC7	242	Homo sapiens OX=9606	1:Experimental evidence at protein level	ER membrane protein complex subunit 7	1	0.999	3	11	11	11	3	3	4	1	0	0	0	0	3	3	4	1	0	0	0	0	3	3	4	1	0	0	0	0	50439.46	130423.79	84650.61	49887.863	0	0	0	0	35803.16	70745.016	52955.61	41695.14	0	0	0	0	
sp|Q9NPA8|ENY2_HUMAN	Q9NPA8	ENY2_HUMAN	ENY2	101	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription and mRNA export factor ENY2	1	0.999	4	9	9	9	3	2	3	1	0	0	0	0	3	2	3	1	0	0	0	0	3	2	3	1	0	0	0	0	34468.027	42156.06	39334.887	24479.74	0	0	0	0	16082.409	32385.793	21765.568	0	0	0	0	0	
sp|Q9NPD3|EXOS4_HUMAN	Q9NPD3	EXOS4_HUMAN	EXOSC4	245	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exosome complex component RRP41	1	0.999	4	21	21	21	3	5	7	5	0	0	1	0	3	5	7	5	0	0	1	0	3	5	7	5	0	0	1	0	25885.29	53159.87	95145.414	34354.344	0	0	0	0	15079.646	24262.143	22300.346	20225.342	0	0	0	0	
sp|Q9NPD8|UBE2T_HUMAN	Q9NPD8	UBE2T_HUMAN	UBE2T	197	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 T	1	0.999	6	18	18	18	3	7	6	2	0	0	0	0	3	7	6	2	0	0	0	0	3	7	6	2	0	0	0	0	21869.416	59175.383	59683.71	27611.92	0	0	0	0	11355.622	19620.8	18038.38	17286.012	0	0	0	0	
sp|Q9NPE3|NOP10_HUMAN	Q9NPE3	NOP10_HUMAN	NOP10	64	Homo sapiens OX=9606	1:Experimental evidence at protein level	H/ACA ribonucleoprotein complex subunit 3	1	0.999	3	9	9	9	1	4	4	0	0	0	0	0	1	4	4	0	0	0	0	0	1	4	4	0	0	0	0	0	13750.453	33175.117	46750.76	0	0	0	0	0	0	18356.383	20681.926	0	0	0	0	0	
sp|Q9NPF0|CD320_HUMAN	Q9NPF0	CD320_HUMAN	CD320	282	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD320 antigen	1	0.999	2	2	2	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	11013.46	0	2976.5767	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NPF4|OSGEP_HUMAN	Q9NPF4	OSGEP_HUMAN	OSGEP	335	Homo sapiens OX=9606	1:Experimental evidence at protein level	tRNA N6-adenosine threonylcarbamoyltransferase	1	0.999	4	11	11	11	2	5	3	1	0	0	0	0	2	5	3	1	0	0	0	0	2	5	3	1	0	0	0	0	43731.617	34663.31	40718.473	15533.066	0	0	0	0	20021.906	18819.375	22194.91	0	0	0	0	0	
sp|Q9NPF5|DMAP1_HUMAN	Q9NPF5	DMAP1_HUMAN	DMAP1	467	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA methyltransferase 1-associated protein 1	1	0.999	3	5	5	5	1	1	3	0	0	0	0	0	1	1	3	0	0	0	0	0	1	1	3	0	0	0	0	0	11231.652	7205.609	15980.273	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NPG3|UBN1_HUMAN	Q9NPG3	UBN1_HUMAN	UBN1	1134	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubinuclein-1	0.9249	0.996	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6115.219	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NPJ3|ACO13_HUMAN	Q9NPJ3	ACO13_HUMAN	ACOT13	140	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-coenzyme A thioesterase 13	1	0.999	3	8	8	8	2	2	3	1	0	0	0	0	2	2	3	1	0	0	0	0	2	2	3	1	0	0	0	0	33884.395	25011.094	23490.729	20118.367	0	0	0	0	21598.42	18130.014	17452.883	0	0	0	0	0	
sp|Q9NPJ6|MED4_HUMAN	Q9NPJ6	MED4_HUMAN	MED4	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 4	0.9801	0.999	1	2	2	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4608.4307	5218.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NPJ8|NXT2_HUMAN	Q9NPJ8	NXT2_HUMAN	NXT2	142	Homo sapiens OX=9606	1:Experimental evidence at protein level	NTF2-related export protein 2	1	0.9972	3	4	1	4	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	22906.477	12942.241	0	0	0	0	0	0	12478.805	7049.654	0	0	0	0	0	0	
sp|Q9NPL8|TIDC1_HUMAN	Q9NPL8	TIDC1_HUMAN	TIMMDC1	285	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Complex I assembly factor TIMMDC1, mitochondrial"	0.9801	0.999	1	4	4	4	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	3250.8274	3249.3716	4125.1763	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NPQ8|RIC8A_HUMAN	Q9NPQ8	RIC8A_HUMAN	RIC8A	531	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synembryn-A	1	0.999	5	11	11	11	1	5	4	1	0	0	0	0	1	5	4	1	0	0	0	0	1	5	4	1	0	0	0	0	9618.5205	10729.262	17535.094	11430.856	0	0	0	0	0	7012.22	7022.8867	0	0	0	0	0	
sp|Q9NPR9|GP108_HUMAN	Q9NPR9	GP108_HUMAN	GPR108	543	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein GPR108	0.9636	0.9981	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3956.7053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NQ29|LUC7L_HUMAN	Q9NQ29	LUC7L_HUMAN	LUC7L	371	Homo sapiens OX=9606	1:Experimental evidence at protein level	Putative RNA-binding protein Luc7-like 1	1	0.999	10	11	11	45	2	3	6	0	0	0	0	0	2	3	6	0	0	0	0	0	8	14	16	4	0	1	2	0	21122.705	10923.158	28654.254	0	0	0	0	0	11787.503	0	13154.912	0	0	0	0	0	
sp|Q9NQ48|LZTL1_HUMAN	Q9NQ48	LZTL1_HUMAN	LZTFL1	299	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leucine zipper transcription factor-like protein 1	1	0.999	7	14	14	14	2	6	6	0	0	0	0	0	2	6	6	0	0	0	0	0	2	6	6	0	0	0	0	0	23070.852	52204.164	56226.117	0	0	0	0	0	12865.3	12941.307	11313.571	0	0	0	0	0	
sp|Q9NQ50|RM40_HUMAN	Q9NQ50	RM40_HUMAN	MRPL40	206	Homo sapiens OX=9606	1:Experimental evidence at protein level	"39S ribosomal protein L40, mitochondrial"	0.9998	0.9985	2	4	4	4	0	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	22953.08	22951.523	14488.972	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NQ55|SSF1_HUMAN	Q9NQ55	SSF1_HUMAN	PPAN	473	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Suppressor of SWI4 1 homolog	1	0.999	8	16	16	16	6	6	4	0	0	0	0	0	6	6	4	0	0	0	0	0	6	6	4	0	0	0	0	0	41376.75	31259.914	35927.715	0	0	0	0	0	12171.264	16710.955	14643.586	0	0	0	0	0	
sp|Q9NQ88|TIGAR_HUMAN	Q9NQ88	TIGAR_HUMAN	TIGAR	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Fructose-2,6-bisphosphatase TIGAR"	1	0.999	5	8	8	8	0	5	3	0	0	0	0	0	0	5	3	0	0	0	0	0	0	5	3	0	0	0	0	0	0	40627.918	18207.953	0	0	0	0	0	0	11998.248	12048.21	0	0	0	0	0	
sp|Q9NQA3|WASH6_HUMAN	Q9NQA3	WASH6_HUMAN	WASH6P	447	Homo sapiens OX=9606	1:Experimental evidence at protein level	WAS protein family homolog 6	0.9998	0.999	3	7	4	7	1	4	2	0	0	0	0	0	1	2	1	0	0	0	0	0	1	4	2	0	0	0	0	0	7511.4985	29127.098	56304.15	0	0	0	0	0	0	20778.541	39130.67	0	0	0	0	0	
sp|Q9NQC3|RTN4_HUMAN	Q9NQC3	RTN4_HUMAN	RTN4	1192	Homo sapiens OX=9606	1:Experimental evidence at protein level	Reticulon-4	1	0.999	4	36	36	36	6	14	9	7	0	0	0	0	6	14	9	7	0	0	0	0	6	14	9	7	0	0	0	0	128858.42	383258.97	356527.44	148134.36	0	0	0	0	120065.48	158218.72	153448.25	86027.75	0	0	0	0	
sp|Q9NQE9|HINT3_HUMAN	Q9NQE9	HINT3_HUMAN	HINT3	182	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenosine 5'-monophosphoramidase HINT3	0.9999	0.9985	2	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8094.2905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NQG5|RPR1B_HUMAN	Q9NQG5	RPR1B_HUMAN	RPRD1B	326	Homo sapiens OX=9606	1:Experimental evidence at protein level	Regulation of nuclear pre-mRNA domain-containing protein 1B	1	0.999	8	23	23	23	6	7	9	1	0	0	0	0	6	7	9	1	0	0	0	0	6	7	9	1	0	0	0	0	52568.785	102384.45	81202.22	22018.781	0	0	0	0	19065.945	19112.158	17461.713	0	0	0	0	0	
sp|Q9NQH7|XPP3_HUMAN	Q9NQH7	XPP3_HUMAN	XPNPEP3	507	Homo sapiens OX=9606	1:Experimental evidence at protein level	Xaa-Pro aminopeptidase 3	0.9997	0.999	3	3	3	26	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	8	6	5	5	0	1	1	0	2870.5342	6882.517	7499.1333	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NQP4|PFD4_HUMAN	Q9NQP4	PFD4_HUMAN	PFDN4	134	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prefoldin subunit 4	1	0.999	4	12	12	12	1	6	5	0	0	0	0	0	1	6	5	0	0	0	0	0	1	6	5	0	0	0	0	0	0	80732.76	50870.73	0	0	0	0	0	0	24320.453	20028.344	0	0	0	0	0	
sp|Q9NQR4|NIT2_HUMAN	Q9NQR4	NIT2_HUMAN	NIT2	276	Homo sapiens OX=9606	1:Experimental evidence at protein level	Omega-amidase NIT2	1	0.999	10	28	28	28	6	10	9	3	0	0	0	0	6	10	9	3	0	0	0	0	6	10	9	3	0	0	0	0	54272.93	125548.75	87348.086	30730.55	0	0	0	0	12434.018	31877.033	21768.031	22594.953	0	0	0	0	
sp|Q9NQS1|AVEN_HUMAN	Q9NQS1	AVEN_HUMAN	AVEN	362	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cell death regulator Aven	0.9683	0.9984	1	2	2	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3276.9487	4235.391	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NQT4|EXOS5_HUMAN	Q9NQT4	EXOS5_HUMAN	EXOSC5	235	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exosome complex component RRP46	0.9999	0.999	2	4	4	4	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	12994.57	18550.633	5136.119	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NQT5|EXOS3_HUMAN	Q9NQT5	EXOS3_HUMAN	EXOSC3	275	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exosome complex component RRP40	1	0.999	3	6	6	6	1	2	3	0	0	0	0	0	1	2	3	0	0	0	0	0	1	2	3	0	0	0	0	0	3070.2031	26620.717	34617.766	0	0	0	0	0	0	17949.127	19533.645	0	0	0	0	0	
sp|Q9NQW6|ANLN_HUMAN	Q9NQW6	ANLN_HUMAN	ANLN	1124	Homo sapiens OX=9606	1:Experimental evidence at protein level	Anillin	1	0.999	17	32	32	32	8	14	8	2	0	0	0	0	8	14	8	2	0	0	0	0	8	14	8	2	0	0	0	0	62234.844	81402.875	43072.094	14324.08	0	0	0	0	11869.843	8320.091	10044.393	0	0	0	0	0	
sp|Q9NQW7|XPP1_HUMAN	Q9NQW7	XPP1_HUMAN	XPNPEP1	623	Homo sapiens OX=9606	1:Experimental evidence at protein level	Xaa-Pro aminopeptidase 1	1	0.999	8	15	13	15	5	5	5	0	0	0	0	0	3	5	5	0	0	0	0	0	5	5	5	0	0	0	0	0	56429.984	50708.605	49866.555	0	0	0	0	0	13091.832	15717.918	16821.625	0	0	0	0	0	
sp|Q9NQX3|GEPH_HUMAN	Q9NQX3	GEPH_HUMAN	GPHN	736	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gephyrin	1	0.999	4	13	13	13	2	5	6	0	0	0	0	0	2	5	6	0	0	0	0	0	2	5	6	0	0	0	0	0	11561.391	25160.926	26548.303	0	0	0	0	0	0	10553.451	9857.141	0	0	0	0	0	
sp|Q9NQZ2|SAS10_HUMAN	Q9NQZ2	SAS10_HUMAN	UTP3	479	Homo sapiens OX=9606	1:Experimental evidence at protein level	Something about silencing protein 10	1	0.999	3	4	4	4	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	4899.467	16067.57	8267.46	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NR09|BIRC6_HUMAN	Q9NR09	BIRC6_HUMAN	BIRC6	4857	Homo sapiens OX=9606	1:Experimental evidence at protein level	Baculoviral IAP repeat-containing protein 6	0.9999	0.9989	2	2	2	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2852.357	3387.0942	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NR12|PDLI7_HUMAN	Q9NR12	PDLI7_HUMAN	PDLIM7	457	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 7	1	0.999	13	56	56	56	10	23	18	5	0	0	0	0	10	23	18	5	0	0	0	0	10	23	18	5	0	0	0	0	144433.95	345679.5	268971.1	147905.34	0	0	0	0	48206.824	66702.56	79915.055	71992.664	0	0	0	0	
sp|Q9NR19|ACSA_HUMAN	Q9NR19	ACSA_HUMAN	ACSS2	701	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Acetyl-coenzyme A synthetase, cytoplasmic"	1	0.9976	5	6	6	6	1	1	4	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	4	0	0	0	0	0	0	13156.836	20255.404	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NR28|DBLOH_HUMAN	Q9NR28	DBLOH_HUMAN	DIABLO	239	Homo sapiens OX=9606	1:Experimental evidence at protein level	Diablo IAP-binding mitochondrial protein	1	0.999	5	11	11	11	3	4	4	0	0	0	0	0	3	4	4	0	0	0	0	0	3	4	4	0	0	0	0	0	18597.916	36026.582	38294.996	0	0	0	0	0	12659.43	12174.893	12708.79	0	0	0	0	0	
sp|Q9NR30|DDX21_HUMAN	Q9NR30	DDX21_HUMAN	DDX21	783	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar RNA helicase 2	1	0.999	31	139	132	140	29	38	50	21	0	0	1	0	29	34	47	21	0	0	1	0	29	38	50	22	0	0	1	0	443171.44	609703.9	711352.2	330264.56	0	0	24318.533	0	42547.188	43598.566	46681.285	45547.965	0	0	0	0	
sp|Q9NR31|SAR1A_HUMAN	Q9NR31	SAR1A_HUMAN	SAR1A	198	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein SAR1a	1	0.999	7	11	11	27	2	1	4	2	0	1	1	0	2	1	4	2	0	1	1	0	4	5	12	4	0	1	1	0	55688.9	42546.297	92334.55	61280.18	0	0	0	0	31299.623	0	65666.77	42660.477	0	0	0	0	
sp|Q9NR33|DPOE4_HUMAN	Q9NR33	DPOE4_HUMAN	POLE4	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA polymerase epsilon subunit 4	1	0.999	2	5	5	5	1	2	2	0	0	0	0	0	1	2	2	0	0	0	0	0	1	2	2	0	0	0	0	0	9520.13	20106.955	19431.21	0	0	0	0	0	0	12116.401	11746.71	0	0	0	0	0	
sp|Q9NR45|SIAS_HUMAN	Q9NR45	SIAS_HUMAN	NANS	359	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sialic acid synthase	1	0.999	7	21	21	21	7	6	7	1	0	0	0	0	7	6	7	1	0	0	0	0	7	6	7	1	0	0	0	0	46932.95	139588.12	141466.7	18047.482	0	0	0	0	12361.489	66519.164	64305.785	0	0	0	0	0	
sp|Q9NR46|SHLB2_HUMAN	Q9NR46	SHLB2_HUMAN	SH3GLB2	395	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endophilin-B2	1	0.999	9	24	20	24	7	8	7	2	0	0	0	0	6	6	6	2	0	0	0	0	7	8	7	2	0	0	0	0	59243.684	77338.99	64898.867	18635.72	0	0	0	0	20486.146	19048.887	17828.934	0	0	0	0	0	
sp|Q9NR50|EI2BG_HUMAN	Q9NR50	EI2BG_HUMAN	EIF2B3	452	Homo sapiens OX=9606	1:Experimental evidence at protein level	Translation initiation factor eIF-2B subunit gamma	1	0.999	6	12	12	12	4	5	3	0	0	0	0	0	4	5	3	0	0	0	0	0	4	5	3	0	0	0	0	0	40183.695	16161.6	14720.6455	0	0	0	0	0	12553.959	11279.256	13067.061	0	0	0	0	0	
sp|Q9NR56|MBNL1_HUMAN	Q9NR56	MBNL1_HUMAN	MBNL1	388	Homo sapiens OX=9606	1:Experimental evidence at protein level	Muscleblind-like protein 1	1	0.999	6	22	9	22	3	7	9	3	0	0	0	0	2	2	3	2	0	0	0	0	3	7	9	3	0	0	0	0	93847.414	132326	167016.38	77549.83	0	0	0	0	30777.572	35178.508	33347.246	42610.715	0	0	0	0	
sp|Q9NRF8|PYRG2_HUMAN	Q9NRF8	PYRG2_HUMAN	CTPS2	586	Homo sapiens OX=9606	1:Experimental evidence at protein level	CTP synthase 2	1	0.999	6	8	8	11	2	3	3	0	0	0	0	0	2	3	3	0	0	0	0	0	2	4	4	1	0	0	0	0	13413.842	16906.193	13382.477	0	0	0	0	0	0	8640.838	7935.9937	0	0	0	0	0	
sp|Q9NRG0|CHRC1_HUMAN	Q9NRG0	CHRC1_HUMAN	CHRAC1	131	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromatin accessibility complex protein 1	0.9998	0.998	2	5	5	5	1	2	1	1	0	0	0	0	1	2	1	1	0	0	0	0	1	2	1	1	0	0	0	0	7596.411	29015.559	30905.182	13397.591	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NRG7|D39U1_HUMAN	Q9NRG7	D39U1_HUMAN	SDR39U1	293	Homo sapiens OX=9606	1:Experimental evidence at protein level	Epimerase family protein SDR39U1	0.9743	0.9987	1	2	2	2	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	7377.235	0	0	8038.6597	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NRG9|AAAS_HUMAN	Q9NRG9	AAAS_HUMAN	AAAS	546	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aladin	1	0.999	7	16	16	16	2	6	7	1	0	0	0	0	2	6	7	1	0	0	0	0	2	6	7	1	0	0	0	0	4163.015	44531.113	73734.85	7470.267	0	0	0	0	0	15517.197	18370.68	0	0	0	0	0	
sp|Q9NRL2|BAZ1A_HUMAN	Q9NRL2	BAZ1A_HUMAN	BAZ1A	1556	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bromodomain adjacent to zinc finger domain protein 1A	0.9566	0.9978	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NRL3|STRN4_HUMAN	Q9NRL3	STRN4_HUMAN	STRN4	753	Homo sapiens OX=9606	1:Experimental evidence at protein level	Striatin-4	1	0.999	7	14	10	14	2	8	3	1	0	0	0	0	1	7	2	0	0	0	0	0	2	8	3	1	0	0	0	0	19062.312	30093.477	19528.96	0	0	0	0	0	7120.984	8806.915	13735.389	0	0	0	0	0	
sp|Q9NRN7|ADPPT_HUMAN	Q9NRN7	ADPPT_HUMAN	AASDHPPT	309	Homo sapiens OX=9606	1:Experimental evidence at protein level	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	1	0.999	2	5	5	5	1	2	2	0	0	0	0	0	1	2	2	0	0	0	0	0	1	2	2	0	0	0	0	0	8909.2295	21404.52	19014.678	0	0	0	0	0	0	12585.092	11632.057	0	0	0	0	0	
sp|Q9NRN9|METL5_HUMAN	Q9NRN9	METL5_HUMAN	METTL5	209	Homo sapiens OX=9606	1:Experimental evidence at protein level	rRNA N6-adenosine-methyltransferase METTL5	0.976	0.9988	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4936.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NRP0|OSTC_HUMAN	Q9NRP0	OSTC_HUMAN	OSTC	149	Homo sapiens OX=9606	1:Experimental evidence at protein level	Oligosaccharyltransferase complex subunit	1	0.999	2	6	6	6	0	3	3	0	0	0	0	0	0	3	3	0	0	0	0	0	0	3	3	0	0	0	0	0	0	10035.146	17793.045	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NRP2|COXM2_HUMAN	Q9NRP2	COXM2_HUMAN	CMC2	79	Homo sapiens OX=9606	1:Experimental evidence at protein level	COX assembly mitochondrial protein 2 homolog	1	0.999	2	5	5	5	2	2	1	0	0	0	0	0	2	2	1	0	0	0	0	0	2	2	1	0	0	0	0	0	22142.63	33889.598	14764.688	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NRR4|RNC_HUMAN	Q9NRR4	RNC_HUMAN	DROSHA	1374	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease 3	1	0.999	2	3	3	3	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	15588.809	7781.694	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NRR5|UBQL4_HUMAN	Q9NRR5	UBQL4_HUMAN	UBQLN4	601	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquilin-4	1	0.999	5	3	3	12	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	4	6	0	0	0	0	0	0	4651.0933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
