Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-53_3748.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-66_3767.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-83_3774.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-06_3864.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
Q9NQT5	Q9NQT5	EXOS3_HUMAN	EXOSC3	Exosome complex component RRP40																																			3232.16					33.5847	334.778	452.242	334.762	369.255	558.699
Q9NQT8	Q9NQT8	KI13B_HUMAN	KIF13B	Kinesin-like protein KIF13B			3454.58																	1941.18								12781.1							2028.22		5801.1		15449.6	1086.16	1291.54	1797.71	1440.83	1292.6	1371.36
Q9NQW6	Q9NQW6	ANLN_HUMAN	ANLN	Anillin			4332.44	6980.92	6991.25				5264.66		8002.83				758.427					2147.46	9815.93	14283.5						8892.94			5592.5		4971.01						1466.71	532.887	563.968	563.564	1080.16	864.701	1078.17
Q9NQW7	Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1	9848.37		11059.1	13213.8	10253.1	6401.96	5525.66	11495.9	8570.91	11005.9	10929.8	15807.3	13383.3	9011.92	4322.8			8322.44	10108.2	5775.45	6748.01	7982.03	8141.39	3080.12	12768.3	7332.77	8363.02	8368.78		7989.93	9997.27	7733.42	7535.96		6464.57		6968.92		5423.38	5347.33	3608.16	3500.11	3419.84	3244.01	4983.73
Q9NQX3	Q9NQX3	GEPH_HUMAN	GPHN	Gephyrin																																								1253.65	1550.79	1727.32	1604.47	1305.26	1865.3
Q9NQX4	Q9NQX4	MYO5C_HUMAN	MYO5C	Unconventional myosin-Vc										3306.07			1964.57							1987.08					1350.13	2614.87		3365											2420.09	3258.01	2854.79	4613.64	3305.53	4796.27	2864.44
Q9NQX7	Q9NQX7	ITM2C_HUMAN	ITM2C	Integral membrane protein 2C																																								962.273	783.979	1004.6	747.39	1105.55	980.561
Q9NQY0	Q9NQY0	BIN3_HUMAN	BIN3	Bridging integrator 3									13521.1						6332.16			1335.93							14609.2										12234		2635.93			1045.4	1250.53	1256.09	1907.24	1356.44	1622.16
Q9NQZ2	Q9NQZ2	SAS10_HUMAN	UTP3	Something about silencing protein 10					1680.68						3709.44																				5592.24									1737.3	1837.3	2274.95	1687.61	2116.14	2084.1
Q9NQZ5	Q9NQZ5	STAR7_HUMAN	STARD7	StAR-related lipid transfer protein 7, mitochondrial																																								1236.2	1615.22	2238.68	1770.72	1628.31	2142.49
Q9NR09	Q9NR09	BIRC6_HUMAN	BIRC6	Baculoviral IAP repeat-containing protein 6				8851.59					5662											3755.1	3781.32																			906.663	1008.1	1347.22	1182.96	1105.01	1208.44
Q9NR12	Q9NR12	PDLI7_HUMAN	PDLIM7	PDZ and LIM domain protein 7	12559.3	13900.7	10590.2	12965.6	5635.95	8749.43	11206.1	8535.62	8930.28	14553.6	10129.5	11145.5	11632.6	13512.3	5606.28			7537.36	7875.57	8762.6	11795	7361.16	7752.99		6439.15	11099.2	14609.9	8679.07		10121.6	9426.33	10959.6	7623.56		12433		9740.01		11751.2	24306.7	25263	25949.3	20303.2	23357.3	20318.5
Q9NR19	Q9NR19	ACSA_HUMAN	ACSS2	Acetyl-coenzyme A synthetase, cytoplasmic							1418.6		22714			7778.45			1285.85												6315.65													1937.92	1949.95	2117.17	1546.86	1399.5	1630.98
Q9NR28	Q9NR28	DBLOH_HUMAN	DIABLO	Diablo IAP-binding mitochondrial protein	4289.39		3772.87		5771.74		5425.78	4685.26	2361.99						5850.4			6962.6		3438.55	4446.42	1560.89					7780.08				6475.05				6560.6		2711.36			7511.31	7482.07	8886.63	9478.35	7913.93	9344.88
Q9NR30	Q9NR30	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	10772.2		9491.14	15028.8	13357.2	12104.2		8631.31	10437.9	11804.7	14494.6	17712.8	12775	13015.8	7454.57		8060.21	12044.8	16544.6	6914.14	14843	13468.7	10096	13504.3	7187.21	16045	7536.9	19259.1		10521.3	19601	9320.2	12962.5		19584.8	37067.2	11016.9	4063.99	26450.5	4952.25	4263.81	5062.08	3957.88	5265.2	4361.73
Q9NR31	Q9NR31;Q9Y6B6	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	8243.12	8699.06	9573.78	6912.22	7199.04	5394.41	6539.97	11178.2	10301.3	7410.32	3085.64	9969.17	8098.89	8153.84	7628.45			16642.8	6342.4	12257.9	7688.1	12805.1	12144.8		13936.6	10631.8	15418.4	13095.1		19659.6	16820	17984.4	17364.5		14136.9		15713.8		18078.5	40325.9	27758.1	30913.7	26359.4	28909	24539.2
Q9NR45	Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase	7555.33		5499.11	5583.89	3860.52	7883.85	5675.13	5559.77	7288.72						6202.43				5003.67			4846.76	6227.29				6130.3			8661.85		3083.05	4837.28		3593.1		3925.33		2813.27	3193.6	4426.81	6003.01	4528.24	3088.71	4715.09
Q9NR46	Q9NR46	SHLB2_HUMAN	SH3GLB2	Endophilin-B2	6622.05				3939.4	2722.18			2961.57													6639.22					7647.17												2873.91	2676.58	3051.58	3115.55	4082.81	3386.73	3984.44
Q9NR50	Q9NR50	EI2BG_HUMAN	EIF2B3	Translation initiation factor eIF-2B subunit gamma				5864.12	6424.67	6634.66									7074.99			5361.28		6132.42		9289.43						6979.95					2465.11							2971.37	3354.26	4514.2	3740.82	3710.58	3661.82
Q9NR77	Q9NR77	PXMP2_HUMAN	PXMP2	Peroxisomal membrane protein 2																																								2384.66	1791.05	2244.21	1958.88	2320.7	1920.53
Q9NRA0	Q9NRA0	SPHK2_HUMAN	SPHK2	Sphingosine kinase 2																																								505.685	386.157	489.815	433.182	513.493	402.891
Q9NRA2	Q9NRA2	S17A5_HUMAN	SLC17A5	Sialin																																								914.713	1475.44	1488.6	2072.25	2626.82	2698.61
Q9NRA8	Q9NRA8	4ET_HUMAN	EIF4ENIF1	Eukaryotic translation initiation factor 4E transporter																																								825.978	1028.8	1180.27	1147.68	1129.06	1318.08
Q9NRC1	Q9NRC1	ST7_HUMAN	ST7	Suppressor of tumorigenicity 7 protein																																								376.412	572.602	807.139	569.189	903.717	802.022
Q9NRF2	Q9NRF2	SH2B1_HUMAN	SH2B1	SH2B adapter protein 1																																								366.682	667.479	521.02	626.924	634.912	709.754
Q9NRF8	Q9NRF8	PYRG2_HUMAN	CTPS2	CTP synthase 2		8683													1803.76																				3273.11		2009.22			1358.82	1317.64	1925.23	1780.88	1627.21	1627.05
Q9NRF9	Q9NRF9	DPOE3_HUMAN	POLE3	DNA polymerase epsilon subunit 3																																								1549.25	1743.46	773.918	1485.09	2175.72	1130.97
Q9NRG0	Q9NRG0	CHRC1_HUMAN	CHRAC1	Chromatin accessibility complex protein 1	3642.09			4398.4	4362.9	2177.57	3823.37			2805.7		6783.33			3793					5187.82		5316.8								1854.11									1862.05	2694.87	1889.64	681.301	2124.22	1894.3	1970.62
Q9NRG1	Q9NRG1	PRDC1_HUMAN	PRTFDC1	Phosphoribosyltransferase domain-containing protein 1		3873.7	6750.55	4213.94	4064.62	2056.14	4500.7		2628.49	5542.98		3789.42	9622.1		1024.55					1956.78	2708.92	4828.5	4957.96		3445.21	1116.22	3448.9				3188.91				2910.42					1381.67	1619.99	1994.39	1789.88	1663.25	1788.06
Q9NRG7	Q9NRG7	D39U1_HUMAN	SDR39U1	Epimerase family protein SDR39U1																																								1828.12	1544.26	1349.35	1346.19	1464.27	1522.68
Q9NRG9	Q9NRG9	AAAS_HUMAN	AAAS	Aladin	2157.32			3414.79	4292.11		4674.54		4074.67		35569.7				3116.4		2326.66		5475.91	4265.17	9012.3	4539.37		3037.34		2334.31		5228.52							2087.18			2149.91	3814.42	2483.65	1776.46	2961.18	2036.42	2428.6	2151.49
Q9NRK6	Q9NRK6	ABCBA_HUMAN	ABCB10	ATP-binding cassette sub-family B member 10, mitochondrial				3747.5			6032.9	4851.72		4595.94				4508.68				5916.74				7067.9					6288.24													1142.67	618.955	1522.44	802.912	942.979	998.781
Q9NRL2	Q9NRL2	BAZ1A_HUMAN	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A									3927.19																														1857.79	854.591	1581.79	1940.89	2043.9	2597.32	2010.69
Q9NRL3	Q9NRL3	STRN4_HUMAN	STRN4	Striatin-4					1491.84	1778.72	3090.93		2141.56		3916.99											2765.32					5008.29	2950.08			10265.7						4505.28		6480.54	1213.63	998.458	1099.35	1271.15	1055.21	1312.03
Q9NRN7	Q9NRN7	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	5959.73		3810.47		1384.55	2978.7	7904.52	3868.42	3823.22	5262.52	1594.11		25766.6		5653.33					3082.87		6017.37			4824.76	5821.6		3474.47		1644.63			4935.26		3049		4236.91		5203.75	7522.72	7140.57	7736.88	6349.85	5653.94	6591.45
Q9NRN9	Q9NRN9	METL5_HUMAN	METTL5	rRNA N6-adenosine-methyltransferase METTL5	897.66																		4406.63																					712.495	834.775	1045.93	1044.58	883.123	774.294
Q9NRP0	Q9NRP0	OSTC_HUMAN	OSTC	Oligosaccharyltransferase complex subunit OSTC																																								1986.79	1617.16	2172.11	2657.03	2424.06	2828.32
Q9NRP2	Q9NRP2	COXM2_HUMAN	CMC2	COX assembly mitochondrial protein 2 homolog																				1261.19													3481.98							1233.28	2109.46	2009.5	2224.54	2044.82	2268.35
Q9NRR3	Q9NRR3	C42S2_HUMAN	CDC42SE2	CDC42 small effector protein 2																																									291.313	366.033	461.653	378.537	375.055
Q9NRR5	Q9NRR5	UBQL4_HUMAN	UBQLN4	Ubiquilin-4				3864.19	1570.02															3552.76												4479.22			2452.87					347.336	1696.37	796.505	1967.36	973.844	2015.54
Q9NRS6	Q9NRS6	SNX15_HUMAN	SNX15	Sorting nexin-15	2878.8			4607.82																																				1186.66	1255.82	1340.28	1160.47	1115.71	1251.49
Q9NRV9	Q9NRV9	HEBP1_HUMAN	HEBP1	Heme-binding protein 1	5435.04	9802.96	11968.8	8945	5022.14	5424.01	11333.6	6641.94	3255.79	12812.5		5398.59		17100.7	6091.04				7759.1	5636.3	1918.74	12507.3	6587.97		9961.93	13029.8	7790.08	3849.65		2934.61			5329.46		8494.79		8848.07		2833.26	3513.29	2720	3209.72	4122.81	3241.91	3686.56
Q9NRW1	Q9NRW1	RAB6B_HUMAN	RAB6B	Ras-related protein Rab-6B																																								2773.48	2088.22	3756.34	3031.42	2647.74	3221.91
Q9NRW3	Q9NRW3	ABC3C_HUMAN	APOBEC3C	DNA dC->dU-editing enzyme APOBEC-3C																																								393.592	713.155	790.829	731.758	773.392	550.162
Q9NRW4	Q9NRW4	DUS22_HUMAN	DUSP22	Dual specificity protein phosphatase 22																																								122.684	198.647	244.17	286.911	175.756	157.97
Q9NRW7	Q9NRW7	VPS45_HUMAN	VPS45	Vacuolar protein sorting-associated protein 45																				5537.74						4319.87														2543.35	2186.56	3443.76	2880.78	2823.56	2822.8
Q9NRX1	Q9NRX1	PNO1_HUMAN	PNO1	RNA-binding protein PNO1									3100.12																															2131.95	1457.33	2091.37	1955.25	1913.56	1823.2
Q9NRX2	Q9NRX2	RM17_HUMAN	MRPL17	39S ribosomal protein L17, mitochondrial				5236.82	2917.42	4400.08	2822.96	3407.7	5155.54			2417.22			4753.95		9200.87		4726.06	7311.01	6680.44	3926.15		5952.41	4137.92	4419.11		3943.28				6063.85			5471.68	5552.69		5681.19		7214.09	6202.5	6454.47	7390.82	8250.38	7398.47
Q9NRX4	Q9NRX4	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase	8202.96		11791.1		9162.52	17323.5	5737.28	10167.1	12011.4				4018.5		6195.09					11202.5			12285.4										8204.48							238.511	436.765	771.416	1212.24	514.914	1172.08
Q9NRX5	Q9NRX5	SERC1_HUMAN	SERINC1	Serine incorporator 1																																								751.5	590.384	769.441	798.899	792.482	762.325
Q9NRY2	Q9NRY2	SOSSC_HUMAN	INIP	SOSS complex subunit C																																								406.512	545.798	429.059	516.263	364.017	613.993
Q9NRY4	Q9NRY4	RHG35_HUMAN	ARHGAP35	Rho GTPase-activating protein 35	5258.03	9651.86	5987.42	2288.3	6595.35		5962.71		6984.1				5171.17		4191.82					6785.97					7085.22		4022.72					796.307	6575.3		3297.63					947.856	731.455	1535.24	791.227	758.603	838.549
Q9NRY5	Q9NRY5	F1142_HUMAN	FAM114A2	Protein FAM114A2	3374.57				6493.26				7068.96					3259.94	36901							2351.53					2028.95					103039	4578.71						22190.9	1633.25	1754.64	1839.38	1942.84	1771.66	1781.9
Q9NRY6	Q9NRY6	PLS3_HUMAN	PLSCR3	Phospholipid scramblase 3															24178.7																				1670.77			1818.46		5913.94	6164.23	7747.75	9011.15	7574.68	9237.55
Q9NRZ5	Q9NRZ5	PLCD_HUMAN	AGPAT4	1-acyl-sn-glycerol-3-phosphate acyltransferase delta																																								891.439	853.792	1164.16	1160.53	1353.58	1221.31
Q9NRZ7	Q9NRZ7	PLCC_HUMAN	AGPAT3	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma																																						3225.8		1676.17	1299.08	2156.74	1702.91	2095.28	1920.99
Q9NS00	Q9NS00	C1GLT_HUMAN	C1GALT1	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1																																								1601.44	1836.97	2600.97	2613.83	2416.16	2702.09
Q9NS15	Q9NS15	LTBP3_HUMAN	LTBP3	Latent-transforming growth factor beta-binding protein 3																																								1827.6	1854.91	2492.84	1175.78	1016.86	1252.72
Q9NS69	Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog			8837.09	4200.88	10819		12689.3	10224.9	8604.81						13228		10975.7			14255			20796.3	12236.8	7994.85	5249.61	12904.4				19535.8	13333.3	2767.42		10316.7	29276.6	14198.9	13140.3	5926.1	389.593	590.765	529.601	1163.18	581.052	1031.39
Q9NS73	Q9NS73	MBIP1_HUMAN	MBIP	MAP3K12-binding inhibitory protein 1																																								325.705	305.912	326.524	463.34	342.748	436.474
Q9NS84	Q9NS84	CHST7_HUMAN	CHST7	Carbohydrate sulfotransferase 7																																									267.539	825.697	836.365	963.708	1008.68
Q9NS86	Q9NS86	LANC2_HUMAN	LANCL2	LanC-like protein 2																																								2292.03	2071.03	3060.26	2538.47	2261.63	2713.96
Q9NS93	Q9NS93	TM7S3_HUMAN	TM7SF3	Transmembrane 7 superfamily member 3												8644.94																												3223.69	2843.83	2970.22	2948.77	2957.74	3162.56
Q9NSA3	Q9NSA3	CNBP1_HUMAN	CTNNBIP1	Beta-catenin-interacting protein 1																																								756.7	2372.65	1311.72	1114.59	736.393	1169.76
Q9NSB8	Q9NSB8	HOME2_HUMAN	HOMER2	Homer protein homolog 2																																								568.143	585.126	1017.96	1162.79	801.473	1208.83
Q9NSC2	Q9Y467;Q9NSC2;Q9BXA9	SALL1_HUMAN	SALL1	Sal-like protein 1				761.313		1531.02														3121.38																				489.981	582.274	712.586	676.578	773.542	850.597
Q9NSC5	Q9NSC5	HOME3_HUMAN	HOMER3	Homer protein homolog 3				10785.4	3483.79	3857.92			3664.57		6364.19				2008.29													8035.38			21021.4	6670.44			5435.25					2662.79	3691.46	3435.93	3414	3031.07	3405.23
Q9NSD9	Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	15052.4	8507.5	12197.9	17179.1	18467.4	16418.6	9461.61	12616.9	18778.3	16733.1	12741.3	12612.2	12166.1	12398.5	18384.9			12542.7	14200.7	10119.8	15735.3	14392.3	10966.4		12096.5	12829.4	12360.9	14142.9		11930.9	9313.79	15763.3	13628		13987.6		11771.5		10435.4	17087.6	16678.8	16582.4	16291.3	15484.7	16075.2
Q9NSE4	Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	3998.92	4892.82	1857.62	2837.59	5583.63	6183.02	6276.35	5884.35	5758.33	9020.5			6403.45		7100.86		9100.86	8016.69		5278.74	4838.22	2653.46	10653.8	7408.71	5643.56	7732.1	7441.71	3270.71			10975.4	4087.55			2617.16	5076.7	8747.74	7467.71	7095.25	2332.45	1831.61	2634.85	2380.28	2734.36	2619.61
Q9NSK0	Q9NSK0	KLC4_HUMAN	KLC4	Kinesin light chain 4																				2364.2																				1808.14	1939.11	2432.69	2764.26	2001.16	2579.08
Q9NSK7	Q9NSK7	CS012_HUMAN	C19orf12	Protein C19orf12																																								1954.91	1515.62	2010.77	1843.33	1277.36	1633.85
Q9NSU2	Q9NSU2	TREX1_HUMAN	TREX1	Three-prime repair exonuclease 1																																								669.577	683.186	643.266	1078.74	895.566	1140.3
Q9NSY0	Q9NSY0	NRBP2_HUMAN	NRBP2	Nuclear receptor-binding protein 2																																								1534.28	1845.68	2607.06	2689.35	2301.27	2609.36
Q9NSY1	Q9NSY1	BMP2K_HUMAN	BMP2K	BMP-2-inducible protein kinase															1455.33											1663.35														465.208	685.503	1080.28	825.591	756.56	851.917
Q9NT62	Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3	5547.59	3048.38	3466.78	3253.84	3301.15	5132.97	1932.1	4618.83	4442.79	2927.58			2645.05		3180.57					3850.13						3524.85	5455.15			11024.4		7643.09	7217.77		4150.06				4951.22	1188.61	1915.07	2451.14	1877.33	1525.64	1863.75
Q9NT99	Q9NT99	LRC4B_HUMAN	LRRC4B	Leucine-rich repeat-containing protein 4B																																								861.224	876.929	1268.32	739.563	862.023	856.199
Q9NTG7	Q9NTG7	SIR3_HUMAN	SIRT3	NAD-dependent protein deacetylase sirtuin-3, mitochondrial																																								1000.95	1239.74	1849.13	1897.65	1700.98	2312.73
Q9NTI2	Q9NTI2	AT8A2_HUMAN	ATP8A2	Phospholipid-transporting ATPase IB				21696.2																																				688.341	2121.51	1532.15	2319.2	1663.24	2286.47
Q9NTI5	Q9NTI5	PDS5B_HUMAN	PDS5B	Sister chromatid cohesion protein PDS5 homolog B			5391.33	2778.59	1889.22	3615.22		5213.97	4227.46	3723.01	4237.57	4588.45			2059.56							141.815	5143.88		6689.67			8540.76		4326.25	11102.9		6642.09		2587.73					1147.74	778.355	1405.04	964.272	1082.36	1012.04
Q9NTJ3	Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	2061.46			4046.49	4442.03	8917.88			4418.59	3417.39	7127.71				3503.94			3692.94	5880.15	5768.42	4768.94		6311.43		11917.1	4902.46		8583.08		4979.01	10382.1	8717.84	4104.17		5417.78				16283.3	1267.04	1497.99	1973.66	2008.24	1970.54	2159.16
Q9NTJ4	Q9NTJ4	MA2C1_HUMAN	MAN2C1	Alpha-mannosidase 2C1																																								886.504	851.532	959.018	567.348	508.656	499.241
Q9NTJ5	Q9NTJ5	SAC1_HUMAN	SACM1L	Phosphatidylinositol-3-phosphatase SAC1			8054.2	4237.73	3219.86			12081.9	3616.34	47462.6					5858.1		922.612	14701.9		6606.25	6189.23	4305.29				1862.31	3764.39	2558.22			15411.2	5099.72	5179.29		2428.76			7881.99		3521.48	2367.14	3805.78	3123.43	3783.31	3702.48
Q9NTK5	Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	26819.8	17473.6	22208.1	22610	25071.9	14710.1	36226.5	31410	15407.7	16564.2	24315.2	23518.1	20646.2	33802.6	30452.1			9709	25041.5	21835.7	20420.4	25229.7	24519.4	2483.53	26805.1	27878.4	25069.9	17623.5		12289.9	19141	25141.4	21564.5	4450.04	26804.6		30540.9		36894.6	28509.5	30951.7	32036.7	30068.3	26733.2	22001.5
Q9NTM9	Q9NTM9	CUTC_HUMAN	CUTC	Copper homeostasis protein cutC homolog					2014.31																									4415.74															
Q9NTX5	Q9NTX5	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase	7790.6	14231.4	5054.26	4296.78	6302.57	4308.43	6352.76	4630.26		5355.09	11709.5	15266.3			3869.14					6144.98	15534.8	9856.26	14032.6		6190.83	9576.32	9074.84	8293.68		10637.2			4988.33		5669.93		9804.55		3337.63	6575.54	5793.26	5870.24	6194.22	7334.48	6161.93
Q9NTZ6	Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12	6634.4	228.027		3594.36	3811.62	4740.59	4345.41		3895		1602.73				4719.28			6757.15		5613.77			5014.19		4867.66		2779.54						2759.81		3730.05		3193.6		4638.63	3251.43	3706.65	3395.28	3468.58	3212.81	3756.72
Q9NU19	Q9NU19	TB22B_HUMAN	TBC1D22B	TBC1 domain family member 22B																																								229.553	246.86	459.388	277.558	263.867	267.602
Q9NU22	Q9NU22	MDN1_HUMAN	MDN1	Midasin							2276.12								3154.46																									807.13	656.666	1337.55	856.157	1103.14	1036.78
Q9NU23	Q9NU23	LYRM2_HUMAN	LYRM2	LYR motif-containing protein 2																																								1092.1	1196.44	1239.86	1603.2	1621.91	1940.61
Q9NUD5	Q9NUD5	ZCHC3_HUMAN	ZCCHC3	Zinc finger CCHC domain-containing protein 3																																								725.438	623.779	556.859	579.585	607.372	853.437
Q9NUG6	Q9NUG6	PDRG1_HUMAN	PDRG1	p53 and DNA damage-regulated protein 1															1339.98																									551.245	891.988	1385.42	1272.88	823.392	1052.2
Q9NUI1	Q9NUI1	DECR2_HUMAN	DECR2	Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]						4203.74			5783.04						2351.83					7676.51	4012.49	5804.51		9799.4	7820.31					2913.44	3419.16					10206.1		4646.72		1996.43	1493.97	1834.61	2901.5	3106.28	2859.54
Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	ABHD10	Palmitoyl-protein thioesterase ABHD10, mitochondrial	3807.59						10230.4		4166.85						22801		1750.49	2181.24							8203.11													8039.02		1062.67	1103.9	1422.13	1484.32	1169.93	1388.88
Q9NUJ3	Q9NUJ3	T11L1_HUMAN	TCP11L1	T-complex protein 11-like protein 1																																								409.24	878.295	1060.27	1033.34	635.223	788.22
Q9NUL3	Q9NUL3	STAU2_HUMAN	STAU2	Double-stranded RNA-binding protein Staufen homolog 2				949.993		2422.33			2316.58								2661.11				38995.9														13209.8					1686.1	1802.45	2476.9	2295.33	1961.45	2518.44
Q9NUL5	Q9NUL5	SHFL_HUMAN	SHFL	Shiftless antiviral inhibitor of ribosomal frameshifting protein															1807.98																									2209.48	2039.52	1182.31	1536.45	1382.71	1731.95
Q9NUL7	Q9NUL7	DDX28_HUMAN	DDX28	Probable ATP-dependent RNA helicase DDX28																																								952.49	843.564	996.794	1037.04	1136.45	983.555
