Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	f_10ug_polyIC_1 Spectral Count	f_10ug_polyIC_2 Spectral Count	f_10ug_polyIC_3 Spectral Count	f_1ug_polyIC_1 Spectral Count	f_1ug_polyIC_2 Spectral Count	f_1ug_polyIC_3 Spectral Count	f_control_1 Spectral Count	f_control_2 Spectral Count	f_control_3 Spectral Count	f_lipo_1 Spectral Count	f_lipo_2 Spectral Count	f_lipo_3 Spectral Count	m_10ug_polyIC_1 Spectral Count	m_10ug_polyIC_2 Spectral Count	m_10ug_polyIC_3 Spectral Count	m_1ug_polyIC_1 Spectral Count	m_1ug_polyIC_2 Spectral Count	m_1ug_polyIC_3 Spectral Count	m_control_1 Spectral Count	m_control_2 Spectral Count	m_control_3 Spectral Count	m_lipo_1 Spectral Count	m_lipo_2 Spectral Count	m_lipo_3 Spectral Count	f_10ug_polyIC_1 Unique Spectral Count	f_10ug_polyIC_2 Unique Spectral Count	f_10ug_polyIC_3 Unique Spectral Count	f_1ug_polyIC_1 Unique Spectral Count	f_1ug_polyIC_2 Unique Spectral Count	f_1ug_polyIC_3 Unique Spectral Count	f_control_1 Unique Spectral Count	f_control_2 Unique Spectral Count	f_control_3 Unique Spectral Count	f_lipo_1 Unique Spectral Count	f_lipo_2 Unique Spectral Count	f_lipo_3 Unique Spectral Count	m_10ug_polyIC_1 Unique Spectral Count	m_10ug_polyIC_2 Unique Spectral Count	m_10ug_polyIC_3 Unique Spectral Count	m_1ug_polyIC_1 Unique Spectral Count	m_1ug_polyIC_2 Unique Spectral Count	m_1ug_polyIC_3 Unique Spectral Count	m_control_1 Unique Spectral Count	m_control_2 Unique Spectral Count	m_control_3 Unique Spectral Count	m_lipo_1 Unique Spectral Count	m_lipo_2 Unique Spectral Count	m_lipo_3 Unique Spectral Count	f_10ug_polyIC_1 Total Spectral Count	f_10ug_polyIC_2 Total Spectral Count	f_10ug_polyIC_3 Total Spectral Count	f_1ug_polyIC_1 Total Spectral Count	f_1ug_polyIC_2 Total Spectral Count	f_1ug_polyIC_3 Total Spectral Count	f_control_1 Total Spectral Count	f_control_2 Total Spectral Count	f_control_3 Total Spectral Count	f_lipo_1 Total Spectral Count	f_lipo_2 Total Spectral Count	f_lipo_3 Total Spectral Count	m_10ug_polyIC_1 Total Spectral Count	m_10ug_polyIC_2 Total Spectral Count	m_10ug_polyIC_3 Total Spectral Count	m_1ug_polyIC_1 Total Spectral Count	m_1ug_polyIC_2 Total Spectral Count	m_1ug_polyIC_3 Total Spectral Count	m_control_1 Total Spectral Count	m_control_2 Total Spectral Count	m_control_3 Total Spectral Count	m_lipo_1 Total Spectral Count	m_lipo_2 Total Spectral Count	m_lipo_3 Total Spectral Count	f_10ug_polyIC_1 Intensity	f_10ug_polyIC_2 Intensity	f_10ug_polyIC_3 Intensity	f_1ug_polyIC_1 Intensity	f_1ug_polyIC_2 Intensity	f_1ug_polyIC_3 Intensity	f_control_1 Intensity	f_control_2 Intensity	f_control_3 Intensity	f_lipo_1 Intensity	f_lipo_2 Intensity	f_lipo_3 Intensity	m_10ug_polyIC_1 Intensity	m_10ug_polyIC_2 Intensity	m_10ug_polyIC_3 Intensity	m_1ug_polyIC_1 Intensity	m_1ug_polyIC_2 Intensity	m_1ug_polyIC_3 Intensity	m_control_1 Intensity	m_control_2 Intensity	m_control_3 Intensity	m_lipo_1 Intensity	m_lipo_2 Intensity	m_lipo_3 Intensity	f_10ug_polyIC_1 MaxLFQ Intensity	f_10ug_polyIC_2 MaxLFQ Intensity	f_10ug_polyIC_3 MaxLFQ Intensity	f_1ug_polyIC_1 MaxLFQ Intensity	f_1ug_polyIC_2 MaxLFQ Intensity	f_1ug_polyIC_3 MaxLFQ Intensity	f_control_1 MaxLFQ Intensity	f_control_2 MaxLFQ Intensity	f_control_3 MaxLFQ Intensity	f_lipo_1 MaxLFQ Intensity	f_lipo_2 MaxLFQ Intensity	f_lipo_3 MaxLFQ Intensity	m_10ug_polyIC_1 MaxLFQ Intensity	m_10ug_polyIC_2 MaxLFQ Intensity	m_10ug_polyIC_3 MaxLFQ Intensity	m_1ug_polyIC_1 MaxLFQ Intensity	m_1ug_polyIC_2 MaxLFQ Intensity	m_1ug_polyIC_3 MaxLFQ Intensity	m_control_1 MaxLFQ Intensity	m_control_2 MaxLFQ Intensity	m_control_3 MaxLFQ Intensity	m_lipo_1 MaxLFQ Intensity	m_lipo_2 MaxLFQ Intensity	m_lipo_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q9H008|LHPP_HUMAN	Q9H008	LHPP_HUMAN	LHPP	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	0.9997	0.999	2	15	15	15	0	1	0	0	0	1	0	1	0	2	0	0	1	1	1	1	0	0	2	1	1	2	0	0	0	1	0	0	0	1	0	1	0	2	0	0	1	1	1	1	0	0	2	1	1	2	0	0	0	1	0	0	0	1	0	1	0	2	0	0	1	1	1	1	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	7.82E+08	0	6.72E+08	0	8.05E+08	9.73E+08	8.45E+08	0	6.88E+08	0	9.50E+08	8.87E+08	0	1.03E+09	9.72E+08	1.08E+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H009|NACA2_HUMAN	Q9H009	NACA2_HUMAN	NACA2	215	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha-2	0.9612	0.999	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H019|MFR1L_HUMAN	Q9H019	MFR1L_HUMAN	MTFR1L	292	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial fission regulator 1-like	1	0.999	8	62	62	62	3	3	0	2	1	2	2	2	1	0	1	2	5	2	4	2	4	3	5	5	5	3	2	3	3	3	0	2	1	2	2	2	1	0	1	2	5	2	4	2	4	3	5	5	5	3	2	3	3	3	0	2	1	2	2	2	1	0	1	2	5	2	4	2	4	3	5	5	5	3	2	3	6940405	0	0	0	0	0	0	1.76E+07	1.48E+07	0	0	1.70E+07	5.26E+07	2.32E+07	2.23E+07	3.38E+07	3.73E+07	6.63E+07	5.72E+07	1.31E+08	4.49E+07	6.84E+07	1.88E+07	2.82E+07	0	0	0	0	0	0	0	0	0	0	0	0	3.41E+07	0	2.76E+07	0	3.42E+07	3.47E+07	3.30E+07	3.23E+07	2.63E+07	2.93E+07	0	2.77E+07	
sp|Q9H061|T126A_HUMAN	Q9H061	T126A_HUMAN	TMEM126A	195	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 126A	1	0.999	7	51	51	51	3	3	1	3	1	3	1	1	1	3	2	1	3	2	2	4	2	2	1	3	2	3	2	2	3	3	1	3	1	3	1	1	1	3	2	1	3	2	2	4	2	2	1	3	2	3	2	2	3	3	1	3	1	3	1	1	1	3	2	1	3	2	2	4	2	2	1	3	2	3	2	2	6400075.5	2.20E+07	1.80E+07	3.50E+07	7565364	1.44E+07	1.36E+07	1.37E+07	1.12E+07	4.27E+07	1.98E+07	9087152	5.18E+07	2.45E+07	1.59E+07	7.26E+07	2.55E+07	2.61E+07	1.65E+07	2.82E+07	4.85E+07	4.65E+07	2.65E+07	3.87E+07	0	1.27E+07	0	1.57E+07	0	0	0	0	0	1.63E+07	1.47E+07	0	1.93E+07	1.75E+07	1.15E+07	1.86E+07	1.85E+07	1.92E+07	0	1.45E+07	1.73E+07	2.11E+07	1.95E+07	1.75E+07	
sp|Q9H074|PAIP1_HUMAN	Q9H074	PAIP1_HUMAN	PAIP1	479	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polyadenylate-binding protein-interacting protein 1	1	0.999	8	70	70	70	1	3	0	3	1	2	2	3	3	2	4	2	5	3	4	3	4	2	6	4	3	4	4	2	1	3	0	3	1	2	2	3	3	2	4	2	5	3	4	3	4	2	6	4	3	4	4	2	1	3	0	3	1	2	2	3	3	2	4	2	5	3	4	3	4	2	6	4	3	4	4	2	3.46E+07	5.91E+07	0	2.94E+08	1.46E+07	4.77E+07	1.41E+07	5.68E+07	4.05E+07	4.32E+07	4.89E+07	3.59E+07	7.05E+07	5.85E+07	2.46E+07	7.52E+07	6.71E+07	3.60E+07	6.93E+07	7.95E+07	6.84E+07	6.52E+07	1.08E+08	3.23E+07	1.98E+07	3.11E+07	0	3.32E+07	0	3.01E+07	0	2.64E+07	2.36E+07	2.73E+07	2.54E+07	2.30E+07	3.17E+07	2.85E+07	1.90E+07	4.10E+07	4.05E+07	3.17E+07	3.83E+07	4.23E+07	3.75E+07	3.60E+07	5.94E+07	0	
sp|Q9H078|CLPB_HUMAN	Q9H078	CLPB_HUMAN	CLPB	707	Homo sapiens OX=9606	1:Experimental evidence at protein level	Caseinolytic peptidase B protein homolog	1	0.999	12	78	78	78	0	4	3	1	6	6	4	2	3	4	2	2	4	4	4	1	3	4	2	3	5	3	2	6	0	4	3	1	6	6	4	2	3	4	2	2	4	4	4	1	3	4	2	3	5	3	2	6	0	4	3	1	6	6	4	2	3	4	2	2	4	4	4	1	3	4	2	3	5	3	2	6	4.30E+07	5.54E+07	5.86E+07	1.52E+07	2.98E+07	8.56E+07	2.97E+07	3.24E+07	7.40E+07	6.61E+07	3.82E+07	5.89E+07	2.66E+07	4.29E+07	5.64E+07	1.78E+07	2.10E+07	4.55E+07	1.32E+07	6.31E+07	5.87E+07	4.71E+07	3.18E+07	6.57E+07	2.92E+07	2.78E+07	2.47E+07	0	1.38E+07	2.41E+07	2.70E+07	2.39E+07	2.28E+07	2.24E+07	2.62E+07	2.33E+07	1.91E+07	2.25E+07	2.90E+07	0	0	1.93E+07	1.39E+07	2.58E+07	2.15E+07	1.99E+07	2.15E+07	2.77E+07	
sp|Q9H079|KTBL1_HUMAN	Q9H079	KTBL1_HUMAN	KATNBL1	304	Homo sapiens OX=9606	1:Experimental evidence at protein level	KATNB1-like protein 1	0.9583	0.9989	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H089|LSG1_HUMAN	Q9H089	LSG1_HUMAN	LSG1	658	Homo sapiens OX=9606	1:Experimental evidence at protein level	Large subunit GTPase 1 homolog	1	0.999	4	28	28	28	1	1	1	1	2	1	1	2	0	1	4	1	1	1	0	1	1	3	0	1	2	0	1	1	1	1	1	1	2	1	1	2	0	1	4	1	1	1	0	1	1	3	0	1	2	0	1	1	1	1	1	1	2	1	1	2	0	1	4	1	1	1	0	1	1	3	0	1	2	0	1	1	2.38E+07	1.58E+07	1.56E+07	1.84E+07	2.27E+07	0	1886090	1440383.4	0	1.67E+07	1.73E+07	1.21E+07	4876671.5	2818158.5	0	9314395	3292799.5	8350785.5	0	7213511	2129601	0	1.85E+07	8422451	0	0	0	1.54E+07	1.15E+07	0	0	0	0	1.44E+07	1.40E+07	0	0	0	0	8029549.5	0	6238169	0	0	0	0	0	0	
sp|Q9H098|F107B_HUMAN	Q9H098	F107B_HUMAN	FAM107B	131	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein FAM107B	1	0.999	10	115	115	115	1	1	4	7	4	5	3	4	5	5	6	5	6	4	4	6	7	7	4	9	6	5	3	4	1	1	4	7	4	5	3	4	5	5	6	5	6	4	4	6	7	7	4	9	6	5	3	4	1	1	4	7	4	5	3	4	5	5	6	5	6	4	4	6	7	7	4	9	6	5	3	4	1.31E+07	5963454.5	4.16E+07	5.29E+07	4.30E+07	5.06E+07	5.17E+07	6.55E+07	6.15E+07	3.99E+07	5.34E+07	6.11E+07	7.61E+07	3.07E+07	3.52E+07	8.54E+07	7.24E+07	5.50E+07	8.52E+07	1.19E+08	8.51E+07	4.63E+07	5.65E+07	3.81E+07	1.05E+07	0	1.85E+07	1.90E+07	2.59E+07	2.03E+07	2.25E+07	2.20E+07	1.85E+07	2.04E+07	1.61E+07	2.11E+07	2.17E+07	1.91E+07	1.54E+07	2.86E+07	2.16E+07	1.90E+07	2.61E+07	2.68E+07	2.55E+07	1.87E+07	2.06E+07	1.86E+07	
sp|Q9H0A0|NAT10_HUMAN	Q9H0A0	NAT10_HUMAN	NAT10	1025	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA cytidine acetyltransferase	1	0.999	24	215	215	215	10	8	10	10	12	9	8	9	7	11	12	12	7	7	9	13	9	10	6	8	9	5	8	6	10	8	10	10	12	9	8	9	7	11	12	12	7	7	9	13	9	10	6	8	9	5	8	6	10	8	10	10	12	9	8	9	7	11	12	12	7	7	9	13	9	10	6	8	9	5	8	6	3.81E+08	3.07E+08	2.90E+08	1.75E+08	3.13E+08	2.23E+08	2.35E+08	2.15E+08	2.26E+08	2.59E+08	2.53E+08	3.19E+08	2.38E+08	1.37E+08	2.63E+08	2.82E+08	2.71E+08	2.30E+08	1.61E+08	2.50E+08	1.99E+08	1.51E+08	1.81E+08	1.94E+08	7.45E+07	7.42E+07	7.97E+07	5.45E+07	5.95E+07	5.69E+07	6.73E+07	6.20E+07	5.81E+07	6.05E+07	5.95E+07	6.56E+07	5.33E+07	4.79E+07	7.42E+07	5.62E+07	6.37E+07	6.01E+07	5.91E+07	6.86E+07	5.86E+07	5.23E+07	5.25E+07	6.18E+07	
sp|Q9H0A8|COMD4_HUMAN	Q9H0A8	COMD4_HUMAN	COMMD4	199	Homo sapiens OX=9606	1:Experimental evidence at protein level	COMM domain-containing protein 4	0.9989	0.999	2	15	15	15	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	2	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	2	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	2	0	0	0	0	0	3.93E+07	0	0	0	0	0	0	0	4.98E+07	0	4.90E+07	0	2.71E+07	0	2.15E+07	0	0	5.14E+07	2.17E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H0B6|KLC2_HUMAN	Q9H0B6	KLC2_HUMAN	KLC2	622	Homo sapiens OX=9606	1:Experimental evidence at protein level	Kinesin light chain 2	1	0.999	28	136	136	235	1	4	2	6	6	6	6	7	8	2	4	3	7	7	9	6	7	6	4	9	9	7	7	3	1	4	2	6	6	6	6	7	8	2	4	3	7	7	9	6	7	6	4	9	9	7	7	3	6	10	8	10	8	10	9	12	11	7	7	5	14	10	15	7	11	10	9	13	14	12	10	7	6.47E+07	3.75E+07	2.91E+07	3.09E+07	3.12E+07	4.51E+07	5.60E+07	7.54E+07	4.50E+07	2.33E+07	4.48E+07	4.52E+07	4.92E+07	5.70E+07	6.05E+07	3.46E+07	2.57E+07	7.92E+07	3.86E+07	4.89E+07	5.35E+07	3.87E+07	6.99E+07	2.50E+07	2.87E+07	1.49E+07	1.74E+07	2.34E+07	2.04E+07	1.77E+07	2.33E+07	2.36E+07	1.75E+07	1.73E+07	1.91E+07	2.61E+07	1.65E+07	1.93E+07	2.22E+07	2.13E+07	1.94E+07	1.73E+07	1.87E+07	1.70E+07	1.96E+07	1.60E+07	1.76E+07	1.45E+07	
sp|Q9H0C8|ILKAP_HUMAN	Q9H0C8	ILKAP_HUMAN	ILKAP	392	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrin-linked kinase-associated serine/threonine phosphatase 2C	1	0.999	9	95	95	95	3	2	2	5	2	6	2	4	2	4	2	2	5	7	3	3	5	7	7	3	8	5	3	3	3	2	2	5	2	6	2	4	2	4	2	2	5	7	3	3	5	7	7	3	8	5	3	3	3	2	2	5	2	6	2	4	2	4	2	2	5	7	3	3	5	7	7	3	8	5	3	3	2.75E+08	1.58E+07	1.24E+07	1.77E+08	2.04E+07	3.12E+07	2.08E+08	3.58E+07	1.61E+07	2.74E+07	2.23E+07	2.84E+07	1.90E+08	2.33E+08	2.15E+08	1.38E+08	1.84E+08	2.19E+08	2.17E+08	1.92E+08	1.73E+08	1.65E+08	1.48E+08	1.84E+08	9.23E+07	6.62E+07	0	7.38E+07	0	8.75E+07	8.43E+07	5.64E+07	0	5.51E+07	4.98E+07	6.98E+07	9.12E+07	8.26E+07	8.55E+07	9.43E+07	7.23E+07	9.08E+07	8.16E+07	1.01E+08	8.23E+07	8.56E+07	1.55E+08	7.51E+07	
sp|Q9H0D6|XRN2_HUMAN	Q9H0D6	XRN2_HUMAN	XRN2	950	Homo sapiens OX=9606	1:Experimental evidence at protein level	5'-3' exoribonuclease 2	1	0.999	28	429	429	429	22	17	21	15	15	21	15	17	11	16	15	18	19	13	20	17	21	21	21	17	20	17	20	20	22	17	21	15	15	21	15	17	11	16	15	18	19	13	20	17	21	21	21	17	20	17	20	20	22	17	21	15	15	21	15	17	11	16	15	18	19	13	20	17	21	21	21	17	20	17	20	20	5.63E+08	5.21E+08	4.53E+08	3.50E+08	3.64E+08	5.27E+08	4.82E+08	4.74E+08	4.01E+08	3.98E+08	4.01E+08	4.60E+08	5.62E+08	5.16E+08	7.90E+08	5.47E+08	7.11E+08	5.80E+08	6.42E+08	6.70E+08	6.23E+08	5.94E+08	4.95E+08	5.86E+08	9.00E+07	8.62E+07	8.46E+07	7.09E+07	6.90E+07	7.60E+07	8.05E+07	7.65E+07	7.72E+07	6.73E+07	7.06E+07	6.96E+07	8.73E+07	8.97E+07	1.19E+08	8.50E+07	1.02E+08	9.06E+07	9.43E+07	9.93E+07	9.57E+07	9.21E+07	8.55E+07	9.10E+07	
sp|Q9H0E2|TOLIP_HUMAN	Q9H0E2	TOLIP_HUMAN	TOLLIP	274	Homo sapiens OX=9606	1:Experimental evidence at protein level	Toll-interacting protein	1	0.999	13	152	152	152	3	7	5	10	5	8	4	7	7	7	9	8	7	4	6	8	3	4	7	4	8	7	9	5	3	7	5	10	5	8	4	7	7	7	9	8	7	4	6	8	3	4	7	4	8	7	9	5	3	7	5	10	5	8	4	7	7	7	9	8	7	4	6	8	3	4	7	4	8	7	9	5	1.66E+08	2.99E+08	1.08E+08	2.83E+08	2.18E+08	2.12E+08	1.95E+08	2.25E+08	2.38E+08	3.13E+08	3.08E+08	3.10E+08	1.84E+08	1.22E+08	2.07E+08	1.48E+08	9.85E+07	1.16E+08	1.88E+08	1.75E+08	1.33E+08	1.72E+08	3.13E+08	1.92E+08	9.35E+07	9.50E+07	8.27E+07	1.26E+08	6.40E+07	1.15E+08	9.71E+07	1.10E+08	1.18E+08	1.30E+08	1.13E+08	1.17E+08	8.80E+07	8.65E+07	6.33E+07	8.55E+07	8.84E+07	7.56E+07	8.55E+07	6.75E+07	8.82E+07	8.49E+07	1.02E+08	8.44E+07	
sp|Q9H0E3|SP130_HUMAN	Q9H0E3	SP130_HUMAN	SAP130	1048	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP130	1	0.999	4	28	28	28	1	0	0	1	0	0	1	2	0	0	0	1	1	3	3	2	1	1	1	2	3	1	3	1	1	0	0	1	0	0	1	2	0	0	0	1	1	3	3	2	1	1	1	2	3	1	3	1	1	0	0	1	0	0	1	2	0	0	0	1	1	3	3	2	1	1	1	2	3	1	3	1	0	0	0	0	0	0	1.26E+07	1.56E+07	0	0	0	0	1.13E+07	2.77E+07	2.07E+07	1.98E+07	1.94E+07	1.21E+07	0	9017320	2.39E+07	1.88E+07	2.33E+07	1.71E+07	0	0	0	0	0	0	0	8684289	0	0	0	0	0	1.61E+07	1.23E+07	1.17E+07	0	0	0	0	1.42E+07	1.11E+07	1.32E+07	0	
sp|Q9H0E9|BRD8_HUMAN	Q9H0E9	BRD8_HUMAN	BRD8	1235	Homo sapiens OX=9606	1:Experimental evidence at protein level	Bromodomain-containing protein 8	0.9945	0.999	2	4	4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H0F6|SHRPN_HUMAN	Q9H0F6	SHRPN_HUMAN	SHARPIN	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sharpin	1	0.999	5	83	83	83	1	4	3	3	4	4	5	3	6	5	3	4	3	5	4	4	4	2	1	4	4	2	3	2	1	4	3	3	4	4	5	3	6	5	3	4	3	5	4	4	4	2	1	4	4	2	3	2	1	4	3	3	4	4	5	3	6	5	3	4	3	5	4	4	4	2	1	4	4	2	3	2	4036399	1.55E+07	0	2.36E+07	3.70E+07	2.50E+07	3.26E+07	2.56E+07	4.16E+07	4.48E+07	3.03E+07	3.81E+07	1.44E+07	4.37E+07	2.00E+07	3.24E+07	3.21E+07	4791189	1.92E+07	3.27E+07	3.74E+07	1.17E+07	2.56E+07	2.17E+07	0	1.41E+07	0	1.05E+07	1.61E+07	1.03E+07	1.68E+07	1.71E+07	1.56E+07	1.41E+07	1.29E+07	1.70E+07	1.28E+07	1.62E+07	1.27E+07	1.46E+07	1.37E+07	0	1.73E+07	1.78E+07	1.33E+07	1.01E+07	1.66E+07	1.12E+07	
sp|Q9H0G5|NSRP1_HUMAN	Q9H0G5	NSRP1_HUMAN	NSRP1	558	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear speckle splicing regulatory protein 1	0.9993	0.999	2	18	18	18	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	2	2	2	0	2	1	2	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	2	2	2	0	2	1	2	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	2	2	2	0	2	1	2	1	1	3631441	0	0	1.05E+07	0	0	0	1.17E+07	0	9673894	0	0	5951996	0	0	7899177.5	1.11E+07	5884929.5	0	7851465	6426483.5	6411031.5	6500316.5	8756782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H0K6|PUS7L_HUMAN	Q9H0K6	PUS7L_HUMAN	PUS7L	701	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pseudouridylate synthase PUS7L	0.9999	0.9989	4	5	5	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H0L4|CSTFT_HUMAN	Q9H0L4	CSTFT_HUMAN	CSTF2T	616	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cleavage stimulation factor subunit 2 tau variant	1	0.999	19	116	116	274	3	4	3	6	3	5	4	4	4	3	4	5	6	6	7	4	6	6	5	6	5	5	6	6	3	4	3	6	3	5	4	4	4	3	4	5	6	6	7	4	6	6	5	6	5	5	6	6	7	9	6	12	7	12	12	14	12	8	12	11	13	13	11	13	12	13	11	14	12	14	13	13	2.67E+07	2.64E+07	2.56E+07	4.64E+07	2.80E+07	4.13E+07	8.37E+07	4.64E+07	5.33E+07	3.54E+07	3.29E+07	5.02E+07	5.10E+07	8.24E+07	6.92E+07	1.16E+07	7.81E+07	8.20E+07	5.47E+07	7.74E+07	5.15E+07	7.33E+07	4.67E+07	6.81E+07	1.60E+07	1.69E+07	1.67E+07	2.33E+07	2.34E+07	2.25E+07	2.39E+07	2.51E+07	2.09E+07	2.27E+07	2.08E+07	2.04E+07	2.37E+07	2.86E+07	2.33E+07	0	2.37E+07	2.56E+07	2.95E+07	2.07E+07	2.69E+07	2.59E+07	2.03E+07	1.91E+07	
sp|Q9H0N5|PHS2_HUMAN	Q9H0N5	PHS2_HUMAN	PCBD2	130	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pterin-4-alpha-carbinolamine dehydratase 2	0.987	0.9976	3	7	7	18	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	2	2	1	0	0	0	1	2	1	0	1	0	1	2	0	1	0	2	0	1	0	0	0	0	1.11E+07	9400224	0	0	0	0	0	0	1.29E+07	1.24E+07	8241081.5	0	1.42E+07	1.33E+07	0	0	0	0	0	1.55E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H0P0|5NT3A_HUMAN	Q9H0P0	5NT3A_HUMAN	NT5C3A	336	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic 5'-nucleotidase 3A	1	0.999	3	16	16	16	0	1	1	2	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	2	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	2	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	3792584.8	0	6693900	0	0	0	0	0	0	0	6653195.5	0	9584604	6344608.5	0	1.48E+07	1.18E+07	0	0	0	3338761	5609665.5	6072528.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9H0Q0|CYRIA_HUMAN	Q9H0Q0	CYRIA_HUMAN	CYRIA	323	Homo sapiens OX=9606	2:Experimental evidence at transcript level	CYFIP-related Rac1 interactor A	1	0.999	5	8	8	54	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	2	0	0	1	0	0	2	0	2	3	4	2	2	1	3	2	2	2	4	4	3	3	2	2	3	1	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9427073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
