Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-220_3831.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-221_3832.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-222_3833.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-224_3835.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-225_3823.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-226_3824.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-228_3826.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-229_3827.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-230_3828.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-242_3837.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-243_3838.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-245_3840.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-246_3841.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-314_3844.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-316_3846.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-317_3847.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-318_3848.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-196_3784.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-197_3785.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-198_3786.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-200_3788.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-201_3789.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-202_3791.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-203_3792.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-204_3793.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-205_3794.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-206_3795.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-207_3796.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-219_3805.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-220_3806.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-221_3807.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-222_3808.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-223_3809.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-224_3810.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-226_3816.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-227_3817.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-228_3818.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-229_3819.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-230_3820.d
Q68FS3	Q68FS3	FBX7_RAT	Fbxo7	F-box only protein 7	1771.97	5121.11			2225.02							4588.25	1556.28						2575.64											934.651	2984.86	1819.28		2584.78		956.887	1225.17	1004.41	
Q68FS4	Q68FS4	AMPL_RAT	Lap3	Cytosol aminopeptidase	12323.7	9609.4	10162.2	7309.22	10748.2	10579.7	11146.8	13871	4676.22	14545.5	15632.8	13687.8	8789.03	7537.71	14970.1	8018.5	8161.72	6594.8	4218.36	3634.37	9865.42	6186.7	15866.5	10024.7	6750.23	9505.09	6338.4	8782.68	4736.57	9098.68	8349.45	7074.38	13496.8	5765.35	3172.58	8059.15	6922.29	8692.77	5601.39
Q68FS8	Q68FS8	Q68FS8_RAT	Rtca	RNA 3'-terminal-phosphate cyclase (ATP)	2453.71	2955.85			3159.3					4410	3195.45	19409.7	3299.93	2366.14	1985.16			4851.75		598.136	2604.15	752.968	4414.43		2881.52	2046.76	3832.32	2347.77		6058.19	4248.52	4382.23	2106.15	4694.78	3074.26	3115.84	2604.94	4414.93	3396.98
Q68FS9	Q68FS9	Q68FS9_RAT	Commd10	COMM domain containing 10											1665.95												1492.84								2120.75							1138.15	
Q68FT3	Q68FT3	PYRD2_RAT	Pyroxd2	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2																																							
Q68FT6	Q68FT6	RHBG_RAT	Rhbg	Ammonium transporter Rh type B																																							
Q68FT7	Q68FT7	Q68FT7_RAT	Farsb	Phenylalanine--tRNA ligase beta subunit	5915.28	14000.5	4770.68	15718	4255.6		7975.16				6127.81	5210.6	7511.06		6801.01		9183.17	7792.62		9385.52	12022.5	7229.1	8248.59	7634.25	7391.54	16296.2	5832.78	23290.7	9936.68	5684.1	6032.52	6473.96	8536.76	8106.57	7185.72	7058.04	6904.38	9019.22	4094.38
Q68FT9	Q68FT9	SCLY_RAT	Scly	Selenocysteine lyase																																							
Q68FU1	Q68FU1	PKHF1_RAT	Plekhf1	Pleckstrin homology domain-containing family F member 1		22987									68437.7			8041.53				86468.8		2537.41			58508.5											63310.9		56720.6	47576.8		
Q68FU3	Q68FU3	ETFB_RAT	Etfb	Electron transfer flavoprotein subunit beta	11352.6	18824.5	17198.7	12080.8	6519.79	16220.4	9629.03		18610.5	14533.8	12133	8964.28	9462.31	25494.1	10276.4	25918.3		11994.4	10364.1	8948.07	8276.99	11550.7	13172.6	24763.8	13708.8	11038	16765.4	15352.9	15485.3	11128.3	14128.1	11492.2	10736.8	13233.8	6244.36	11901.4	9954.83	10078.6	13745.7
Q68FU8	Q68FU8	SUGP1_RAT	Sugp1	SURP and G-patch domain-containing protein 1																															6527.94					2461.63			
Q68FV1	Q68FV1	TM38B_RAT	Tmem38b	Trimeric intracellular cation channel type B																																							
Q68FV2	Q68FV2	AR6P6_RAT	Arl6ip6	ADP-ribosylation factor-like protein 6-interacting protein 6																		2339.57									3151.19							3346.43					
Q68FV6	Q68FV6	GLMP_RAT	Glmp	Glycosylated lysosomal membrane protein															558.852	2865.5							999.889																
Q68FV8	Q68FV8;A0A8I5ZW20	UBTD1_RAT	Ubtd1	Ubiquitin domain-containing protein 1																																							
Q68FW4	Q68FW4	STX18_RAT	Stx18	Syntaxin-18																																2149.71				650.724			
Q68FW8	Q68FW8	BIN3_RAT	Bin3	Bridging integrator 3																																							
Q68FW9	Q68FW9	CSN3_RAT	Cops3	COP9 signalosome complex subunit 3	2057.73	1922.96			1563.94		6344.07					750.3	2530.96		3037.59		6460.7	4303.93			539.783		4335.38	1704.53	5196.26		3562.87			3137.91	2704.46	7257.8	3171.12	6818.23	2252.75	2711.31	2029.78	1111.73	2811
Q68FX1	Q68FX1	MPI_RAT	Mpi	Mannose-6-phosphate isomerase	1255.54			2964.36									2607.95																		1224.94								
Q68FX6	Q68FX6	CABS1_RAT	Cabs1	Calcium-binding and spermatid-specific protein 1																																							
Q68FX7	Q68FX7	THOC5_RAT	Thoc5	THO complex subunit 5 homolog					898.983					2876.49					2831.86	2225.76											1103.07			1372.23	1376.9		1663.81			1073.32			
Q68FY1	Q68FY1	NUP35_RAT	Nup35	Nucleoporin NUP35	3079.08		1520.65												3057.32	7872.24					2678.64	1414.59			3106.38						1925.03			611.779		1127.15	914.62		
Q68G30	Q68G30	KLC3_RAT	Klc3	Kinesin light chain 3																																							
Q68G38	Q68G38	TOR1A_RAT	Tor1a	Torsin-1A																														2542.51									
Q68H95	Q68H95	REPI1_RAT	Repin1	Replication initiator 1																																							
Q68SB1	Q68SB1	STAU2_RAT	Stau2	Double-stranded RNA-binding protein Staufen homolog 2																																							
Q69BT7	Q69BT7	TPPC4_RAT	Trappc4	Trafficking protein particle complex subunit 4	1004.66		1688.04		3913.46		3122.27						2640.07					3562.23			2361.62		5195.81				3046.4	4421.43		2869.96	4420.33		7047.92			2884.02	4209.98	2840.15	
Q6AXM5	Q6AXM5	CEPT1_RAT	Cept1	Choline/ethanolaminephosphotransferase 1	5686.4		3804.45			9046.18								9424.2		3491.05			4504.96				2406.74		2126.7		3279.07			3795.62	5326.52					3811.05	2081.49		
Q6AXM7	Q6AXM7	HBS1L_RAT	Hbs1l	HBS1-like protein	2851.23	7367.45			786.661						3350.7							1554.27					1723.11		4204.59		1536.01			4275.13	520.418		2827.37		14283	1483.27	1372.82	733.082	
Q6AXM8	Q6AXM8	PON2_RAT	Pon2	Serum paraoxonase/arylesterase 2	2220.5	7879.98			956.296		3311.06			2611.84	12471.6			13089.2	4439.07	12288.3		2278.1	4613.75	2018.43	25293.3		6094.49		2417.98		3147.71			2620.21	1287.98	3025.16				8585.85	4849.26	8757	3242.32
Q6AXM9	Q6AXM9	RLIG1_RAT		RNA ligase 1																									996.092												623.086		
Q6AXN3	Q6AXN3	TMED5_RAT	Tmed5	Transmembrane emp24 domain-containing protein 5																											1258.93			2905.11									
Q6AXN4	Q6AXN4	NDC1_RAT	Ndc1	Nucleoporin NDC1																																							
Q6AXN6	Q6AXN6	SKAP_RAT	Knstrn	Small kinetochore-associated protein																																							
Q6AXN8	Q6AXN8	Q6AXN8_RAT	Zscan21	Zinc finger and SCAN domain containing 21																																							
Q6AXQ0	Q6AXQ0	SAE1_RAT	Sae1	SUMO-activating enzyme subunit 1	2786.36	558.344	3777.8	7641.19	1549.96		9604.68				6591	3467.14	4243.66		4151.71		6436.28	11962.4		4176.61	8999.17		5586.54		6838.55		7261.19		4828.76	6061.66	6097.38	7553.49	3574.86	9596.84	20022.6	4133.81	1668.09	6123.73	6166.48
Q6AXQ4	Q6AXQ4	MTM1_RAT	Mtm1	Myotubularin																																							
Q6AXQ9	Q6AXQ9	IFT46_RAT	Ift46	Intraflagellar transport protein 46 homolog																																				269.185			
Q6AXR4	Q6AXR4	HEXB_RAT	Hexb	Beta-hexosaminidase subunit beta	2336.08								4424.65	5176.94	5077.42	3736.91		14028.5	3353.64	6295.33		5327.24	5293.39	5352.72	14627.9	4730.7	9338.89	13281	8482.25		6768.32	13050.4	5752.16	8404.97	7567.74	6008.8	7541.66	14789.6	2675.15	5661.34	7651.74	6775.71	
Q6AXS3	Q6AXS3	DEK_RAT	Dek	Protein DEK	1825.24	4089.46	8150.97	5039.43	1494.49		5714.76				2996.89		7305.39					6836.9	13053		4410.51		4464.47		5156.11		4354.11	1929.79		5792.72	5823.71	32895.2	5863.2	6890.57		4228.85	6874.56	9421.88	7816.39
Q6AXS4	Q6AXS4	RENR_RAT	Atp6ap2	Renin receptor	940.653														2810.04								2439.59																
Q6AXS5	Q6AXS5	SERB1_RAT	Serbp1	SERPINE1 mRNA-binding protein 1	3204.34		5950	7528.95	4969.15		3957			6769.37	1478.24	1587.99	2648.58		2483.45		2040.01	3148.77			4930.49	9470.59	6638.09	6283.14	5079.57	6793.06	5792.01			4643.61	2755.22	7736.28	3504.5	5309.97	2349.46	4432.31	8075.53	10813.1	4118.69
Q6AXS8	Q6AXS8	TPGS2_RAT	Tpgs2	Tubulin polyglutamylase complex subunit 2																																							
Q6AXS9	Q6AXS9	RFLB_RAT	Rflnb	Refilin-B																																							
Q6AXT0	Q6AXT0	RM37_RAT	Mrpl37	Large ribosomal subunit protein mL37						8373.79					4211.74		3897.4	596.675				8045.91			5326.65				1697.17					1411.32	3161.69				2208.67	2568.62	7846.04	314.28	
Q6AXT5	Q6AXT5	RAB21_RAT	Rab21	Ras-related protein Rab-21	4431.4	10042.9			5081.95	3180.68		3297.34	1302.9		6307.89	1983.71	4857.86	4240.11	5250			7696.45	1915.44		3387.29	3712.74	3961.46		5597.63	3269.14	1460.65		1227.8	9344.02	2467.84	10480	12803.7		7146.01	4203.66	6044.45	2998.54	
Q6AXT7	Q6AXT7	RBM42_RAT	Rbm42	RNA-binding protein 42	675.828																										1530.95				1244.06					416.953	461.959	867.356	
Q6AXT8	Q6AXT8	SF3A2_RAT	Sf3a2	Splicing factor 3A subunit 2	2579.67											3147.46	5769.08		3177.92							8705.16	4084.61			2729.42		6869.49			4206.14				3432.48	2631.45	4226.62	5885.3	
Q6AXU3	A0A8I6ALQ1;Q6AXU3;A0A8I6G4U4	I20L2_RAT	Isg20l2	Interferon-stimulated 20 kDa exonuclease-like 2																																							
Q6AXU4	Q6AXU4	RN181_RAT	Rnf181	E3 ubiquitin-protein ligase RNF181																																							
Q6AXU6	Q6AXU6	JUPI1_RAT	Jpt1	Jupiter microtubule associated homolog 1	686.161				887.478										3669.87								3083.72				3690.49			3821.56	992.36		2600.59			1286.57	2265.89		4126.65
Q6AXU7	Q6AXU7	MI4GD_RAT	Mif4gd	MIF4G domain-containing protein																																							
Q6AXV4	Q6AXV4	SAM50_RAT	Samm50	Sorting and assembly machinery component 50 homolog	7906.88	4236.13									1240.27			7819.72		5453.25								453.862			1478.34					2532.86			8813.32		9522.34	2170.43	5748.72
Q6AXX4	Q6AXX4	SAS10_RAT	Utp3	Something about silencing protein 10	3331.07																																						
Q6AXX5	Q6AXX5	Q6AXX5_RAT	Rdh11	Retinol dehydrogenase 11	2240.04	4710.66	3161.96	4222.48	3266.24	1313.51			3929.74	1664.22	1483.57	2591.77	3243.14	2889	1372.31	2893.99		2131.54		2623.92			3950.62		1255.96			9395.66	8280.69		1634.17		3323.38	3431.61		2630.27	2846.07		
Q6AXX6	Q6AXX6	PXL2A_RAT	Prxl2a	Peroxiredoxin-like 2A	1283.09				3633.04			7932.56	9991.66		4115.81			10495.7		11333.4					2203.9						2190.47		8907.2	1573.99	964.598	2895.51	6423.44			3245.09	529.968		
Q6AXY0	P08263;P04904;Q6AXY0	GSTA6_RAT	Gsta6	Glutathione S-transferase A6																		1660.83																		490.829	1874.24	4201.57	
Q6AXY4	Q6AXY4	DPOD2_RAT	Pold2	DNA polymerase delta subunit 2																											1285.8												
Q6AXY7	Q6AXY7	PR38B_RAT	Prpf38b	Pre-mRNA-splicing factor 38B											3951.33		1999.47		3919.6								2885.46		4547.24											2060.22	992.851		
Q6AXY8	Q6AXY8	Q6AXY8_RAT	Dhrs1	Dehydrogenase/reductase 1										2968.07	1454.3								2452.08	3713.11			794.778					3947.6		11917.5	1058.34	2084.46	7327.7						
Q6AXZ0	M0R9I5;Q6AXZ0	PAIP2_RAT	Paip2	Polyadenylate-binding protein-interacting protein 2																											1290.29										1356.29		
Q6AXZ2	Q6AXZ2	LRC46_RAT	Lrrc46	Leucine-rich repeat-containing protein 46	692.924				1438.01								5783.24														1608.5		8749.37					4951.85		563.489			
Q6AY02	Q6AY02	Q6AY02_RAT	Rbm17	Splicing factor 45	14920.8																					2531.91	1635.58				2397.09			1384.89	1088.98					1462.66	2278.81		
Q6AY03	Q6AY03	Q6AY03_RAT	Paqr8	Progestin and adipoQ receptor family member 8																																							
Q6AY09	Q6AY09	HNRH2_RAT	Hnrnph2	Heterogeneous nuclear ribonucleoprotein H2	8132.47	13247.3	8971.23	8693.56	5389.05		7903.59	5199.42			7901.71	3989.59	6482.74		11974			11034.5	10987.9	8488.57	9606.53	7940.04	9148.42	21772.2	7933.24	10994.8	10362.7	11960.7	28884.6	11532	18668.9	6989.91	10341.6	13231.7	5819.05	14252.3	13329.7	9019.04	7848.18
Q6AY20	Q6AY20;A0A8I6A547	MPRD_RAT	M6pr	Cation-dependent mannose-6-phosphate receptor	1790.96								4714.88																		4039.44							4165.97		1058.6	5111.83	5449.94	
Q6AY23	Q6AY23	P5CR2_RAT	Pycr2	Pyrroline-5-carboxylate reductase 2	2006.36	9003.7	7596.23		1459.3	2901.08		4315.47	4841.58	3319.36	7682.54	4161.53	3796.45	10295.2	2952.52	7478.66		9639.8	5706.9	6722.15	3552.75	9090.87	7434.84	11182	11208.1		3368.91		3573.97	4806.96	2667.29	3515.26	2903.67	5097.41		5710.69	4648.82	2296.11	1754.46
Q6AY25	Q6AY25	TMED3_RAT	Tmed3	Transmembrane emp24 domain-containing protein 3						863.425			938.664						874.579												797.695					3190.12				1336.28			
Q6AY30	Q6AY30	SCPDL_RAT	Sccpdh	Saccharopine dehydrogenase-like oxidoreductase	7215.62	8954.46	6507.73	15247.6	3072.05	11580.5	6413.62		5092	13828.4	6397.92	4813.6	10814.6	13704.8	5560.74	6079.68		3571.26			27229.4	9869.74	10229.9	3611.96	10032.3	7931.39	7807.21	3270.74	6651.73	9668.17	12565.4	14967.5	13613.1	12252.7		7672.34	9759.13	11166.1	7662.81
Q6AY41	D3Z9E9;Q6AY41	CC50A_RAT	Tmem30a	Cell cycle control protein 50A	843.822									3616.99								2042.49																					
Q6AY46	Q6AY46	TRM61_RAT	Trmt61a	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A																																							
Q6AY49	Q6AY49	Q6AY49_RAT	Tusc3	Tumor suppressor candidate 3									1008.1				1431										1452.73							1286.03						990.716	216.505		
Q6AY53	Q6AY53	DHYS_RAT	Dhps	Deoxyhypusine synthase												12926.1																									2022.97		
Q6AY55	Q6AY55	DCAKD_RAT	Dcakd	Dephospho-CoA kinase domain-containing protein	3125.96	1615.47	3052.2	5350.82	932.965				1020.73		5554.43		4953.74	4517.31	3603.17	7123.51		4562.13	6154.32		4691.04		2086.1		4589.12					2895.91		8304.28	3672.15	2229.59			1598.47	2656.62	
Q6AY57	Q6AY57	WIPI2_RAT	Wipi2	WD repeat domain phosphoinositide-interacting protein 2											1893.12				1119.24																1018.35					1821.38			
Q6AY63	Q6AY63	NUDT5_RAT	Nudt5	ADP-sugar pyrophosphatase	1238.76				1858.45		3932.77				2752.31	3555.04	3199.86		2048.72			4868.9			4192.33		2728.1				1677.95	3836.1	3403.31	2129.5	3311.94	3164.8			2604.18	1772.97	2672.62	2806.05	
Q6AY65	Q6AY65	ARFP2_RAT	Arfip2	Arfaptin-2					18681.1																1613.72						13468.9												
Q6AY70	Q6AY70	KANL2_RAT	Kansl2	KAT8 regulatory NSL complex subunit 2								7951.61																															
Q6AY71	Q6AY71	CF418_RAT	Cfap418	Cilia- and flagella-associated protein 418																																							
Q6AY72	Q6AY72	CS025_RAT		UPF0449 protein C19orf25 homolog																							608																
Q6AY75	Q6AY75	PHF23_RAT	Phf23	PHD finger protein 23																																					535.518		
Q6AY77	Q6AY77	Q6AY77_RAT	Gemin8	GEM (Nuclear organelle) associated protein 8																																							
Q6AY79	Q6AY79	HGH1_RAT	Hgh1	Protein HGH1 homolog		10373.2																			2037.65									3002.37			3544.63			4640.45	1410.11		
Q6AY86	Q6AY86	VP26A_RAT	Vps26a	Vacuolar protein sorting-associated protein 26A	8270.79	2756.22	4966.14	6141.4	6798.01	7748.4	7569.83		4695.83	6427.7	7516.66	10382.5	7240.4	1437.41	8945.94			9411.23	6882.81	4281.36	3949.72	14377.1	4185.49		11094.9	7399.62	6055.93	7311.52	8868.17	2661.29	5991.59	6606.71	10355.7	9022.18	6026.8	5755.66	5491.98	3466.63	11160
Q6AY87	Q6AY87	THOC6_RAT	Thoc6	THO complex subunit 6 homolog																							7511.43							3395.25	6503.56						2624.25		
Q6AY92	Q6AY92	CTL3_RAT	Slc44a3	Choline transporter-like protein 3		4087.99	9607.91		24782.2						8055.57	12135.5	6147.48							18529.9		12871.9	24686.4				12343.1			13931	12839.9	19902.2			8171.58				
Q6AY96	Q6AY96	T2FA_RAT	Gtf2f1	General transcription factor IIF subunit 1	1681.88										1213.07		1141.46					2698.47													3496.33					1644.06		9288.66	
Q6AY97	Q6AY97	CCD91_RAT	Ccdc91	Coiled-coil domain-containing protein 91																											545.92												
Q6AYA0	Q6AYA0	RIPL2_RAT	Rilpl2	RILP-like protein 2																																							
Q6AYA1	Q6AYA1	GAR1_RAT	Gar1	H/ACA ribonucleoprotein complex subunit 1	898.581		947.408											46880.6							811.822	2056.57	1812.65				834.445		4470.62	2069.38	2297.43					2004.29	1330.49	2925.38	2121.6
Q6AYA5	Q6AYA5	T106B_RAT	Tmem106b	Transmembrane protein 106B																																							
Q6AYA6	Q6AYA6	CYBC1_RAT	Cybc1	Cytochrome b-245 chaperone 1	8008.6			702.86	5374									5014.87																	261.888			3550.56		6720.89			
Q6AYB3	Q6AYB3	ISY1_RAT	Isy1	Pre-mRNA-splicing factor ISY1 homolog																							1301.35				2861.67			836.783		1952.16					1832.06		
Q6AYB4	Q6AYB4	HSP7E_RAT	Hspa14	Heat shock 70 kDa protein 14	825.274	2548.16	4006.58		1125.7		3551.95					2931.13											1918.86				738.653			946.78	2121.84	3658.79	1416.48			2270.38		811.878	
Q6AYB5	Q6AYB5	SRP54_RAT	Srp54	Signal recognition particle subunit SRP54	3356.79	3119.93			3299.19		5623.33			7606.32	6178.97	3705.01	3360.06		3288.54			3853.08	5833.38	6221.39	6528.79		4573.66		4965.9		2663.7	4122.23	4450.71	4723.65	3527.38	6504.71	3517.49		2795.5	2077.85	2807.22	5023.89	
Q6AYB8	Q6AYB8	GO45_RAT	Blzf1	Golgin-45																																					947.402		
Q6AYC2	Q6AYC2	IRGM_RAT	Irgm	Immunity-related GTPase family M protein																																							
Q6AYC4	Q6AYC4	CAPG_RAT	Capg	Macrophage-capping protein																						3277.29															1046.34		
Q6AYD1	Q6AYD1	MBLC1_RAT	Mblac1	Metallo-beta-lactamase domain-containing protein 1																																							
Q6AYD2	Q6AYD2	STN1_RAT	Stn1	CST complex subunit STN1	987.844		2255.44												945.742			2821.39												1488.38	2953.98					1051.05			
Q6AYD3	Q6AYD3	PA2G4_RAT	Pa2g4	Proliferation-associated protein 2G4	19857	10119.3	14528.8	10753.4	19290.2		7397.88	6159.32			13774.7	11035.1	19737.2	3086.98	13441.2		11633.5	22233.6	8974.44	10075.8	19011.5	12361.8	22651.9	12624	21531.2	16754	22761.5	21156.3	10573.6	17588.8	14559.6	17541.5	25943.7	17002.6	22009.9	19816.4	19282.9	19625.4	13399.9
Q6AYD5	Q6AYD5	Q6AYD5_RAT	Gspt1	G1 to S phase transition 1	9610.25	12345.6	13405.2		12831.2		3196.92	5326.99			7750.2	5738.36	9999.6		14404.8		3583.64	8128.04		13059.3	12332	13819.3	5365.22	5694.97	10717.1		6160.02	9235.52	16441.4	10312.9	11246.8	15557	6859.3		11998.4	16183.6	9178.27	13219	
Q6AYD6	Q6AYD6	PDLI2_RAT	Pdlim2	PDZ and LIM domain protein 2													4868.61																										
Q6AYD9	Q6AYD9	NUD19_RAT	Nudt19	Acyl-coenzyme A diphosphatase NUDT19														1562.65																									
Q6AYE2	Q6AYE2	SHLB1_RAT	Sh3glb1	Endophilin-B1	2563.18	11409	1115.65	4778.68	3702.29		2904.88					4149.81	6924.21		3007.15		6937.6		7966.1				2844.94		2962.65		3587.57					2262.71		847.403		1816.07	2710.66	4295.03	13468.2
Q6AYE3	Q6AYE3	TAD2A_RAT	Tada2a	Transcriptional adapter 2-alpha	849.643		1287.19		619.596		3203.85	3514.96			1914.45			1382.22		1188.02	497.267				567.086	614.921	2482.03		3962.97		349.354	1957.57			1547.76	590.011	2224.18			796.19			3242.21
Q6AYF1	Q6AYF1	SIN1_RAT	Mapkap1	Target of rapamycin complex 2 subunit MAPKAP1	9317.81			11298.2		4491.42				12767						1281.5				17255.5	17796.8			10935.3			23378.6					15826.2			11351.4	17388.2	2073.89		13484.2
Q6AYF6	Q6AYF6	GL8D1_RAT	Glt8d1	Glycosyltransferase 8 domain-containing protein 1																															1483.39								
Q6AYF7;Q6AYP2	Q6AYF7;Q6AYP2	MFA3L_RAT;MFAP3_RAT	Mfap3;Mfap3l	Microfibril-associated glycoprotein 3																																							
Q6AYF8	Q6AYF8	Q6AYF8_RAT	Serpinb9	Serpin family B member 9	668.494	1989.48	1573.78		16676.5					3917.82			2637.14	1836.97	787.444							6282.85				3294.09								2184.91					
Q6AYG3	Q6AYG3	PRUN1_RAT	Prune1	Exopolyphosphatase PRUNE1	6158.49	1205.05																																					
Q6AYG5	Q6AYG5	ECHD1_RAT	Echdc1	Ethylmalonyl-CoA decarboxylase	7742.04	12215.5	14040.4	6266.98	10949.6						9075	7415.61	6895.61		8537.8			6032.66	5920.37	11599.4	11777.9	4623.87	4410.47	11800.7	3095.49	8093.29	6061.37		10496.9	6539.23	6005.81	3295.15	9271.88	3423.57	5055.16	6307.01	8990.91	5431.28	11868
Q6AYG7	Q6AYG7	NF2IP_RAT	Nfatc2ip	NFATC2-interacting protein	855.679	3158.02		3454.94							3048.08							1787.92	4416.18							4110.82	3317.6			2541.29	3657.43	925.451	208.087			673.632	1986.41		
Q6AYH3	Q6AYH3	RNF34_RAT	Rnf34	E3 ubiquitin-protein ligase RNF34																																							
Q6AYH5	Q6AYH5	DCTN2_RAT	Dctn2	Dynactin subunit 2	5229.6	7062.81	9969.02	14642.6	3383.26		9057.91	6000.94	4227.03		9120.23	4262.02	6087.31		3740.48	1559.27	17506	4061.85		5187.63	5894.37		3908.51		7848.52		4148.72		4319.91	4778.93	4818.48	6467.82	4250.02	3020.92	4667.29	3445.76	3967.84	5667.59	3033.82
Q6AYH6	Q6AYH6	EMC10_RAT	Emc10	ER membrane protein complex subunit 10																																							
Q6AYI5	Q6AYI5	SHOC2_RAT	Shoc2	Leucine-rich repeat protein SHOC-2	902.04				4976.22										469.362			14313.9																			1268.43	1159.7	
Q6AYJ1	Q6AYJ1	RECQ1_RAT	Recql	ATP-dependent DNA helicase Q1	922.964																													1171.94						839.089			
Q6AYJ2	Q6AYJ2	BOD1_RAT	Bod1	Biorientation of chromosomes in cell division protein 1																																							
Q6AYJ5	Q6AYJ5	CLUA1_RAT	Cluap1	Clusterin-associated protein 1																																							
