Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	PC12_day6_1_1 Spectral Count	PC12_day6_2_2 Spectral Count	PC12_day6_3_3 Spectral Count	PC12_undiff_1_1 Spectral Count	PC12_undiff_2_2 Spectral Count	PC12_undiff_3_3 Spectral Count	PC12_day6_1_1 Unique Spectral Count	PC12_day6_2_2 Unique Spectral Count	PC12_day6_3_3 Unique Spectral Count	PC12_undiff_1_1 Unique Spectral Count	PC12_undiff_2_2 Unique Spectral Count	PC12_undiff_3_3 Unique Spectral Count	PC12_day6_1_1 Total Spectral Count	PC12_day6_2_2 Total Spectral Count	PC12_day6_3_3 Total Spectral Count	PC12_undiff_1_1 Total Spectral Count	PC12_undiff_2_2 Total Spectral Count	PC12_undiff_3_3 Total Spectral Count	PC12_day6_1_1 Intensity	PC12_day6_2_2 Intensity	PC12_day6_3_3 Intensity	PC12_undiff_1_1 Intensity	PC12_undiff_2_2 Intensity	PC12_undiff_3_3 Intensity	PC12_day6_1_1 MaxLFQ Intensity	PC12_day6_2_2 MaxLFQ Intensity	PC12_day6_3_3 MaxLFQ Intensity	PC12_undiff_1_1 MaxLFQ Intensity	PC12_undiff_2_2 MaxLFQ Intensity	PC12_undiff_3_3 MaxLFQ Intensity	Indistinguishable Proteins
tr|A0A8I6GFX3|A0A8I6GFX3_RAT	A0A8I6GFX3	A0A8I6GFX3_RAT	Tut4	1652	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RNA uridylyltransferase	1.0	0.999	3	5	5	5	0	1	1	2	1	0	0	1	1	2	1	0	0	1	1	2	1	0	3212.7146	2557.045	0.0	22727.756	4101.417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GGK9|A0A8I6GGK9_RAT	A0A8I6GGK9	A0A8I6GGK9_RAT	Ppie	298	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase E	1.0	0.999	3	6	6	6	1	0	0	2	2	1	1	0	0	2	2	1	1	0	0	2	2	1	33891.95	31089.777	0.0	48466.58	48701.617	22552.53	17526.297	16386.357	0.0	26286.629	25843.436	0.0	
tr|A0A8I6GH74|A0A8I6GH74_RAT	A0A8I6GH74	A0A8I6GH74_RAT	Fam172a	416	Rattus norvegicus OX=10116	4:Protein predicted	Family with sequence similarity 172, member A	1.0	0.9989	3	11	11	11	1	1	3	1	3	2	1	1	3	1	3	2	1	1	3	1	3	2	35323.363	21092.973	32505.271	28587.379	8828.569	32887.656	18779.77	15977.446	16701.418	14781.558	0.0	13342.504	
tr|A0A8I6GH80|A0A8I6GH80_RAT	A0A8I6GH80	A0A8I6GH80_RAT	Vps4b	443	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	vesicle-fusing ATPase	1.0	0.999	9	41	32	52	5	5	8	7	8	8	4	4	6	6	5	7	7	7	10	9	10	9	137904.34	123994.01	134648.33	133235.11	121745.31	114025.35	44635.863	41558.402	41249.88	44768.297	36210.906	34656.617	
tr|A0A8I6GH88|A0A8I6GH88_RAT	A0A8I6GH88	A0A8I6GH88_RAT	Fkbp2	162	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	peptidylprolyl isomerase	1.0	0.999	5	44	41	44	6	10	6	7	8	7	6	10	6	6	7	6	6	10	6	7	8	7	212847.92	239398.69	217979.0	226444.84	220326.78	211756.14	138746.61	143089.1	138533.03	147410.84	145221.78	141477.42	
tr|A0A8I6GHH3|A0A8I6GHH3_RAT	A0A8I6GHH3	A0A8I6GHH3_RAT	Sh3bgrl1	245	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	SH3 domain binding glutamate-rich protein like	1.0	0.999	1	7	7	7	0	0	0	0	3	4	0	0	0	0	3	4	0	0	0	0	3	4	0.0	0.0	0.0	0.0	6594.1465	9072.287	0.0	0.0	0.0	0.0	3483.7903	4781.7393	
tr|A0A8I6GHU4|A0A8I6GHU4_RAT	A0A8I6GHU4	A0A8I6GHU4_RAT	ENSRNOG00000066358	133	Rattus norvegicus OX=10116	4:Protein predicted	Nuclear export mediator factor	0.9741	0.999	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	1633.826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GI47|A0A8I6GI47_RAT	A0A8I6GI47	A0A8I6GI47_RAT	Atp9a	1105	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Phospholipid-transporting ATPase	1.0	0.999	8	28	25	28	10	5	4	3	3	3	9	4	3	3	3	3	10	5	4	3	3	3	118496.84	100654.85	70154.06	54126.207	33566.836	52734.5	25642.664	22651.53	24434.479	16906.082	21853.318	17851.021	
tr|A0A8I6GI92|A0A8I6GI92_RAT	A0A8I6GI92	A0A8I6GI92_RAT	ENSRNOG00000064882	103	Rattus norvegicus OX=10116	3:Protein inferred from homology	Prefoldin subunit 6	0.9986	0.999	4	5	5	31	0	1	1	1	1	1	0	1	1	1	1	1	4	6	6	4	6	5	9541.947	8602.175	11904.34	11403.886	13274.695	18385.486	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GIH3|A0A8I6GIH3_RAT	A0A8I6GIH3	A0A8I6GIH3_RAT	Pigt	625	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Phosphatidylinositol glycan anchor biosynthesis, class T	1.0	0.999	4	9	9	9	2	2	2	1	2	0	2	2	2	1	2	0	2	2	2	1	2	0	32275.75	37775.164	23929.467	0.0	4976.3735	0.0	18310.62	24138.186	0.0	0.0	0.0	0.0	
tr|A0A8I6GIL4|A0A8I6GIL4_RAT	A0A8I6GIL4	A0A8I6GIL4_RAT	Tmem87a	559	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Transmembrane protein 87A	1.0	0.9989	3	5	5	5	0	0	1	1	1	2	0	0	1	1	1	2	0	0	1	1	1	2	0.0	4172.183	9188.023	4705.744	5819.159	8831.047	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GIM3|A0A8I6GIM3_RAT	A0A8I6GIM3	A0A8I6GIM3_RAT	Ntpcr	251	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Nucleoside-triphosphatase, cancer-related	0.9909	0.9986	1	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0.0	2098.72	1582.1567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GIQ2|A0A8I6GIQ2_RAT	A0A8I6GIQ2	A0A8I6GIQ2_RAT	Secisbp2l	1087	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	SECIS binding protein 2-like	1.0	0.9988	4	4	4	4	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	39103.492	0.0	6433.7393	27587.688	5636.205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GIU6|A0A8I6GIU6_RAT	A0A8I6GIU6	A0A8I6GIU6_RAT	Tial1	375	Rattus norvegicus OX=10116	4:Protein predicted	Tia1 cytotoxic granule-associated RNA binding protein-like 1	1.0	0.999	6	30	14	30	3	4	2	7	5	9	2	2	1	4	1	4	3	4	2	7	5	9	86909.47	86165.7	30768.195	128443.336	72534.22	125861.375	26419.037	27992.756	29280.953	32760.07	33711.3	43725.555	
tr|A0A8I6GIY0|A0A8I6GIY0_RAT	A0A8I6GIY0	A0A8I6GIY0_RAT	Chd3	2113	Rattus norvegicus OX=10116	3:Protein inferred from homology	DNA helicase	1.0	0.999	7	11	11	20	1	1	1	2	3	3	1	1	1	2	3	3	3	2	2	4	4	5	144754.69	115523.36	79833.72	88304.58	164203.55	17708.812	76344.09	59967.74	0.0	0.0	86880.18	13641.359	
tr|A0A8I6GJ11|A0A8I6GJ11_RAT	A0A8I6GJ11	A0A8I6GJ11_RAT	Acss2	758	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	propionate--CoA ligase	1.0	0.999	15	103	103	103	23	27	24	9	11	9	23	27	24	9	11	9	23	27	24	9	11	9	500004.8	526409.3	474843.88	134171.84	110207.92	225889.53	87859.49	85354.68	84115.7	37005.426	38924.066	41053.42	
tr|A0A8I6GJ20|A0A8I6GJ20_RAT	A0A8I6GJ20	A0A8I6GJ20_RAT	Kif23	952	Rattus norvegicus OX=10116	3:Protein inferred from homology	Kinesin-like protein	0.998	0.999	2	3	3	3	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	4323.8413	3767.187	0.0	7322.589	5435.7866	4791.9316	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GJ67|A0A8I6GJ67_RAT	A0A8I6GJ67	A0A8I6GJ67_RAT	Pin1	183	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Peptidylprolyl cis/trans isomerase, NIMA-interacting 1	1.0	0.999	2	23	23	23	3	4	3	3	6	4	3	4	3	3	6	4	3	4	3	3	6	4	113818.11	119891.69	116203.766	151163.16	148306.28	162045.08	70815.22	74308.38	72372.28	90675.31	85718.73	97395.56	
tr|A0A8I6GJ92|A0A8I6GJ92_RAT	A0A8I6GJ92	A0A8I6GJ92_RAT	Eprs1	1519	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Glutamyl-prolyl-tRNA synthetase	1.0	0.999	74	440	440	440	74	59	68	72	80	87	74	59	68	72	80	87	74	59	68	72	80	87	1766717.1	1494788.9	1490746.4	1803815.4	1846494.9	1990137.2	139418.6	144742.38	139178.97	151661.73	156410.27	167199.06	
tr|A0A8I6GJ97|A0A8I6GJ97_RAT	A0A8I6GJ97	A0A8I6GJ97_RAT	ENSRNOG00000069456	335	Rattus norvegicus OX=10116	3:Protein inferred from homology	phosphopyruvate hydratase	0.9998	0.999	19	9	9	196	3	2	2	0	1	1	3	2	2	0	1	1	36	41	38	19	35	27	3691.7412	6096.044	14026.238	0.0	6068.393	10265.93	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GJC3|A0A8I6GJC3_RAT	A0A8I6GJC3	A0A8I6GJC3_RAT	Larp1	1073	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	La ribonucleoprotein 1, translational regulator	1.0	0.999	17	61	61	61	13	15	9	5	9	10	13	15	9	5	9	10	13	15	9	5	9	10	203828.16	240695.28	149235.9	131377.73	162452.44	147949.66	57711.72	56379.684	56554.23	51662.008	55217.496	55696.215	
tr|A0A8I6GJC5|A0A8I6GJC5_RAT	A0A8I6GJC5	A0A8I6GJC5_RAT	Reps1	708	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RALBP1 associated Eps domain containing 1	1.0	0.999	4	14	13	14	2	3	1	2	3	3	2	2	1	2	3	3	2	3	1	2	3	3	28397.152	43244.22	21613.79	40987.72	32291.86	31588.617	18276.357	18907.832	0.0	26986.08	21659.348	21126.176	
tr|A0A8I6GJG8|A0A8I6GJG8_RAT	A0A8I6GJG8	A0A8I6GJG8_RAT	Inpp1	430	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Inositol polyphosphate-1-phosphatase	1.0	0.999	5	13	13	13	1	3	4	3	1	1	1	3	4	3	1	1	1	3	4	3	1	1	18398.203	26122.805	25607.35	44094.992	11748.791	26387.734	0.0	17503.86	21389.29	16023.992	0.0	17662.832	
tr|A0A8I6GJQ5|A0A8I6GJQ5_RAT	A0A8I6GJQ5	A0A8I6GJQ5_RAT	Heatr5b	2070	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	HEAT repeat containing 5B	1.0	0.999	5	19	19	19	5	3	2	2	5	2	5	3	2	2	5	2	5	3	2	2	5	2	45627.902	36211.58	31536.658	47044.81	47013.0	40910.156	18122.016	16346.742	17885.443	16374.926	18295.834	15611.842	
tr|A0A8I6GJV2|A0A8I6GJV2_RAT	A0A8I6GJV2	A0A8I6GJV2_RAT	Stfa2l2	103	Rattus norvegicus OX=10116	3:Protein inferred from homology	Stefin A2-like 2	1.0	0.999	4	10	6	10	4	3	3	0	0	0	2	2	2	0	0	0	4	3	3	0	0	0	160108.38	152164.52	80146.58	0.0	0.0	0.0	61823.477	59878.195	59021.742	0.0	0.0	0.0	
tr|A0A8I6GJX4|A0A8I6GJX4_RAT	A0A8I6GJX4	A0A8I6GJX4_RAT	ENSRNOG00000068182	272	Rattus norvegicus OX=10116	4:Protein predicted	Core shell protein Gag P30 domain-containing protein	0.9736	0.9989	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	7689.9053	5220.399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GJX9|A0A8I6GJX9_RAT	A0A8I6GJX9	A0A8I6GJX9_RAT	Insm1	522	Rattus norvegicus OX=10116	4:Protein predicted	INSM transcriptional repressor 1	0.9748	0.999	1	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0.0	0.0	0.0	11781.808	24629.14	32420.135	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GJY0|A0A8I6GJY0_RAT	A0A8I6GJY0	A0A8I6GJY0_RAT	Hmbox1	420	Rattus norvegicus OX=10116	4:Protein predicted	Homeobox containing 1	1.0	0.999	4	21	21	21	5	4	5	3	2	2	5	4	5	3	2	2	5	4	5	3	2	2	55051.906	45776.734	55877.906	23582.568	21490.736	35702.88	17846.97	17579.945	18705.732	12430.993	13681.018	14108.777	
tr|A0A8I6GJY7|A0A8I6GJY7_RAT	A0A8I6GJY7	A0A8I6GJY7_RAT	Snx9	643	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Sorting nexin 9	0.9998	0.999	2	15	15	15	3	3	4	2	2	1	3	3	4	2	2	1	3	3	4	2	2	1	44190.94	53910.85	47575.19	42267.49	28791.805	39490.71	0.0	37852.094	34677.84	32741.498	0.0	29321.26	
tr|A0A8I6GK03|A0A8I6GK03_RAT	A0A8I6GK03	A0A8I6GK03_RAT	Tubgcp4	666	Rattus norvegicus OX=10116	3:Protein inferred from homology	Gamma-tubulin complex component	0.9747	0.999	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0.0	5342.6025	0.0	7963.3833	5221.9224	8462.107	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GK52|A0A8I6GK52_RAT	A0A8I6GK52	A0A8I6GK52_RAT	Smg1	3658	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	non-specific serine/threonine protein kinase	1.0	0.9984	2	3	3	3	2	0	0	1	0	0	2	0	0	1	0	0	2	0	0	1	0	0	31645.45	21473.992	0.0	10235.907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GK62|A0A8I6GK62_RAT	A0A8I6GK62	A0A8I6GK62_RAT	Lemd3	914	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	LEM domain containing 3	1.0	0.999	13	54	54	54	9	11	11	6	9	8	9	11	11	6	9	8	9	11	11	6	9	8	113357.85	169077.33	128482.23	122800.32	84962.19	124673.27	24562.82	26952.848	30671.592	23433.701	27670.2	27960.463	
tr|A0A8I6GK63|A0A8I6GK63_RAT	A0A8I6GK63	A0A8I6GK63_RAT	Smc4	1251	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Structural maintenance of chromosomes protein	1.0	0.999	15	37	37	37	1	2	1	10	10	13	1	2	1	10	10	13	1	2	1	10	10	13	82113.23	80018.69	11476.423	160161.98	141564.78	204393.12	42160.875	35521.953	0.0	67134.195	72502.76	67070.4	
tr|A0A8I6GK73|A0A8I6GK73_RAT	A0A8I6GK73	A0A8I6GK73_RAT	Copz1	177	Rattus norvegicus OX=10116	3:Protein inferred from homology	Coatomer subunit zeta	1.0	0.999	5	32	32	32	3	4	5	2	9	9	3	4	5	2	9	9	3	4	5	2	9	9	76746.33	58639.66	50094.207	62246.03	120568.17	128067.516	27103.844	30022.195	25454.494	38767.17	39893.7	45149.086	
tr|A0A8I6GK77|A0A8I6GK77_RAT	A0A8I6GK77	A0A8I6GK77_RAT	Bcas3	1009	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	BCAS3, microtubule associated cell migration factor	1.0	0.999	3	17	17	17	3	2	2	4	3	3	3	2	2	4	3	3	3	2	2	4	3	3	35058.984	37869.883	32507.855	39305.8	33387.895	38505.07	16278.06	17166.965	18495.14	16802.31	15079.485	17012.588	
tr|A0A8I6GKH8|A0A8I6GKH8_RAT	A0A8I6GKH8	A0A8I6GKH8_RAT	Map7	735	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Microtubule-associated protein 7	1.0	0.999	10	31	31	31	11	9	3	3	2	3	11	9	3	3	2	3	11	9	3	3	2	3	156137.55	139816.02	39067.504	80482.89	26719.805	76833.33	43961.133	43428.94	43533.445	22145.709	27874.936	26442.408	
tr|A0A8I6GKI8|A0A8I6GKI8_RAT	A0A8I6GKI8	A0A8I6GKI8_RAT	Pin4	126	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase	1.0	0.999	4	28	2	28	4	3	4	4	6	7	0	0	0	0	1	1	4	3	4	4	6	7	71899.266	72313.85	70857.086	93095.44	119092.38	129977.43	32979.56	35319.09	35128.418	46881.76	47579.887	50682.617	
tr|A0A8I6GKT2|A0A8I6GKT2_RAT	A0A8I6GKT2	A0A8I6GKT2_RAT	Prtfdc1	298	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Phosphoribosyl transferase domain containing 1	1.0	0.999	4	6	6	20	0	1	3	0	1	1	0	1	3	0	1	1	3	4	5	2	3	3	7950.6206	6344.5527	14437.621	8915.908	2449.032	11468.184	0.0	0.0	10583.925	0.0	0.0	9811.554	
tr|A0A8I6GKW1|A0A8I6GKW1_RAT	A0A8I6GKW1	A0A8I6GKW1_RAT	Pym1	232	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	PYM homolog 1, exon junction complex associated factor	1.0	0.999	6	32	32	32	5	5	4	7	5	6	5	5	4	7	5	6	5	5	4	7	5	6	86875.67	71126.234	71893.08	103406.11	76490.72	100596.484	30764.887	28720.814	28999.422	36663.79	37041.44	37131.383	
tr|A0A8I6GKY0|A0A8I6GKY0_RAT	A0A8I6GKY0	A0A8I6GKY0_RAT	Asxl1	1492	Rattus norvegicus OX=10116	3:Protein inferred from homology	ASXL transcriptional regulator 1	0.9745	0.999	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GKZ7|A0A8I6GKZ7_RAT	A0A8I6GKZ7	A0A8I6GKZ7_RAT	Tent4b	637	Rattus norvegicus OX=10116	4:Protein predicted	Terminal nucleotidyltransferase 4B	1.0	0.999	2	5	5	5	0	0	0	1	3	1	0	0	0	1	3	1	0	0	0	1	3	1	0.0	0.0	0.0	10051.985	26915.248	15723.548	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GL10|A0A8I6GL10_RAT	A0A8I6GL10	A0A8I6GL10_RAT	Uchl5	329	Rattus norvegicus OX=10116	3:Protein inferred from homology	Ubiquitin carboxyl-terminal hydrolase	1.0	0.999	9	34	34	34	3	2	7	6	8	8	3	2	7	6	8	8	3	2	7	6	8	8	38808.766	57102.496	61337.855	85291.87	66405.766	85700.93	20957.389	17145.98	19854.812	23739.982	23379.947	23404.14	
tr|A0A8I6GL39|A0A8I6GL39_RAT	A0A8I6GL39	A0A8I6GL39_RAT	Scamp2	372	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Secretory carrier-associated membrane protein	1.0	0.999	2	18	18	18	3	3	2	3	3	4	3	3	2	3	3	4	3	3	2	3	3	4	46094.633	49594.312	39352.9	35426.223	39456.72	34195.152	28360.727	30657.5	24365.459	19440.004	18919.697	19972.023	
tr|A0A8I6GLB8|A0A8I6GLB8_RAT	A0A8I6GLB8	A0A8I6GLB8_RAT	Chmp1a	198	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Charged multivesicular body protein 1A	0.9995	0.9984	2	12	12	12	2	3	2	2	2	1	2	3	2	2	2	1	2	3	2	2	2	1	46435.414	22466.809	42099.434	21737.793	21210.691	14945.9	28416.824	14255.094	23990.525	13879.825	13206.331	0.0	
tr|A0A8I6GLC1|A0A8I6GLC1_RAT	A0A8I6GLC1	A0A8I6GLC1_RAT	Trrap	3874	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Transformation/transcription domain-associated protein	1.0	0.999	5	7	7	7	0	0	0	3	2	2	0	0	0	3	2	2	0	0	0	3	2	2	9598.956	6680.967	0.0	21815.5	10017.531	34653.57	0.0	0.0	0.0	14903.028	0.0	18726.03	
tr|A0A8I6GLF3|A0A8I6GLF3_RAT	A0A8I6GLF3	A0A8I6GLF3_RAT	Hsp90ab1-ps13	518	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Similar to heat shock protein 1, beta	1.0	0.9989	17	11	11	253	0	2	2	2	4	1	0	2	2	2	4	1	42	46	41	43	41	40	15882.426	25340.93	21842.518	0.0	49063.375	36084.523	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GLK6|A0A8I6GLK6_RAT	A0A8I6GLK6	A0A8I6GLK6_RAT	Stfa2l3	103	Rattus norvegicus OX=10116	3:Protein inferred from homology	Stefin-3-like	0.956	0.9982	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GLM7|A0A8I6GLM7_RAT	A0A8I6GLM7	A0A8I6GLM7_RAT	Card6	1126	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Caspase recruitment domain family, member 6	0.9749	0.999	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7541.084	6280.6147	6414.422	3523.4824	3692.2075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GLQ3|A0A8I6GLQ3_RAT	A0A8I6GLQ3	A0A8I6GLQ3_RAT	Prpf31	499	Rattus norvegicus OX=10116	3:Protein inferred from homology	U4/U6 small nuclear ribonucleoprotein Prp31	1.0	0.999	8	40	40	40	9	6	5	8	6	6	9	6	5	8	6	6	9	6	5	8	6	6	112068.43	120916.97	48353.934	140636.78	66322.92	123963.08	21915.717	25032.936	22367.234	29315.123	30828.562	30208.596	
tr|A0A8I6GLR6|A0A8I6GLR6_RAT	A0A8I6GLR6	A0A8I6GLR6_RAT	Prex1	1646	Rattus norvegicus OX=10116	4:Protein predicted	Phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	1.0	0.9989	6	8	8	8	0	0	0	3	3	2	0	0	0	3	3	2	0	0	0	3	3	2	34413.305	15149.601	0.0	34672.75	33428.125	18463.707	21335.037	0.0	0.0	18651.428	18023.643	16510.928	
tr|A0A8I6GLU8|A0A8I6GLU8_RAT	A0A8I6GLU8	A0A8I6GLU8_RAT	Tardbp	414	Rattus norvegicus OX=10116	4:Protein predicted	TAR DNA-binding protein 43	1.0	0.999	12	132	132	132	22	21	19	21	26	23	22	21	19	21	26	23	22	21	19	21	26	23	520216.7	526529.75	518827.53	596487.7	529144.75	593915.5	163265.97	160507.12	155033.75	183275.72	196938.08	197714.23	
tr|A0A8I6GLY6|A0A8I6GLY6_RAT	A0A8I6GLY6	A0A8I6GLY6_RAT	Gga1	635	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Golgi associated, gamma adaptin ear containing, ARF binding protein 1	1.0	0.999	8	35	31	35	5	5	8	6	6	5	4	4	7	6	6	4	5	5	8	6	6	5	46174.04	50245.87	106072.766	88892.445	70341.086	109658.19	17759.041	15340.158	21523.016	25430.748	22339.404	26870.508	
tr|A0A8I6GM11|A0A8I6GM11_RAT	A0A8I6GM11	A0A8I6GM11_RAT	Lsm12	195	Rattus norvegicus OX=10116	3:Protein inferred from homology	LSM12 homolog	1.0	0.999	5	25	25	25	5	5	6	3	2	4	5	5	6	3	2	4	5	5	6	3	2	4	125085.234	133021.22	124134.64	129647.56	128233.0	132195.19	58087.695	61051.5	62231.758	78196.625	77359.41	65481.473	
tr|A0A8I6GM16|A0A8I6GM16_RAT	A0A8I6GM16	A0A8I6GM16_RAT	Hoxc6	235	Rattus norvegicus OX=10116	4:Protein predicted	Homeo box C6	0.9749	0.999	1	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0.0	0.0	0.0	10736.686	12805.527	13267.425	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8I6GM43|A0A8I6GM43_RAT	A0A8I6GM43	A0A8I6GM43_RAT	Pbdc1	198	Rattus norvegicus OX=10116	4:Protein predicted	Polysaccharide biosynthesis domain containing 1	1.0	0.999	4	11	11	11	0	2	0	2	5	2	0	2	0	2	5	2	0	2	0	2	5	2	27301.916	52751.75	0.0	21448.654	51202.027	22851.7	0.0	19992.8	0.0	21341.004	20388.055	15614.277	
tr|A0A8I6GMK8|A0A8I6GMK8_RAT	A0A8I6GMK8	A0A8I6GMK8_RAT	Uty	1214	Rattus norvegicus OX=10116	3:Protein inferred from homology	[histone H3]-trimethyl-L-lysine(27) demethylase	0.9599	0.9984	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	10423.999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
tr|A0A8J8XB26|A0A8J8XB26_RAT	A0A8J8XB26	A0A8J8XB26_RAT	Srsf10	262	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Serine and arginine rich splicing factor 10	1.0	0.999	7	44	25	44	5	4	7	10	8	10	3	2	5	4	5	6	5	4	7	10	8	10	211286.39	158817.36	170719.31	269106.47	252440.38	256112.8	58686.023	55823.418	58463.734	70671.164	76136.91	77576.7	
tr|A0A8J8XD91|A0A8J8XD91_RAT	A0A8J8XD91	A0A8J8XD91_RAT	Timm17b	199	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Translocase of inner mitochondrial membrane 17b	1.0	0.999	3	38	38	38	6	8	6	7	7	4	6	8	6	7	7	4	6	8	6	7	7	4	86669.25	78345.05	91708.08	81287.91	81672.37	75221.15	41399.69	42804.62	42010.5	36640.24	36214.0	35777.523	
tr|A0A8J8XIM5|A0A8J8XIM5_RAT	A0A8J8XIM5	A0A8J8XIM5_RAT	Grhpr	372	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Glyoxylate and hydroxypyruvate reductase	1.0	0.999	4	24	24	24	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	115411.516	114113.18	112160.22	113208.234	98606.61	97696.12	49708.453	49624.445	47515.902	44593.13	36246.29	36763.18	
tr|A0A8J8XIU8|A0A8J8XIU8_RAT	A0A8J8XIU8	A0A8J8XIU8_RAT	Rbm39	530	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	RNA binding motif protein 39	1.0	0.999	14	76	76	76	10	8	12	12	16	18	10	8	12	12	16	18	10	8	12	12	16	18	178532.61	188018.03	176415.72	214960.84	272411.75	358063.25	48408.53	52938.34	51572.953	71013.11	68233.01	71242.11	
tr|A0A8J8XLZ3|A0A8J8XLZ3_RAT	A0A8J8XLZ3	A0A8J8XLZ3_RAT	Luc7l2	391	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	LUC7-like 2 pre-mRNA splicing factor	1.0	0.999	8	37	27	37	6	4	2	8	9	8	5	4	2	3	6	7	6	4	2	8	9	8	120524.05	119314.17	21679.56	202812.11	234960.1	228798.0	38434.164	37305.574	36340.406	65184.207	68861.81	69829.875	
