Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	LFQ.intensity.control_231_1	LFQ.intensity.control_231_2	LFQ.intensity.control_231_3	LFQ.intensity.control_468_1	LFQ.intensity.control_468_2	LFQ.intensity.control_468_3	LFQ.intensity.control_468_42hr_1	LFQ.intensity.control_468_42hr_2	LFQ.intensity.control_468_42hr_3	LFQ.intensity.drug_231_1	LFQ.intensity.drug_231_2	LFQ.intensity.drug_231_3	LFQ.intensity.drug_468_1	LFQ.intensity.drug_468_2	LFQ.intensity.drug_468_3	LFQ.intensity.drug_468_42hr_1	LFQ.intensity.drug_468_42hr_2	LFQ.intensity.drug_468_42hr_3	LFQ.intensity.high_231_2	LFQ.intensity.high_231_3	LFQ.intensity.high_drug_231_2	LFQ.intensity.high_drug_231_3	LFQ.intensity.high_231_1	LFQ.intensity.low_468_1	LFQ.intensity.low_468_2	LFQ.intensity.low_468_3	LFQ.intensity.low_468_42hr_1	LFQ.intensity.low_468_42hr_2	LFQ.intensity.low_468_42hr_3	LFQ.intensity.high_drug_231_1	LFQ.intensity.low_drug_468_42hr_3	LFQ.intensity.low_drug_468_1	LFQ.intensity.low_drug_468_2	LFQ.intensity.low_drug_468_3	LFQ.intensity.low_drug_468_42hr_1	LFQ.intensity.low_drug_468_42hr_2	Indistinguishable Proteins
sp|Q9NTJ3|SMC4_HUMAN	Q9NTJ3	SMC4_HUMAN	SMC4	1288	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes protein 4	4.59E+07	7.21E+07	1.88E+08	1.36E+08	1.46E+08	9.23E+07	1.28E+08	3.64E+07	1.27E+08	1.06E+08	1.14E+08	1.24E+08	8.41E+07	7.89E+07	1.05E+08	8.87E+07	0	6.62E+07	1.20E+08	8.77E+07	1.98E+08	1.78E+08	1.18E+08	5.26E+07	8.97E+07	1.96E+08	6.70E+07	5.03E+07	9.58E+07	2.05E+08	1.41E+08	1.40E+08	1.05E+08	1.38E+08	1.04E+08	0	
sp|Q9NTJ5|SAC1_HUMAN	Q9NTJ5	SAC1_HUMAN	SACM1L	587	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphatidylinositol-3-phosphatase SAC1	0	0	8.51E+07	8.90E+07	7.98E+07	0	6.21E+07	0	5.97E+07	3.10E+07	3.99E+07	3.93E+07	0	0	5.40E+07	6.03E+07	0	4.93E+07	4.72E+07	2.71E+07	8.27E+07	6.59E+07	4.53E+07	0	0	1.20E+08	2.81E+07	0	4.51E+07	8.31E+07	6.86E+07	7.83E+07	3.05E+07	7.19E+07	5.50E+07	1.42E+07	
sp|Q9NTK5|OLA1_HUMAN	Q9NTK5	OLA1_HUMAN	OLA1	396	Homo sapiens OX=9606	1:Experimental evidence at protein level	Obg-like ATPase 1	1.55E+08	2.43E+08	5.08E+08	6.32E+08	6.26E+08	6.84E+08	4.99E+08	2.99E+08	5.18E+08	2.64E+08	3.20E+08	2.44E+08	7.45E+08	7.51E+08	7.26E+08	4.67E+08	1.72E+08	5.36E+08	3.60E+08	2.34E+08	4.75E+08	4.13E+08	3.96E+08	6.08E+08	5.29E+08	4.35E+08	3.64E+08	3.48E+08	3.30E+08	4.09E+08	5.09E+08	6.84E+08	7.35E+08	6.84E+08	3.69E+08	3.08E+08	
sp|Q9NTM9|CUTC_HUMAN	Q9NTM9	CUTC_HUMAN	CUTC	273	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper homeostasis protein cutC homolog	0	0	0	0	2.39E+07	3.17E+07	0	0	0	0	0	0	1.68E+07	3.26E+07	0	0	0	0	0	0	0	0	0	5.16E+07	0	0	0	0	0	0	2.85E+07	0	3.90E+07	0	0	0	
sp|Q9NTW7|ZF64B_HUMAN	Q9NTW7	ZF64B_HUMAN	ZFP64	645	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NTX5|ECHD1_HUMAN	Q9NTX5	ECHD1_HUMAN	ECHDC1	307	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ethylmalonyl-CoA decarboxylase	3.27E+07	6.33E+07	5.73E+07	7.31E+07	6.74E+07	8.34E+07	7.54E+07	1.02E+08	5.81E+07	5.29E+07	6.10E+07	5.09E+07	9.64E+07	1.06E+08	9.49E+07	1.11E+08	1.20E+08	1.27E+08	8.15E+07	5.41E+07	7.06E+07	6.93E+07	8.08E+07	7.56E+07	6.27E+07	3.72E+07	8.17E+07	7.21E+07	6.42E+07	7.43E+07	7.06E+07	8.01E+07	9.41E+07	7.94E+07	6.69E+07	1.11E+08	
sp|Q9NTZ6|RBM12_HUMAN	Q9NTZ6	RBM12_HUMAN	RBM12	932	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein 12	1.65E+08	2.19E+08	2.49E+08	1.86E+08	1.88E+08	2.03E+08	2.02E+08	2.18E+08	1.54E+08	1.79E+08	1.99E+08	1.81E+08	1.68E+08	1.85E+08	1.50E+08	1.99E+08	1.85E+08	1.75E+08	2.06E+08	1.57E+08	1.69E+08	1.98E+08	2.34E+08	1.78E+08	1.64E+08	1.19E+08	2.09E+08	1.91E+08	1.85E+08	1.86E+08	1.32E+08	1.44E+08	1.49E+08	1.37E+08	1.39E+08	1.79E+08	
sp|Q9NU22|MDN1_HUMAN	Q9NU22	MDN1_HUMAN	MDN1	5596	Homo sapiens OX=9606	1:Experimental evidence at protein level	Midasin	0	0	0	2.37E+07	2.39E+07	0	0	0	0	0	0	0	0	0	0	1.77E+07	0	0	0	0	0	0	0	0	0	4.30E+07	0	0	0	0	0	2.36E+07	0	0	0	0	
sp|Q9NU23|LYRM2_HUMAN	Q9NU23	LYRM2_HUMAN	LYRM2	88	Homo sapiens OX=9606	1:Experimental evidence at protein level	LYR motif-containing protein 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUB1|ACS2L_HUMAN	Q9NUB1	ACS2L_HUMAN	ACSS1	689	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Acetyl-coenzyme A synthetase 2-like, mitochondrial"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUD5|ZCHC3_HUMAN	Q9NUD5	ZCHC3_HUMAN	ZCCHC3	403	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger CCHC domain-containing protein 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUG6|PDRG1_HUMAN	Q9NUG6	PDRG1_HUMAN	PDRG1	133	Homo sapiens OX=9606	1:Experimental evidence at protein level	p53 and DNA damage-regulated protein 1	1.06E+08	8.15E+07	0	0	0	0	0	6.74E+07	0	8.13E+07	0	0	0	0	0	4.69E+07	0	0	6.42E+07	6.72E+07	0	7.28E+07	0	0	4.95E+07	0	7.27E+07	5.90E+07	0	4.32E+07	0	0	3.30E+07	0	0	7.54E+07	
sp|Q9NUI1|DECR2_HUMAN	Q9NUI1	DECR2_HUMAN	DECR2	292	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUJ1|ABHDA_HUMAN	Q9NUJ1	ABHDA_HUMAN	ABHD10	306	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Palmitoyl-protein thioesterase ABHD10, mitochondrial"	6.78E+07	7.46E+07	7.25E+07	7.28E+07	0	5.94E+07	6.63E+07	7.27E+07	6.84E+07	7.58E+07	8.09E+07	5.52E+07	6.71E+07	8.68E+07	6.40E+07	8.99E+07	8.01E+07	9.11E+07	1.03E+08	7.25E+07	1.07E+08	1.07E+08	1.14E+08	5.22E+07	6.06E+07	0	6.53E+07	5.27E+07	5.16E+07	1.05E+08	4.00E+07	5.43E+07	5.13E+07	4.78E+07	4.37E+07	6.27E+07	
sp|Q9NUJ3|T11L1_HUMAN	Q9NUJ3	T11L1_HUMAN	TCP11L1	509	Homo sapiens OX=9606	1:Experimental evidence at protein level	T-complex protein 11-like protein 1	0	0	0	0	0	0	0	2.09E+07	0	1.75E+07	0	0	0	0	0	0	3.21E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14E+07	
sp|Q9NUL3|STAU2_HUMAN	Q9NUL3	STAU2_HUMAN	STAU2	570	Homo sapiens OX=9606	1:Experimental evidence at protein level	Double-stranded RNA-binding protein Staufen homolog 2	0	2.28E+07	3.21E+07	4.72E+07	3.00E+07	5.74E+07	5.92E+07	2.27E+07	6.89E+07	0	0	0	4.44E+07	4.84E+07	4.25E+07	3.54E+07	0	2.93E+07	0	0	0	0	0	4.05E+07	5.69E+07	3.05E+07	3.59E+07	3.68E+07	5.80E+07	0	7.95E+07	4.43E+07	5.31E+07	4.63E+07	5.63E+07	2.36E+07	
sp|Q9NUL5|SHFL_HUMAN	Q9NUL5	SHFL_HUMAN	SHFL	291	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shiftless antiviral inhibitor of ribosomal frameshifting protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUL7|DDX28_HUMAN	Q9NUL7	DDX28_HUMAN	DDX28	540	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUN5|LMBD1_HUMAN	Q9NUN5	LMBD1_HUMAN	LMBRD1	540	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysosomal cobalamin transport escort protein LMBD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUP1|BL1S4_HUMAN	Q9NUP1	BL1S4_HUMAN	BLOC1S4	217	Homo sapiens OX=9606	1:Experimental evidence at protein level	Biogenesis of lysosome-related organelles complex 1 subunit 4	0	0	0	0	0	0	0	6.89E+07	0	0	3.13E+07	4.62E+07	0	0	0	0	7.90E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.86E+07	
sp|Q9NUP9|LIN7C_HUMAN	Q9NUP9	LIN7C_HUMAN	LIN7C	197	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein lin-7 homolog C	1.82E+08	1.32E+08	1.10E+08	0	0	8.96E+07	1.22E+08	1.89E+08	1.58E+08	1.44E+08	1.15E+08	1.41E+08	0	1.46E+08	1.59E+08	1.99E+08	2.24E+08	2.08E+08	1.22E+08	1.29E+08	1.09E+08	9.87E+07	1.14E+08	0	6.29E+07	5.87E+07	1.34E+08	1.41E+08	1.41E+08	1.50E+08	1.23E+08	1.02E+08	1.27E+08	1.06E+08	1.81E+08	2.64E+08	
sp|Q9NUQ2|PLCE_HUMAN	Q9NUQ2	PLCE_HUMAN	AGPAT5	364	Homo sapiens OX=9606	1:Experimental evidence at protein level	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUQ3|TXLNG_HUMAN	Q9NUQ3	TXLNG_HUMAN	TXLNG	528	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gamma-taxilin	0	1.98E+07	0	0	0	0	0	2.90E+07	0	0	2.34E+07	0	2.30E+07	2.43E+07	0	0	2.79E+07	0	2.93E+07	2.87E+07	5.26E+07	2.94E+07	3.28E+07	3.04E+07	3.00E+07	0	0	0	0	2.83E+07	0	0	0	0	0	3.28E+07	
sp|Q9NUQ6|SPS2L_HUMAN	Q9NUQ6	SPS2L_HUMAN	SPATS2L	558	Homo sapiens OX=9606	1:Experimental evidence at protein level	SPATS2-like protein	4.05E+07	2.92E+07	8.90E+07	1.89E+07	2.04E+07	0	0	0	0	3.45E+07	3.86E+07	3.64E+07	2.18E+07	2.38E+07	3.10E+07	0	0	0	4.06E+07	7.89E+07	7.00E+07	5.82E+07	4.51E+07	0	0	1.52E+07	0	0	2.49E+07	6.94E+07	4.46E+07	2.30E+07	1.62E+07	2.40E+07	3.63E+07	0	
sp|Q9NUQ7|UFSP2_HUMAN	Q9NUQ7	UFSP2_HUMAN	UFSP2	469	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ufm1-specific protease 2	0	0	0	3.20E+07	3.97E+07	0	0	3.38E+07	0	0	0	0	4.71E+07	5.64E+07	4.90E+07	0	2.57E+07	5.32E+07	0	0	0	3.37E+07	2.48E+07	0	4.69E+07	0	0	0	0	3.88E+07	0	0	4.82E+07	5.01E+07	0	3.83E+07	
sp|Q9NUQ8|ABCF3_HUMAN	Q9NUQ8	ABCF3_HUMAN	ABCF3	709	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-binding cassette sub-family F member 3	0	1.94E+07	3.73E+07	2.72E+07	0	0	0	0	0	2.68E+07	2.67E+07	0	1.67E+07	1.61E+07	0	0	0	0	0	0	0	0	2.16E+07	0	0	2.36E+07	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUQ9|CYRIB_HUMAN	Q9NUQ9	CYRIB_HUMAN	CYRIB	324	Homo sapiens OX=9606	1:Experimental evidence at protein level	CYFIP-related Rac1 interactor B	1.83E+08	2.28E+08	1.77E+08	1.12E+08	9.75E+07	1.22E+08	1.06E+08	1.69E+08	9.74E+07	2.27E+08	2.48E+08	2.12E+08	1.05E+08	1.13E+08	9.70E+07	1.37E+08	1.71E+08	1.31E+08	1.89E+08	1.73E+08	1.75E+08	2.06E+08	1.94E+08	1.34E+08	1.48E+08	8.02E+07	1.84E+08	1.73E+08	1.42E+08	1.55E+08	1.20E+08	1.05E+08	1.12E+08	8.50E+07	1.31E+08	1.89E+08	
sp|Q9NUS5|AP5S1_HUMAN	Q9NUS5	AP5S1_HUMAN	AP5S1	200	Homo sapiens OX=9606	1:Experimental evidence at protein level	AP-5 complex subunit sigma-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUT2|MITOS_HUMAN	Q9NUT2	MITOS_HUMAN	ABCB8	735	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial potassium channel ATP-binding subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUU7|DD19A_HUMAN	Q9NUU7	DD19A_HUMAN	DDX19A	478	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX19A	0	8.61E+07	2.03E+08	3.68E+08	3.34E+08	3.20E+08	2.98E+08	1.73E+08	2.30E+08	1.09E+08	1.18E+08	1.68E+08	3.73E+08	2.99E+08	3.50E+08	2.49E+08	1.32E+08	2.44E+08	1.09E+08	1.21E+08	1.74E+08	1.70E+08	1.36E+08	2.51E+08	2.82E+08	4.15E+08	2.08E+08	1.82E+08	1.98E+08	2.23E+08	3.12E+08	2.80E+08	3.10E+08	2.39E+08	2.51E+08	1.55E+08	
sp|Q9NUW8|TYDP1_HUMAN	Q9NUW8	TYDP1_HUMAN	TDP1	608	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosyl-DNA phosphodiesterase 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NUY8|TBC23_HUMAN	Q9NUY8	TBC23_HUMAN	TBC1D23	699	Homo sapiens OX=9606	1:Experimental evidence at protein level	TBC1 domain family member 23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NV06|DCA13_HUMAN	Q9NV06	DCA13_HUMAN	DCAF13	445	Homo sapiens OX=9606	1:Experimental evidence at protein level	DDB1- and CUL4-associated factor 13	0	0	4.83E+07	6.06E+07	5.38E+07	0	9.08E+07	0	8.79E+07	0	0	3.37E+07	2.74E+07	0	4.31E+07	0	0	3.91E+07	0	0	0	0	0	1.54E+07	0	5.38E+07	2.37E+07	0	0	0	7.48E+07	4.05E+07	3.49E+07	3.57E+07	6.70E+07	0	
sp|Q9NV29|TM100_HUMAN	Q9NV29	TM100_HUMAN	TMEM100	134	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NV31|IMP3_HUMAN	Q9NV31	IMP3_HUMAN	IMP3	184	Homo sapiens OX=9606	1:Experimental evidence at protein level	U3 small nucleolar ribonucleoprotein protein IMP3	0	0	1.56E+07	1.98E+07	3.92E+07	3.89E+07	4.96E+07	0	3.44E+07	0	0	0	3.87E+07	3.63E+07	4.01E+07	3.24E+07	0	2.13E+07	0	0	0	0	0	4.41E+07	2.63E+07	3.65E+07	0	0	0	0	0	3.00E+07	3.57E+07	1.97E+07	0	0	
sp|Q9NV35|NUD15_HUMAN	Q9NV35	NUD15_HUMAN	NUDT15	164	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleotide triphosphate diphosphatase NUDT15	3.53E+07	5.47E+07	6.62E+07	0	0	0	0	0	0	5.63E+07	6.75E+07	4.72E+07	0	0	0	0	0	0	6.10E+07	5.24E+07	0	3.98E+07	6.56E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NV56|MRGBP_HUMAN	Q9NV56	MRGBP_HUMAN	MRGBP	204	Homo sapiens OX=9606	1:Experimental evidence at protein level	MRG/MORF4L-binding protein	7.70E+07	6.47E+07	3.53E+07	1.57E+07	0	0	0	3.61E+07	0	6.90E+07	6.02E+07	6.64E+07	2.37E+07	0	0	0	3.78E+07	2.01E+07	5.07E+07	5.41E+07	2.64E+07	3.07E+07	4.77E+07	2.68E+07	0	0	3.97E+07	4.02E+07	2.32E+07	0	2.25E+07	0	0	0	0	3.51E+07	
sp|Q9NV66|TYW1_HUMAN	Q9NV66	TYW1_HUMAN	TYW1	732	Homo sapiens OX=9606	2:Experimental evidence at transcript level	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NV70|EXOC1_HUMAN	Q9NV70	EXOC1_HUMAN	EXOC1	894	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exocyst complex component 1	0	0	2.34E+07	3.79E+07	4.06E+07	3.41E+07	4.85E+07	0	0	0	0	0	2.93E+07	2.49E+07	3.47E+07	3.35E+07	0	3.98E+07	0	0	0	0	0	0	2.69E+07	4.23E+07	0	1.24E+07	0	2.72E+07	5.19E+07	3.05E+07	3.39E+07	3.61E+07	4.07E+07	0	
sp|Q9NV88|INT9_HUMAN	Q9NV88	INT9_HUMAN	INTS9	658	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrator complex subunit 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NV92|NFIP2_HUMAN	Q9NV92	NFIP2_HUMAN	NDFIP2	336	Homo sapiens OX=9606	1:Experimental evidence at protein level	NEDD4 family-interacting protein 2	0	0	0	0	2.22E+07	0	0	0	0	2.51E+07	2.62E+07	0	4.19E+07	0	5.24E+07	0	0	0	4.85E+07	0	5.44E+07	6.93E+07	5.40E+07	0	0	2.52E+07	0	0	0	5.00E+07	0	3.89E+07	0	0	0	0	
sp|Q9NV96|CC50A_HUMAN	Q9NV96	CC50A_HUMAN	TMEM30A	361	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cell cycle control protein 50A	7.39E+07	0	4.92E+07	0	0	0	0	0	0	0	6.49E+07	9.37E+07	0	7.56E+07	0	0	4.00E+07	4.32E+07	0	5.87E+07	1.45E+08	1.11E+08	6.81E+07	0	6.07E+07	4.01E+07	0	0	6.41E+07	8.12E+07	6.98E+07	0	0	0	8.17E+07	0	
sp|Q9NVA1|UQCC1_HUMAN	Q9NVA1	UQCC1_HUMAN	UQCC1	299	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquinol-cytochrome-c reductase complex assembly factor 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NVA2|SEP11_HUMAN	Q9NVA2	SEP11_HUMAN	SEPTIN11	429	Homo sapiens OX=9606	1:Experimental evidence at protein level	Septin-11	4.80E+08	5.89E+08	5.66E+08	3.30E+08	3.14E+08	3.46E+08	2.87E+08	4.46E+08	2.46E+08	5.53E+08	6.62E+08	5.73E+08	2.61E+08	3.26E+08	2.39E+08	3.09E+08	3.70E+08	3.35E+08	4.52E+08	4.09E+08	4.20E+08	5.11E+08	4.18E+08	3.42E+08	3.15E+08	1.70E+08	3.58E+08	3.68E+08	3.53E+08	5.46E+08	2.72E+08	2.51E+08	2.63E+08	2.60E+08	2.74E+08	3.81E+08	
sp|Q9NVC6|MED17_HUMAN	Q9NVC6	MED17_HUMAN	MED17	651	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NVD7|PARVA_HUMAN	Q9NVD7	PARVA_HUMAN	PARVA	372	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-parvin	5.23E+07	1.11E+08	1.19E+08	0	3.49E+07	3.05E+07	0	4.22E+07	0	8.96E+07	1.09E+08	6.75E+07	5.25E+07	5.88E+07	4.52E+07	4.58E+07	5.23E+07	5.52E+07	8.99E+07	4.70E+07	5.57E+07	6.63E+07	8.69E+07	0	0	0	4.11E+07	0	2.91E+07	6.82E+07	0	4.65E+07	2.69E+07	4.30E+07	2.80E+07	3.89E+07	
sp|Q9NVE7|PANK4_HUMAN	Q9NVE7	PANK4_HUMAN	PANK4	773	Homo sapiens OX=9606	1:Experimental evidence at protein level	4'-phosphopantetheine phosphatase	0	0	0	2.62E+07	2.65E+07	0	0	0	0	0	0	0	0	0	1.80E+07	1.87E+07	0	0	0	0	0	0	0	0	0	4.02E+07	0	0	0	0	0	2.48E+07	2.40E+07	0	0	0	
sp|Q9NVF7|FBX28_HUMAN	Q9NVF7	FBX28_HUMAN	FBXO28	368	Homo sapiens OX=9606	1:Experimental evidence at protein level	F-box only protein 28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NVG8|TBC13_HUMAN	Q9NVG8	TBC13_HUMAN	TBC1D13	400	Homo sapiens OX=9606	1:Experimental evidence at protein level	TBC1 domain family member 13	7.07E+07	5.96E+07	5.12E+07	0	0	0	0	0	0	5.99E+07	6.26E+07	6.23E+07	0	0	0	0	0	0	6.06E+07	5.62E+07	5.66E+07	7.02E+07	5.74E+07	0	0	0	0	0	0	6.15E+07	0	0	0	0	0	0	
sp|Q9NVH0|EXD2_HUMAN	Q9NVH0	EXD2_HUMAN	EXD2	621	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exonuclease 3'-5' domain-containing protein 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NVH1|DJC11_HUMAN	Q9NVH1	DJC11_HUMAN	DNAJC11	559	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 11	0	0	0	0	0	0	5.11E+07	0	4.46E+07	0	0	0	0	0	0	3.68E+07	0	0	0	0	0	0	0	0	0	7.54E+07	0	0	0	5.34E+07	4.10E+07	1.97E+07	3.53E+07	0	0	0	
sp|Q9NVH2|INT7_HUMAN	Q9NVH2	INT7_HUMAN	INTS7	962	Homo sapiens OX=9606	1:Experimental evidence at protein level	Integrator complex subunit 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NVH6|TMLH_HUMAN	Q9NVH6	TMLH_HUMAN	TMLHE	421	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Trimethyllysine dioxygenase, mitochondrial"	0	0	0	0	0	0	0	0	0	0	0	0	3.97E+07	0	0	0	0	2.53E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NVI1|FANCI_HUMAN	Q9NVI1	FANCI_HUMAN	FANCI	1328	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fanconi anemia group I protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NVI7|ATD3A_HUMAN	Q9NVI7	ATD3A_HUMAN	ATAD3A	634	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATPase family AAA domain-containing protein 3A	4.18E+07	1.84E+07	9.19E+07	1.16E+08	1.20E+08	1.27E+08	1.23E+08	4.58E+07	1.47E+08	4.15E+07	2.54E+07	6.55E+07	1.89E+08	1.68E+08	1.65E+08	1.13E+08	3.08E+07	9.62E+07	7.26E+07	6.92E+07	1.19E+08	7.43E+07	7.18E+07	1.08E+08	9.60E+07	8.77E+07	4.91E+07	4.52E+07	9.28E+07	7.81E+07	1.51E+08	1.11E+08	1.20E+08	1.02E+08	1.35E+08	3.21E+07	
sp|Q9NVJ2|ARL8B_HUMAN	Q9NVJ2	ARL8B_HUMAN	ARL8B	186	Homo sapiens OX=9606	1:Experimental evidence at protein level	ADP-ribosylation factor-like protein 8B	0	1.02E+08	1.97E+08	1.22E+08	1.00E+08	0	0	5.50E+07	6.86E+07	1.34E+08	1.53E+08	9.13E+07	1.12E+08	1.15E+08	1.10E+08	0	4.18E+07	8.01E+07	0	4.76E+07	1.42E+08	1.24E+08	1.18E+08	9.67E+07	8.09E+07	0	5.15E+07	6.33E+07	0	1.94E+08	7.04E+07	7.43E+07	7.56E+07	8.63E+07	6.06E+07	0	
sp|Q9NVK5|FGOP2_HUMAN	Q9NVK5	FGOP2_HUMAN	FGFR1OP2	253	Homo sapiens OX=9606	1:Experimental evidence at protein level	FGFR1 oncogene partner 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|Q9NVM4|ANM7_HUMAN	Q9NVM4	ANM7_HUMAN	PRMT7	692	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein arginine N-methyltransferase 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
