Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-36_3577.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-37_3579.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-38_3611.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-39_3612.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-40_3614.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-41_3615.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-42_3617.d
Q5FWU0	Q5FWU0	Q5FWU0_RAT	Wasf2	Wiskott-Aldrich syndrome protein family member							387.66
Q5FWY5	Q5FWY5	AIP_RAT	Aip	AH receptor-interacting protein							282.347
Q5GFD9	Q5GFD9	IMPCT_RAT	Impact	Protein IMPACT						636.967	172.624
Q5HZE4	Q5HZE4	MTNA_RAT	Mri1	Methylthioribose-1-phosphate isomerase	759.044		823.281	545.745			983.435
Q5HZF2	Q5HZF2	WBP4_RAT	Wbp4	WW domain-binding protein 4							148.761
Q5HZV9	Q5HZV9	PP1R7_RAT	Ppp1r7	Protein phosphatase 1 regulatory subunit 7	3054.37		1620.72	1736.01		1917.86	1679.23
Q5HZY0	Q5HZY0	UBXN4_RAT	Ubxn4	UBX domain-containing protein 4							258.464
Q5I0D1	Q5I0D1	GLOD4_RAT	Glod4	Glyoxalase domain-containing protein 4							304.027
Q5I0E7	Q5I0E7	TMED9_RAT	Tmed9	Transmembrane emp24 domain-containing protein 9	2378.19		920.952	541.117	1518.66	1762.63	682.711
Q5I0E8	Q5I0E8	KIF22_RAT	Kif22	Kinesin-like protein KIF22			459.287				62.9074
Q5I0G4	Q5I0G4	GARS_RAT	Gars1	Glycine--tRNA ligase	476.275		576.109	2459.45		569.723	420.251
Q5I0H4	Q5I0H4	TMCO1_RAT	Tmco1	Calcium load-activated calcium channel							132.627
Q5I0H5	Q5I0H5	CCNL2_RAT	Ccnl2	Cyclin-L2			283.298			347.544	284.216
Q5M7A4	Q5M7A4	UBA5_RAT	Uba5	Ubiquitin-like modifier-activating enzyme 5	501.983		592.643	1083.99		591.024	205.242
Q5M7A7	Q5M7A7	CNRP1_RAT	Cnrip1	CB1 cannabinoid receptor-interacting protein 1							132.417
Q5M7U6	Q5M7U6	ARP2_RAT	Actr2	Actin-related protein 2	421.033		758.52	1257.71		392.293	462.86
Q5M7V8	Q5M7V8	TR150_RAT	Thrap3	Thyroid hormone receptor-associated protein 3	791.219		779.854			430.815	537.789
Q5M7W5	Q5M7W5	MAP4_RAT	Map4	Microtubule-associated protein 4	4236.49		2174.91	2984.32	1345.87	1891.96	4466.8
Q5M820	Q5M820	MOFA1_RAT	Mrfap1	MORF4 family-associated protein 1	805.819						522.233
Q5M823	Q5M823	NUDC2_RAT	Nudcd2	NudC domain-containing protein 2						351.947	814.982
Q5M827	Q5M827	PIR_RAT	Pir	Pirin	548.287					1333.73	800.035
Q5M849	Q5M849	Q5M849_RAT	Ifi35	Interferon-induced protein 35							158.612
Q5M887	Q5M887	TPC13_RAT	Trappc13	Trafficking protein particle complex subunit 13	154.893		879.669			607.077	160.486
Q5M943	Q5M943	Q5M943_RAT	Thumpd1	THUMP domain containing 1							95.9334
Q5M947	Q5M947	RRP15_RAT	Rrp15	RRP15-like protein			248.295				94.9716
Q5M9G3	Q5M9G3	CAPR1_RAT	Caprin1	Caprin-1	572.979		511.727	563.068		1006.48	822.827
Q5MYT9	Q5MYT9	OASL2_RAT	Oasl2	2'-5'-oligoadenylate synthase-like protein 2			1018.5		1124.3	178.082	768.036
Q5PPJ6	Q5PPJ6	Q5PPJ6_RAT	Lars1	leucine--tRNA ligase	300.339		904.509	1339.57		661.234	345.457
Q5PPJ9	Q5PPJ9	SHLB2_RAT	Sh3glb2	Endophilin-B2			353.124				221.336
Q5PQJ6	Q5PQJ6	P5CR3_RAT	Pycr3	Pyrroline-5-carboxylate reductase 3	2023.71		1386.88	2034.88		1808.76	2359.51
Q5PQP0	Q5PQP0	IER5L_RAT	Ier5l	Immediate early response gene 5-like protein							599.326
Q5PQQ2	Q5PQQ2	WBP11_RAT	Wbp11	WW domain-binding protein 11	318.939					561.323	253.704
Q5PQR4	Q5PQR4	RSRC2_RAT	Rsrc2	Arginine/serine-rich coiled-coil protein 2						821.68	395.887
Q5PQX0	Q5PQX0	UXS1_RAT	Uxs1	UDP-glucuronic acid decarboxylase 1							244.926
Q5PQX1	Q5PQX1	TOIP1_RAT	Tor1aip1	Torsin-1A-interacting protein 1							250.021
Q5RJP0	Q5RJP0	ALD1_RAT	Akr1b7	Aldo-keto reductase family 1 member B7	1641.84		1813.98	557.233		587.71	554.518
Q5RJR8	Q5RJR8	LRC59_RAT	Lrrc59	Leucine-rich repeat-containing protein 59							114.186
Q5RJT2	Q5RJT2	SPB1_RAT	Ftsj3	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3						173.449	198.626
Q5RK08	Q5RK08	Q5RK08_RAT	Nipsnap2	Glioblastoma amplified sequence							46.8795
Q5RK24	Q5RK24	Q5RK24_RAT	Pmvk	Phosphomevalonate kinase							56.9355
Q5RKH6	Q5RKH6	OS9_RAT	Os9	Protein OS-9							107.855
Q5RKI0	Q5RKI0	WDR1_RAT	Wdr1	WD repeat-containing protein 1	644.257	272.805	1204.6	2855.18	2317.69	2004.9	1327.15
Q5RKI1	Q5RKI1;A0A8I6GF11;Q6P3V8	IF4A2_RAT	Eif4a2	Eukaryotic initiation factor 4A-II	8628.89	805.432	7014.14	11704.3	2105.45	6149.97	5573.03
Q5U1W2	Q5U1W2	PRR13_RAT	Prr13	Proline-rich protein 13	408.967		745.438			773.727	310.989
Q5U1Z2	Q5U1Z2	TPPC3_RAT	Trappc3	Trafficking protein particle complex subunit 3	1047.99	514.842	860.157	487.777	679.2	1250.99	1126.26
Q5U208	Q5U208	THAP1_RAT	Thap1	THAP domain-containing protein 1			582.277	1014.22		974.814	388.992
Q5U211	Q5U211	SNX3_RAT	Snx3	Sorting nexin-3	985.742		535.713			490.069	978.645
Q5U2M8	Q5U2M8	MDC1_RAT	Mdc1	Mediator of DNA damage checkpoint protein 1							62.2883
Q5U2N4	Q5U2N4	MKNK2_RAT	Mknk2	MAP kinase-interacting serine/threonine-protein kinase 2			415.324				548.886
Q5U2Q7	Q5U2Q7	ERF1_RAT	Etf1	Eukaryotic peptide chain release factor subunit 1			330.971			298.259	97.4761
Q5U2R0	Q5U2R0	MAT2B_RAT	Mat2b	Methionine adenosyltransferase 2 subunit beta			662.101	852.114		1121.25	630.577
Q5U2R7	Q5U2R7	MESD_RAT	Mesd	LRP chaperone MESD						791.461	615.285
Q5U2U7	Q5U2U7	MCES_RAT	Rnmt	mRNA cap guanine-N7 methyltransferase			447.235	157.663		414.411	612.628
Q5U2V1	Q5U2V1	Q5U2V1_RAT	Fkbp10	peptidylprolyl isomerase	1048.67		644.036	792.398			504.585
Q5U2W9	A0A0G2JUB4;Q5U2W9	RNLS_RAT	Rnls	Renalase	1235.03	713.715	1739.31	553.018	706.341	2177.08	2487.48
Q5U2Y1	Q5U2Y1	GTF2I_RAT	Gtf2i	General transcription factor II-I							247.361
Q5U2Y6	Q5U2Y6	TFP11_RAT	Tfip11	Tuftelin-interacting protein 11							114.186
Q5U2Z3	Q5U2Z3	NP1L4_RAT	Nap1l4	Nucleosome assembly protein 1-like 4	1214.89		1536.76	1336.37		1043.73	1120.18
Q5U300	Q5U300;A0A8I5ZVX0;A0A8I6A544	UBA1_RAT	Uba1	Ubiquitin-like modifier-activating enzyme 1	1205.56		1558.76	1737.12		1282.16	745.844
Q5U302	A0A0G2JYF7;Q5U302	Q5U302_RAT	Ctnna1	Catenin alpha 1	487.256		358.445			1212.63	335.405
Q5U315	Q5U315	GLD2_RAT	Tent2	Poly(A) RNA polymerase GLD2	818.145			930.121		1462.72	555.131
Q5U316	Q5U316	RAB35_RAT	Rab35	Ras-related protein Rab-35				1567.65			
Q5U317	Q5U317	FIP1_RAT	Fip1l1	Pre-mRNA 3'-end-processing factor FIP1			377.517				194.27
Q5U367	Q5U367	PLOD3_RAT	Plod3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3							310.749
Q5U3Z7	Q5U3Z7	Q5U3Z7_RAT	Shmt2	Serine hydroxymethyltransferase	1137.27		1534.19	1154.55	1477.45	1999.68	413.448
Q5XFX0	Q5XFX0	TAGL2_RAT	Tagln2	Transgelin-2	1883.72		2148.47	1379.09		2705.09	6266.32
Q5XI01	Q5XI01	LARP7_RAT	Larp7	La-related protein 7						298.242	96.7381
Q5XI13	Q5XI13	GRWD1_RAT	Grwd1	Glutamate-rich WD repeat-containing protein 1	405.863		152.28			376.213	102.912
Q5XI29	Q5XI29	CPSF7_RAT	Cpsf7	Cleavage and polyadenylation specificity factor subunit 7							82.0014
Q5XI32	Q5XI32	CAPZB_RAT	Capzb	F-actin-capping protein subunit beta	887.96		1213.18	932.908		1089.73	327.205
Q5XI34	Q5XI34	Q5XI34_RAT	Ppp2r1a	Protein phosphatase 2 scaffold subunit A alpha	359.369		218.929			1088.45	441.401
Q5XI41	Q5XI41	TRAM1_RAT	Tram1	Translocating chain-associated membrane protein 1							72.5548
Q5XI67	Q5XI67	FBX30_RAT	Fbxo30	F-box only protein 30							145.372
Q5XI72	Q5XI72	IF4H_RAT	Eif4h	Eukaryotic translation initiation factor 4H	4531.1		2858.85	1192.08		3412.87	3628.73
Q5XI73	Q5XI73	GDIR1_RAT	Arhgdia	Rho GDP-dissociation inhibitor 1	3205.06		3068.05	3285.64	2341.61	6555.13	2442.48
Q5XI78	Q5XI78	ODO1_RAT	Ogdh	2-oxoglutarate dehydrogenase complex component E1	3258.05		3141.29	1127.1	2675.67	2414.52	2625.85
Q5XI97	Q5XI97	AASD1_RAT	Aarsd1	Alanyl-tRNA editing protein Aarsd1	474.596						315.485
Q5XI99	Q5XI99	LAMP3_RAT	Lamp3	Lysosome-associated membrane glycoprotein 3							163.123
Q5XIA1	Q5XIA1	NCLN_RAT	Ncln	BOS complex subunit NCLN	1426.09		364.187			912.733	617.138
Q5XIB1	Q5XIB1	TSSC4_RAT	Tssc4	U5 small nuclear ribonucleoprotein TSSC4							200.191
Q5XIB7	Q5XIB7	Q5XIB7_RAT	Tsen34	tRNA-splicing endonuclease subunit Sen34			361.008				229.943
Q5XIC0	Q5XIC0	ECI2_RAT	Eci2	Enoyl-CoA delta isomerase 2			825.645		805.769	309.592	322.803
Q5XIE1	Q5XIE1	THEM6_RAT	Them6	Protein THEM6			304.288		828.677	176.856	399.207
Q5XIE3	Q5XIE3	RM11_RAT	Mrpl11	Large ribosomal subunit protein uL11m	315.665					409.196	167.682
Q5XIE8	Q5XIE8	ITM2B_RAT	Itm2b	Integral membrane protein 2B							142.767
Q5XIF5	Q5XIF5	DEGS1_RAT	Degs1	Sphingolipid delta(4)-desaturase DES1							236.772
Q5XIF6	P68370;Q5XIF6;Q68FR8;Q6P9V9;Q6AY56	TBA4A_RAT	Tuba4a	Tubulin alpha-4A chain	663.684		871.823	879.331		690.497	447.948
Q5XIG2	Q5XIG2	C1QT1_RAT	C1qtnf1	Complement C1q tumor necrosis factor-related protein 1	1920.37						857.508
Q5XIH7	Q5XIH7	PHB2_RAT	Phb2	Prohibitin-2			1678.66	3039.29	1601.71	2811.86	1586.43
Q5XII0	Q5XII0	EPDR1_RAT	Epdr1	Mammalian ependymin-related protein 1	965.606	559.845	589.242	781.091	2509.4	886.042	871.956
Q5XIJ6	Q5XIJ6	BABA1_RAT	Babam1	BRISC and BRCA1-A complex member 1							299.407
Q5XIM5	A0A8I6A6V4;Q5XIM5	CDV3_RAT	Cdv3	Protein CDV3 homolog	1675.45	248.667	1964.67	3059.66		1986.8	2920.42
Q5XIM7	Q5XIM7	SYK_RAT	Kars1	Lysine--tRNA ligase			289.556	1068.67		578.764	296.141
Q5XIM9	Q5XIM9	TCPB_RAT	Cct2	T-complex protein 1 subunit beta	854.923		1118.37	1219.53		1705.33	1406.18
Q5XIN6	Q5XIN6	LETM1_RAT	Letm1	Mitochondrial proton/calcium exchanger protein			265.879			221.219	123.202
Q5XIP0	Q5XIP0	Q5XIP0_RAT	Dnajb4	DnaJ heat shock protein family (Hsp40) member B4							194.148
Q5XIT6	Q5XIT6	DESI2_RAT	Desi2	Deubiquitinase DESI2						333.461	250.679
Q5XIU1	Q5XIU1	ABTB1_RAT	Abtb1	Ankyrin repeat and BTB/POZ domain-containing protein 1	1029.51				2531.01		1145.5
Q5XIU5	Q5XIU5	PSMF1_RAT	Psmf1	Proteasome inhibitor PI31 subunit				1101.89		573.116	376.649
Q5XIW8	Q5XIW8	SNUT1_RAT	Sart1	U4/U6.U5 tri-snRNP-associated protein 1	377.761		491.086			345.687	218.418
Q5XJW2	Q5XJW2	G45IP_RAT	Gadd45gip1	Large ribosomal subunit protein mL64				966.12			132.15
Q62625	Q62625;A0A0G2K9Q7	MLP3B_RAT	Map1lc3b	Microtubule-associated proteins 1A/1B light chain 3B							144.888
Q62635	Q62635	MUC2_RAT	Muc2	Mucin-2 (Fragment)			517.565				142.588
Q62638	Q62638	GSLG1_RAT	Glg1	Golgi apparatus protein 1					419.674		732.456
Q62658	Q62658	FKB1A_RAT	Fkbp1a	Peptidyl-prolyl cis-trans isomerase FKBP1A				963.012			400.608
Q62667	Q62667	MVP_RAT	Mvp	Major vault protein	1671.15		418.6			414.433	356.728
Q62671	Q62671	UBR5_RAT	Ubr5	E3 ubiquitin-protein ligase UBR5							149.691
Q62698	Q62698	DC1L2_RAT	Dync1li2	Cytoplasmic dynein 1 light intermediate chain 2				1491.06		331.644	322.502
Q62703	Q62703	RCN2_RAT	Rcn2	Reticulocalbin-2			487.478				389.793
Q62717	Q62717	CAPS1_RAT	Cadps	Calcium-dependent secretion activator 1							245.644
Q62740	Q62740	SPP24_RAT	Spp2	Secreted phosphoprotein 24					941.362		505.501
Q62760	Q62760	TOM20_RAT	Tomm20	Mitochondrial import receptor subunit TOM20 homolog	830.953		40.7307	228.336	259.026	307.549	194.578
Q62764	A0A8I6GL75;P62961;D3ZEG0;Q62764;A0A8I6ABQ3	YBOX3_RAT	Ybx3	Y-box-binding protein 3				771.323		297.172	254.278
Q62780	Q62780	DDX46_RAT	Ddx46	Probable ATP-dependent RNA helicase DDX46			878.293				329.606
Q62785	Q62785	HAP28_RAT	Pdap1	28 kDa heat- and acid-stable phosphoprotein	1417.98		1752.14	1385.96		2396.74	1698.94
Q62812	Q62812	MYH9_RAT	Myh9	Myosin-9	424.841		850.114	1674.99		947.803	1035.11
Q62826	Q62826	HNRPM_RAT	Hnrnpm	Heterogeneous nuclear ribonucleoprotein M	12190.6	2957.27	9655.44	4654.93	4324.24	3559.78	7834.48
Q62835	Q62835	RABE2_RAT	Rabep2	Rab GTPase-binding effector protein 2	235.567		623.618	697.677			173.35
Q62839	Q62839	GOGA2_RAT	Golga2	Golgin subfamily A member 2							225.299
Q62847	Q62847	ADDG_RAT	Add3	Gamma-adducin			463.593			177.61	262.502
Q62871	Q62871	DC1I2_RAT	Dync1i2	Cytoplasmic dynein 1 intermediate chain 2			230.689	220.408		443.593	244.532
Q62902	Q62902	LMAN1_RAT	Lman1	Protein ERGIC-53	1384.31				1957.89	2152.32	1157.74
Q62910	Q62910	SYNJ1_RAT	Synj1	Synaptojanin-1	1447.52		623.922			1095	1364.43
Q62920	Q62920	PDLI5_RAT	Pdlim5	PDZ and LIM domain protein 5	839.909		1098.42				370.623
Q62940	Q62940	NEDD4_RAT	Nedd4	E3 ubiquitin-protein ligase NEDD4	601.218		629.673	854.876		1071.39	798.169
Q62950	Q62950	DPYL1_RAT	Crmp1	Dihydropyrimidinase-related protein 1	457.608			692.367		525.195	416.43
Q62952	Q62952	DPYL3_RAT	Dpysl3	Dihydropyrimidinase-related protein 3	36899.1	3433.94	32657.5	15888.8	11799.6	15101.5	49772.4
Q62967	Q62967	MVD1_RAT	Mvd	Diphosphomevalonate decarboxylase	1423.69		1183.62	392.407		1755.12	281.895
Q62991	Q62991	SCFD1_RAT	Scfd1	Sec1 family domain-containing protein 1						723.619	70.0553
Q63028	Q63028	ADDA_RAT	Add1	Alpha-adducin							559.378
Q63042	Q63042	ALR_RAT	Gfer	FAD-linked sulfhydryl oxidase ALR							251.387
Q63068	Q63068	PHAX_RAT	Phax	Phosphorylated adapter RNA export protein							138.448
Q63081	Q63081	PDIA6_RAT	Pdia6	Protein disulfide-isomerase A6			503.213			348.095	266.267
Q63083	Q63083	NUCB1_RAT	Nucb1	Nucleobindin-1	1257.7		381.816	1419.6	1036.21	1364.36	1170.76
Q63151	Q63151	ACSL3_RAT	Acsl3	Fatty acid CoA ligase Acsl3			280.902				83.0013
Q63175	Q63175	SERC5_RAT	Serinc5	Serine incorporator 5							379.345
Q63190	Q63190	EMD_RAT	Emd	Emerin	1624.47		841.526	356.495	1124.37	611.033	945.58
Q63210;Q6Q7Y5	Q6Q7Y5;Q9JID2;Q63210;P82471;A0A8J8XRQ3;P19627	GNA12_RAT;GNA13_RAT	Gna12;Gna13	Guanine nucleotide-binding protein subunit alpha-12	1148.12		1899.51	1938.04			2025.19
Q63259	Q63259	PTPRN_RAT	Ptprn	Receptor-type tyrosine-protein phosphatase-like N	3276.59				3052.14	138.375	1467.08
Q63347	Q63347	PRS7_RAT	Psmc2	26S proteasome regulatory subunit 7	1050.28		1032.66	1174.86		1342.47	1238.3
Q63358	Q63358	MYO9B_RAT	Myo9b	Unconventional myosin-IXb							156.775
Q63364	Q63364	PJA2_RAT	Pja2	E3 ubiquitin-protein ligase Praja-2							330.019
Q63396	Q63396	TCP4_RAT	Sub1	Activated RNA polymerase II transcriptional coactivator p15			1127.06			996.979	1222.72
Q63413	Q5U216;Q63413	DX39B_RAT	Ddx39b	Spliceosome RNA helicase Ddx39b	5256.21		3156.85	3737.61	673.081	4370.8	2517.54
Q63433	Q63433	PKN1_RAT	Pkn1	Serine/threonine-protein kinase N1	737.785			237.594		562.067	476.667
Q63507	A0A8I6AL87;Q6TUH8;A0A8I6G5N0;Q63507	RL14_RAT	Rpl14	Large ribosomal subunit protein eL14	1644.54		1347.6	1150.3		1639.79	3213.52
Q63528	Q63528	RFA2_RAT	Rpa2	Replication protein A 32 kDa subunit	316.616		489.51				128.445
Q63537	Q63537	SYN2_RAT	Syn2	Synapsin-2	456.834		277.75				179.932
Q63560	Q63560	MAP6_RAT	Map6	Microtubule-associated protein 6	967.85		555.455	1719.8		451.919	838.86
Q63569	Q63569	PRS6A_RAT	Psmc3	26S proteasome regulatory subunit 6A	1568.46		1630.65	2074.22		2507.44	2182.71
Q63570	Q63570	PRS6B_RAT	Psmc4	26S proteasome regulatory subunit 6B	1057.59		3146.74	732.953		960.308	805.978
Q63584	Q63584	TMEDA_RAT	Tmed10	Transmembrane emp24 domain-containing protein 10				576.056			200.983
Q63598	Q63598	PLST_RAT	Pls3	Plastin-3	188.704			346.442			184.447
Q63610	Q63610	TPM3_RAT	Tpm3	Tropomyosin alpha-3 chain	9645.26	2031.63	4672.47	6442.65	3324.11	7930.03	11185.4
Q63617	Q63617	HYOU1_RAT	Hyou1	Hypoxia up-regulated protein 1	1152.6		1391.55	403.67	425.779	1197.49	983.886
Q63623	Q63623	SCAF8_RAT	Scaf8	SR-related and CTD-associated factor 8							90.7479
Q63644	Q63644	ROCK1_RAT	Rock1	Rho-associated protein kinase 1							111.608
Q63647	Q63647	PNRC1_RAT	Pnrc1	Proline-rich nuclear receptor coactivator 1							102.099
Q63692	Q63692	CDC37_RAT	Cdc37	Hsp90 co-chaperone Cdc37	2404.76	2372.93	676.301	1050.14	486.568	530.992	594.492
Q63716	Q63716;A0A0G2K3Z9	PRDX1_RAT	Prdx1	Peroxiredoxin-1	452.321						357.412
Q63768	Q63768	CRK_RAT	Crk	Adapter molecule crk							238.07
Q63788	Q63788	P85B_RAT	Pik3r2	Phosphatidylinositol 3-kinase regulatory subunit beta						250.405	43.8999
Q63797	Q63797	PSME1_RAT	Psme1	Proteasome activator complex subunit 1							113.252
Q63803	Q63803	GNAS1_RAT	Gnas	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	1727.17		1296.45	2919	1898.19	2032.41	2527.97
Q63965	Q63965	SFXN1_RAT	Sfxn1	Sideroflexin-1	1719.83		2233.96	1523.66	901.489	2244.78	917.44
Q63ZV7	Q63ZV7	SWI5_RAT	Swi5	DNA repair protein SWI5 homolog	1559.59		363.11			949.649	1243.19
Q64119	Q64119	MYL6_RAT	Myl6	Myosin light polypeptide 6	598.614			1046.66			1358.23
Q641W2	Q641W2	MYG1_RAT	Myg1	MYG1 exonuclease	838.864		529.693	933.26		451.955	279.838
Q641X3	Q641X3	HEXA_RAT	Hexa	Beta-hexosaminidase subunit alpha	755.373		715.002	1241.23			983.836
Q641X8	Q641X8	EIF3E_RAT	Eif3e	Eukaryotic translation initiation factor 3 subunit E	475.079		371.776	1067.98	850.732	436.644	345.935
Q641Y0	Q641Y0	OST48_RAT	Ddost	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1657.37		2228.48	1083.4	2554.21	2366.87	2955.27
Q641Z2	Q641Z2	PTN9_RAT	Ptpn9	Tyrosine-protein phosphatase non-receptor type 9							109.312
Q641Z6	Q8R491;Q641Z6	EHD1_RAT	Ehd1	EH domain-containing protein 1							46.5958
Q641Z8	Q641Z8	PEF1_RAT	Pef1	Peflin						328.581	252.841
Q64232	Q64232	TECR_RAT	Tecr	Very-long-chain enoyl-CoA reductase							235.921
Q64259	Q64259	VHL_RAT	Vhl	von Hippel-Lindau disease tumor suppressor						258.953	795.948
Q64303	Q64303	PAK2_RAT	Pak2	Serine/threonine-protein kinase PAK 2	1245.45		165.834	794.742		583.405	400.979
Q64537	Q64537	CPNS1_RAT	Capns1	Calpain small subunit 1							129.779
Q64542	Q64542	AT2B4_RAT	Atp2b4	Plasma membrane calcium-transporting ATPase 4	532.097						300.417
Q64559	Q64559	BACH_RAT	Acot7	Cytosolic acyl coenzyme A thioester hydrolase	698.242		296.231	675.451		682.64	521.558
Q64560	Q64560	TPP2_RAT	Tpp2	Tripeptidyl-peptidase 2						440.63	614.894
Q64566	Q64566	AT2C1_RAT	Atp2c1	Calcium-transporting ATPase type 2C member 1							346.874
Q64640	Q64640	ADK_RAT	Adk	Adenosine kinase						225.243	112.096
Q64654	Q64654	CP51A_RAT	Cyp51a1	Lanosterol 14-alpha demethylase					414.335		538.2
Q66H12	Q66H12	NAGAB_RAT	Naga	Alpha-N-acetylgalactosaminidase	885.085		526.095	937.115		520.89	358.849
Q66H47	Q66H47	RM24_RAT	Mrpl24	Large ribosomal subunit protein uL24m							75.8044
Q66H80	Q66H80	COPD_RAT	Arcn1	Coatomer subunit delta							131.642
Q66HA4	Q66HA4	TAXB1_RAT	Tax1bp1	Tax1-binding protein 1 homolog	235.694		397.209	299.425		577.59	413.03
Q66HA8	Q66HA8	HS105_RAT	Hsph1	Heat shock protein 105 kDa	726.752		1496.8	2164.51		1997.09	1298.64
Q66HC1	Q66HC1	TDRD3_RAT	Tdrd3	Tudor domain-containing protein 3							153.323
Q66HC5	Q66HC5	NUP93_RAT	Nup93	Nuclear pore complex protein Nup93	157.381		450.415			439.049	306.399
Q66HD0	Q66HD0	ENPL_RAT	Hsp90b1	Endoplasmin	3802.19	653.381	8319.54	2911.28	6003.21	4887.44	7153.41
Q66HF2	Q66HF2	TM9S1_RAT	Tm9sf1	Transmembrane 9 superfamily member 1	1061.43		1073.32		1684.53	618.759	1223.35
Q66HG5	Q66HG5	TM9S2_RAT	Tm9sf2	Transmembrane 9 superfamily member 2							203.797
Q66HG8	Q66HG8	RED_RAT	Ik	Protein Red			284.397				138.863
Q66HG9	Q66HG9	MAVS_RAT	Mavs	Mitochondrial antiviral-signaling protein			461.597			271.153	273.708
Q66HL2	Q66HL2	SRC8_RAT	Cttn	Src substrate cortactin	2685.2	620.464	2816.47	2379.41		1668.8	4003.17
Q66HR2	Q66HR2	MARE1_RAT	Mapre1	Microtubule-associated protein RP/EB family member 1	557.112			188.872		391.695	603.679
Q66X93	Q66X93	SND1_RAT	Snd1	Staphylococcal nuclease domain-containing protein 1	2464.93		2055.75	1783.28	1082.01	2007.52	1223.7
Q68A21	Q68A21;D3ZYS1	PURB_RAT	Purb	Transcriptional activator protein Pur-beta	964.27		949.701	205.414		717.456	618.317
Q68A65	Q68A65	SPT21_RAT	Spata21	Spermatogenesis-associated protein 21	2007.75		1372.03	2892.77	2949.31	2353.81	300.582
Q68FP1	Q3SX14;P06396;Q68FP1	GELS_RAT	Gsn	Gelsolin	1529		900.087	821.21		353.178	1171.4
Q68FQ0	Q68FQ0	TCPE_RAT	Cct5	T-complex protein 1 subunit epsilon	700.738		1404.22	2186.24		1552.33	1214.38
Q68FQ7	Q68FQ7	RPAP3_RAT	Rpap3	RNA polymerase II-associated protein 3						347.074	150.483
Q68FR6	Q68FR6	EF1G_RAT	Eef1g	Elongation factor 1-gamma	3378.28	618.912	1681.2	1646.79	938.482	2375.06	1566.22
Q68FR7	Q68FR7	LTV1_RAT	Ltv1	Protein LTV1 homolog	227.64						160.269
Q68FR9	Q68FR9	EF1D_RAT	Eef1d	Elongation factor 1-delta	856.084		1994.93	1999.11		1728.29	2833.42
Q68FS4	Q68FS4	AMPL_RAT	Lap3	Cytosol aminopeptidase	613.886		1688.22	2321.36	328.274	1710.95	1664.39
Q68FT7	Q68FT7	Q68FT7_RAT	Farsb	Phenylalanine--tRNA ligase beta subunit			649.027			550.884	322.646
Q68FU3	Q68FU3	ETFB_RAT	Etfb	Electron transfer flavoprotein subunit beta	2163.94	600.064	1442.12	2015.01	884.702	2501.21	1944.26
Q68FV2	Q68FV2	AR6P6_RAT	Arl6ip6	ADP-ribosylation factor-like protein 6-interacting protein 6	627.817						252.68
Q68FW4	Q68FW4	STX18_RAT	Stx18	Syntaxin-18							121.861
Q68FW9	Q68FW9	CSN3_RAT	Cops3	COP9 signalosome complex subunit 3						535.615	303.161
Q68FY1	Q68FY1	NUP35_RAT	Nup35	Nucleoporin NUP35	484.66		775.296			322.31	423.116
Q68G30	Q68G30	KLC3_RAT	Klc3	Kinesin light chain 3	425.115						123.447
Q68SB1	Q68SB1	STAU2_RAT	Stau2	Double-stranded RNA-binding protein Staufen homolog 2							116.407
Q6AXM7	Q6AXM7	HBS1L_RAT	Hbs1l	HBS1-like protein						293.513	67.5598
Q6AXQ0	Q6AXQ0	SAE1_RAT	Sae1	SUMO-activating enzyme subunit 1			647.574			235.511	442.428
Q6AXR4	Q6AXR4	HEXB_RAT	Hexb	Beta-hexosaminidase subunit beta			813.651	1282.48	782.856		575.047
Q6AXS5	Q6AXS5	SERB1_RAT	Serbp1	SERPINE1 mRNA-binding protein 1	1092.22		1157.33	772.294		2022.64	1624.46
Q6AXU6	Q6AXU6	JUPI1_RAT	Jpt1	Jupiter microtubule associated homolog 1	3131.31		2178.52	1419.02		2091.77	3677.77
